PIT TAG,DATE,Time,RESEARCHER,RECAP,SPECIES,WEATHER,CLOUD COV,AIR TEMP,GROUND TEM,DET,BEHAVIOUR,MACRO HAB,MICRO HAB,LOCATION,Easting,Northing,DEN,PILLOW,SVL,S+B,BAG,MASS,SEX,AGE CLASS,REPRO,DIST BUI,DIST RD,DIR BUI,DIR RD,RELOC,REL TIME,REL DAY,REL LOC,DAY CAP,COMMENTS
456A29484F,4/15/2017,14:15,"DME, JRM",YES,RATTLE,SUNNY CLOUDY,4,16.6,18.3,SIGHT,BASKING,TALUS SLOPE,WITHIN ROCKS,DEN 6,322936,5435286,6,4,74.4,410,109,301,MALE,ADULT,NA,>100,>100,SW,SW,N,15:10,APRIL 15 2017,SAME AS CAPTURE,0,SWAB 17
989001006112878,4/15/2017,14:15,"DME, JRM",NO,RATTLE,SUNNY CLOUDY,4,16.6,18.3,SIGHT,BASKING,TALUS SLOPE,WITHIN ROCKS,DEN 6,322936,5435286,6,4,68.3,272,96,176,MALE,ADULT,NA,>100,>100,SW,SW,N,15:29,APRIL 15 2017,SAME AS CAPTURE,0,"SWAB 18, VERY SKINNY"
0A13677609,4/15/2017,14:15,"DME, JRM",YES,RATTLE,SUNNY CLOUDY,4,16.6,18.3,SIGHT,BASKING,TALUS SLOPE,WITHIN ROCKS,DEN 6,322936,5435286,6,4,64.2,299,110,189,FEMALE,ADULT,OVA DETECTED,>100,>100,SW,SW,N,11:55,MAY 6 2017,SAME AS CAPTURE,21,"SWAB 19- 3 OVA DETECTED, NARCISSA"
4C13334106,4/15/2017,14:15,"DME, JRM",YES,RATTLE,SUNNY CLOUDY,4,16.6,18.3,SIGHT,BASKING,TALUS SLOPE,WITHIN ROCKS,DEN 6,322936,5435286,6,,54.2,272,96,176,FEMALE,ADULT,OVA DETECTED,>100,>100,SW,SW,N,11:55,MAY 6 2017,SAME AS CAPTURE,11,SWAB 20- 2 OVA DETECTED- DELPHINI
989001006112848,4/15/2017,14:15,"DME, JRM",NO,RATTLE,SUNNY CLOUDY,4,16.6,18.3,SIGHT,BASKING,TALUS SLOPE,WITHIN ROCKS,DEN 6,322936,5435286,6,60,57.1,230,109,121,FEMALE,SUB ADULT,NON-GRAVID,>100,>100,SW,SW,N,16:10,APRIL 15 2017,SAME AS CAPTURE,0,SWAB 21
4c1b4f0300,4/15/2017,16:18,"DME, JRM",YES,RATTLE,SUNNY,4,16.5,18,SIGHT,BASKING,TALUS SLOPE,ON ROCKS,DEN 6,322936,5435286,6,60,78.4,379,106,273,MALE,ADULT,NA,>100,>100,SW,SW,N,16:30,APRIL 15 2017,SAME AS CAPTURE,0,SWAB 22 MAJOR SCARRING ON LEFT SIDE
989001006112885,4/15/2017,16:18,"DME, JRM",NO,RATTLE,SUNNY,4,16.5,18,SIGHT,BASKING,TALUS SLOPE,ON ROCKS,DEN 6,322936,5435286,6,60,56.4,193,106,87,FEMALE,ADULT,POST PARDUM,>100,>100,SW,SW,N,16:47,APRIL 15 2017,SAME AS CAPTURE,0,SWAB 23
989001006112898,4/15/2017,16:18,"DME, JRM",NO,RATTLE,SUNNY,4,16.5,18,SIGHT,BASKING,TALUS SLOPE,ON ROCKS,DEN 6,322936,5435286,6,60,48.6,193,106,87,FEMALE,SUB ADULT,NON-GRAVID,>100,>100,SW,SW,N,17:01,APRIL 15 2017,SAME AS CAPTURE,0,SWAB 24
4C132D6B27,4/16/2017,14:37,"DME, JRM",YES,RATTLE,SUNNY CLOUDY,9,17.6,19.4,SIGHT,BASKING,TALUS SLOPE,ON ROCKS,DEN 26,320926,5437182,26,2,59.4,170,65,105,FEMALE,SUB ADULT,NON-GRAVID,>100,>100,SW,SW,N ,14:50,APRIL 16 2017,SAME AS CAPTURE,0,SWAB 25- VERY SKINNY
989001006112874,4/16/2017,14:37,"DME, JRM",NO,RATTLE,SUNNY CLOUDY,9,17.6,19.4,SIGHT,BASKING,TALUS SLOPE,ON ROCKS,DEN 26,320926,5437182,26,67,42.3,149,83,66,FEMALE,JUVENILE,NON-GRAVID,>100,>100,SW,SW,N,15:08,APRIL 16 2017,SAME AS CAPTURE,0,SWAB 26 
989001005710937,4/16/2017,14:37,"DME, JRM",YES,RATTLE,SUNNY CLOUDY,9,17.6,19.4,SIGHT,BASKING,TALUS SLOPE,ON ROCKS,DEN 26,320926,5437182,26,2,55.8,185,65,120,MALE,SUB ADULT,NA,>100,>100,SW,SW,N,15:20,APRIL 16 2017,SAME AS CAPTURE,0,SWAB 27
989001006112868,4/16/2017,14:37,"DME, JRM",NO,RATTLE,SUNNY CLOUDY,9,17.6,19.4,SIGHT,BASKING,TALUS SLOPE,ON ROCKS,DEN 26,320926,5437182,26,67,41.4,134,84,50,MALE,JUVENILE,NA,>100,>100,SW,SW,N,15:28,APRIL 16 2017,SAME AS CAPTURE,0,
989001006112850,4/16/2017,14:37,"DME, JRM",NO,RATTLE,SUNNY CLOUDY,9,17.6,19.4,SIGHT,BASKING,TALUS SLOPE,ON ROCKS,DEN 26,320926,5437182,26,2,53.2,215,65,150,FEMALE,ADULT,NON-GRAVID,>100,>100,SW,SW,N,15:47,APRIL 16 2017,SAME AS CAPTURE,0,
4C3C7F6430,4/16/2017,14:37,"DME, JRM",YES,RATTLE,SUNNY CLOUDY,9,17.6,19.4,SIGHT,BASKING,TALUS SLOPE,ON ROCKS,DEN 26,320926,5437182,26,67,55.6,255,84,171,FEMALE,ADULT,OVA DETECTED,>100,>100,SW,SW,N,15:57,APRIL 16 2017,SAME AS CAPTURE,0,SWAB 28 4 OVA DETECTED
989001006112833,4/16/2017,16:05,"DME, JRM",NO,RATTLE,SUNNY CLOUDY,9,17.4,18.3,SIGHT,COILED,TALUS SLOPE,ROCK OVERHANG,DEN 26,320926,5437182,26,67,57.6,205,85,120,FEMALE,ADULT,NON-GRAVID,>100,>100,SW,SW,N,16:16,APRIL16 2017,SAME AS CAPTURE,0,SWAB 28
4C133B1B24,4/17/2017,12:51,"JRM, DAS RPR",YES,RATTLE,SUNNY CLOUDY,7,19.4,20.3,SIGHT,BASKING,TALUS SLOPE,ON ROCKS,DEN 6,322933,5435288,6,62,77.5,339,87,252,MALE,ADULT,NA,>100,>100,SW,SW,N ,13:12,APRIL 17 2017,SAME AS CAPTURE,0,SWAB 29/ B29
989001005710878,4/17/2017,12:51,"JRM, DAS RPR",NO,RATTLE,SUNNY CLOUDY,7,19.4,20.3,SIGHT,BASKING,TALUS SLOPE,ON ROCKS,DEN 6,322933,5435288,6,53,40.5,167,122,45,MALE,JUVENILE,NA,>100,>100,SW,SW,N,13:27,APRIL 17 2017,SAME AS CAPTURE,0,NO SWAB OR BLOOD SAMPLE
0A13677626,4/17/2017,12:51,"JRM, DAS RPR",YES,RATTLE,SUNNY CLOUDY,7,19.4,20.3,SIGHT,BASKING,TALUS SLOPE,ON ROCKS,DEN 6,322933,5435288,6,62,61.4,391,84,307,FEMALE,ADULT,OVA DETECTED,>100,>100,SW,SW,N,11:55,MAY 6 2017,SAME AS CAPTURE,13,"SWAB 30, 4 OVA DETECTED, POMONA"
0A13654B6C,4/17/2017,12:51,"JRM, DAS RPR",YES,RATTLE,SUNNY CLOUDY,7,19.4,20.3,SIGHT,BASKING,TALUS SLOPE,ON ROCKS,DEN 6,322933,5435288,6,62,65,335,,,FEMALE,ADULT,OVA DETECTED,>100,>100,SW,SW,N,11:55,MAY 6 2017,SAME AS CAPTURE,14,"SWAB 31/B31, MINERVA"
989001006112817,4/17/2017,14:13,"JRM, DAS RPR",NO,RATTLE,CLOUDY,8,16.5,19.8,SIGHT,COILED,TALUS SLOPE,WITHIN ROCKS,DEN 6,322933,5435288,6,53,71.4,372,121,251,MALE,ADULT,NA,>100,>100,SW,SW,N,14:39,APRIL 17 2017,SAME AS CAPTURE,0,SWAB 32/B32
989001006112884,4/17/2017,14:13,"JRM, DAS RPR",NO,RATTLE,CLOUDY,8,16.5,19.8,SIGHT,COILED,TALUS SLOPE,WITHIN ROCKS,DEN 6,322933,5435288,6,53,66.1,330,122,208,MALE,ADULT,NA,>100,>100,SW,SW,N,14:50,APRIL 17 2017,SAME AS CAPTURE,0,SWAB 33
989001006112900,4/17/2017,14:13,"JRM, DAS RPR",NO,RATTLE,CLOUDY,8,16.5,19.8,SIGHT,COILED,TALUS SLOPE,WITHIN ROCKS,DEN 6,322933,5435288,6,53,59.3,244,122,122,MALE,ADULT,NA,>100,>100,SW,SW,N,14:59,APRIL 17 2017,SAME AS CAPTURE,0,SWAB 34
989001006112897,4/17/2017,14:13,"JRM, DAS, RPR",NO,RATTLE,CLOUDY,8,16.5,19.8,SIGHT,COILED,TALUS SLOPE,WITHIN ROCKS,DEN 6,322933,5435288,6,1,51.9,230,124,106,FEMALE,SUB ADULT,NON-GRAVID,>100,>100,SW,SW,N,15:10,APRIL 17 2017,SAME AS CAPTURE,0,SWAB 35
989001006112804,4/17/2017,14:13,"JRM, DAS, RPR",NO,RATTLE,CLOUDY,8,16.5,19.8,SIGHT,COILED,TALUS SLOPE,WITHIN ROCKS,DEN 6,322933,5435288,6,1,79.2,463,126,337,MALE,ADULT,NA,>100,>100,SW,SW,N,15:30,APRIL 17 2017,SAME AS CAPTURE,0,SWAB 36
989001006112867,4/17/2017,14:13,JRM DAS RPR,NO,RATTLE,CLOUDY,8,16.5,19.8,SIGHT,COILED,TALUS SLOPE,WITHIN ROCKS,DEN 6,322933,5435288,6,1,76.2,313,126,187,FEMALE,ADULT,POST PARDUM,>100,>100,SW,SW,N,15:49,APRIL 17 2017,SAME AS CAPTURE,0,SWAB 37
989001006112869,4/17/2017,14:13,JRM DAS RPR,NO,RATTLE,CLOUDY,8,16.5,19.8,SIGHT,COILED,TALUS SLOPE,WITHIN ROCKS,DEN 6,322933,5435288,6,53,62.5,275,122,153,FEMALE,ADULT,NON-GRAVID,>100,>100,SW,SW,N,16:05,APRIL 17 2017,SAME AS CAPTURE,0,SWAB 38
989001006112895,4/18/2017,13:20,"DME, JRM",NO,RATTLE,SUNNY CLOUDY,9,21.5,20.6,SIGHT,BASKING,TALUS SLOPE,ON ROCKS,RC DEN,322479,5435557,RC DEN,51,49.4,200,110,90,MALE,SUB ADULT,NA,>100,>100,S,S,N,14:14,APRIL 18 2017,SAME AS CAPTURE,0,
0A180D6000,4/18/2017,13:20,"DME, JRM",YES,RATTLE,SUNNY CLOUDY,9,21.5,20.6,SIGHT,BASKING,TALUS SLOPE,ON ROCKS,RC DEN,322479,5435557,RC DEN,51,58.5,260,110,150,FEMALE,ADULT,NON-GRAVID,>100,>100,S,S,N,14:21,APRIL 18 2017,SAME AS CAPTURE,0,
989001006112841,4/18/2017,13:20,"DME, JRM",YES,RATTLE,SUNNY CLOUDY,9,21.5,20.6,SIGHT,BASKING,TALUS SLOPE,ON ROCKS ,RC DEN,322479,5435557,RC DEN,PS I LOVE YOU,52.5,200,101,99,FEMALE,SUB ADULT,NON-GRAVID,>100,>100,S,S,N,13:58,APRIL 18 2017,SAME AS CAPTURE,0,
0A13677569,4/18/2017,13:20,"DME, JRM",YES,RATTLE,SUNNY CLOUDY,9,21.5,20.6,SIGHT,BASKING,TALUS SLOPE,ON ROCKS,RC DEN,322479,5435557,RC DEN,51,68.7,339,110,229,MALE,ADULT,NA,>100,>100,S,S,N,14:06,APRIL 18 2017,SAME AS CAPTURE,0,
989001005710949,4/18/2017,13:20,"DME, JRM",YES,RATTLE,SUNNY CLOUDY,9,21.5,20.6,SIGHT,BASKING,TALUS SLOPE,ON ROCKS,RC DEN,322479,5435557,RC DEN,60,66.5,270,106,161,MALE,ADULT,NA,>100,>100,S,S,N,13:37,APRIL 18 2017,SAME AS CAPTURE,0,
4C132C3146,4/18/2017,13:20,"DME, JRM",YES,RATTLE,SUNNY CLOUDY,9,21.5,20.6,SIGHT,BASKING,TALUS SLOPE,ON ROCKS,RC DEN,322479,5435557,RC DEN,60,65.4,309,110,199,MALE,ADULT,NA,>100,>100,S,S,N,13:44,APRIL 18 2017,SAME AS CAPTURE,0,
989001006112882,4/18/2017,12:05,"DME, JRM",NO,RATTLE,SUNNY,5,21.5,20.6,SIGHT,BASKING,TALUS SLOPE,ON ROCKS,DEN 8,322066,5435753,DEN 8,60,44.5,175,109,64,MALE,JUVENILE,NA,>100,>100,SW,SW,N,12:24,APRIL 18 2017,SAME AS CAPTURE,0,
4A1D697B47,4/18/2017,13:20,"DME, JRM",YES,RATTLE,SUNNY CLOUDY,9,21.5,20.6,SIGHT,BASKING,TALUS SLOPE,ON ROCKS,RC DEN,322479,5435557,RC DEN,60,78.3,452,101,351,MALE,ADULT,NA,>100,>100,SW,SW,N,13:30,APRIL 18 2017,SAME AS CAPTURE,0,
989001005040905,4/18/2017,13:20,"DME, JRM",YES,RATTLE,SUNNY CLOUDY,9,21.5,20.6,SIGHT,BASKING,TALUS SLOPE,ON ROCKS,RC DEN,322479,5435557,RC DEN,60,51.1,200,110,90,MALE,SUB ADULT,NA,>100,>100,SW,SW,N ,14:27,APRIL 18 2017,SAME AS CAPTURE,0,
989001004384284,4/18/2017,13:20,"DME, JRM",YES,RATTLE,SUNNY CLOUDY,9,21.5,20.6,SIGHT,BASKING,TALUS SLOPE,ON ROCKS,RC DEN,322479,5435557,RC DEN,63,52.4,198,110,88,MALE,SUB ADULT,NA,>100,>100,SW,SW,N,14:33,APRIL 18 2017,SAME AS CAPTURE,0,
989001006112832,4/18/2017,13:20,"DME, JRM",NO,RATTLE,SUNNY CLOUDY,9,21.5,20.6,SIGHT,BASKING,TALUS SLOPE,ON ROCKS,RC DEN,322479,5435557,RC DEN,60,55,220,149,71,FEMALE,JUVENILE,NON-GRAVID,>100,>100,SW,SW,N,14:42,APRIL 18 2017,SAME AS CAPTURE,0,
4C1333005C,4/19/2017,12:55,"DME, JRM",YES,RATTLE,SUNNY CLOUDY,9,15.8,17.6,SIGHT,COILED,TALUS SLOPE,UNDER ROCKS,DEN 27,320852,5437481,DEN 27,61,60.2,195,75,120,MALE,ADULT,NA,>100,>100,W,W,N,13:07,APRIL 19 2017,SAME AS CAPTURE,0,
0A180D5F52,4/21/2017,12:02,"DME, JRM",YES,RATTLE,SUNNY CLOUDY,3,15.7,15.4,SIGHT,BASKING,TALUS SLOPE,ON ROCKS,DEN 6,322933,5435288,DEN 6,67,60.4,285,120,165,FEMALE,ADULT,OVA DETECTED,>100,>100,S,S,N,14:34,APRIL 28 2017,SAME AS CAPTURE,7,3 OVA DETECTED- RELEASED DUE TO TOO MANY F FROM DEN 6
989001006112856,4/21/2017,12:30,"DME, JRM",NO,RATTLE,SUNNY CLOUDY,4,15.5,15.1,SIGHT,BASKING,TALUS SLOPE,IN ROCKS,DEN 6 SATTELITE,322952,5435278,DEN 6,67,67.3,316,84,232,MALE,ADULT,NA,>100,>100,S,S,N,12:48,APRIL 21 2017,SAME AS CAPTURE,0,
989001004384262,4/21/2017,12:30,"DME, JRM",YES,RATTLE,SUNNY CLOUDY,4,15.5,15.1,SIGHT,BASKING,TALUS SLOPE,ON ROCKS,DEN 6 SATTELITE,322952,5435278,DEN 6,67,70.2,298,82,216,MALE,ADULT,NA,>100,>100,S,S,N,12:55,APRIL 21 2017,SAME AS CAPTURE,0,
989001006112826,4/21/2017,13:23,"DME, JRM",NO,RACER,SUNNY CLOUDY,3,19.5,17.4,SIGHT,BASKING,TALUS SLOPE,WITHIN BUNCHGRASS,DEN 6 SATTELITE,322952,5435278,DEN 6,67,55.8,150,82,68,MALE,ADULT,NA,>100,>100,S,S,N,13:50,APRIL 21 2017,SAME AS CAPTURE,0,
989001004384275,4/21/2017,14:50,"DME, JRM",YES,GOPHER,SUNNY,2,24.8,22.5,SIGHT,COILED,OPEN FOREST,UNDER ROCKS,SHED SITE NORTH TRAIL,322274,5435285,,77,102.7,457,81,376,MALE,ADULT,NA,50-100,50,S,S,N,12:28,APRIL 21 2017,SAME AS CAPTURE,1,COILED NEAR OTHER GOPHER
989001006112870,4/21/2017,14:50,"DME, JRM",NO,GOPHER,SUNNY,2,24.8,22.5,SIGHT,COILED,OPEN FOREST,UNDER ROCKS,SHED SITE NORTH TRAIL,322274,5435285,,1,100.5,537,130,407,FEMALE,ADULT,NON-GRAVID,50-100,50,S,S,N,12:25,APRIL 21 2017,SAME AS CAPTURE,1,
989001005710932,4/21/2017,14:50,"DME, JRM",YES,RATTLE,SUNNY,2,24.8,22.5,SIGHT,BASKING,OPEN FOREST,WITHIN ROCKS,SHED SITE NORTH TRAIL,322274,5435285,,67,51.3,189,84,105,FEMALE,ADULT,POST PARDUM,50-100,50,S,S,N,12:29,APRIL 21 2017,SAME AS CAPTURE,0,
4C15247377,4/21/2017,12:30,"DME, JRM",YES,RATTLE,SUNNY CLOUDY,4,15.5,15.1,SIGHT,BASKING,TALUS SLOPE,ON ROCKS,DEN 6 SATELLITE,322952,5435278,DEN 6,77,74.5,309,80,229,MALE,ADULT,NA,>100,>100,S,S,N,13:05,APRIL 21 2017,SAME AS CAPTURE,0,
989001006112823,4/21/2017,12:30,"DME, JRM",NO,RATTLE,SUUNY CLOUDY,4,15.5,15.1,SIGHT,BASKING,TALUS SLOPE,ON ROCKS,DEN 6 SATELLITE,322952,5435278,DEN 6,67,62.2,255,79,146,MALE,ADULT,NA,>100,>100,S,S,N,13:20,APRIL 21 2017,SAME AS CAPTURE,0,
989001006112880,4/21/2017,15:46,"DME, JRM",NO,RATTLE,SUNNY,2,22.6,20.5,SIGHT,BASKING,TALUS SLOPE,ON ROCKS,RC DEN,322479,5435557,RC DEN,2,59.4,206,65,141,FEMALE,SUB ADULT,NON-GRAVID,>100,>100,S,S,N,16:04,APRIL 21 2017,SAME AS CAPTURE,0,
989001006112896,4/21/2017,15:46,"DME, JRM",NO,RATTLE,SUNNY,2,22.6,20.5,SIGHT,BASKING,TALUS SLOPE,ON ROCKS,RC DEN,322479,5435557,RC DEN,2,58.3,169,65,104,FEMALE,ADULT,POST-PARDUM,>100,>100,S,S,N,16:13,APRIL 21 2017,SAME AS CAPTURE,0,
989001006112810,4/21/2017,15:46,"DME, JRM",NO,RATTLE,SUNNY,2,22.6,20.5,SIGHT,BASKING,TALUS SLOPE,ON ROCKS,RC DEN,322479,5435557,RC DEN,2,63.2,281,64,217,MALE,ADULT,NA,>100,>100,S,S,N,16:39,APRIL 21 2017,SAME AS CAPTURE,0,
989001005710895,4/21/2017,15:46,"DME, JRM",NO,RATTLE,SUNNY,2,22.6,20.5,SIGHT,BASKING,TALUS SLOPE,ON ROCKS,RC DEN,322479,5435557,RC DEN,2,51.3,172,64,108,MALE,SUB ADULT,NA,>100,>100,S,S,N,16:50,APRIL 21 2017,SAME AS CAPTURE,0,
989001004384296,4/21/2017,15:46,"DME, JRM",YES,RATTLE,SUNNY,2,22.6,20.5,SIGHT,BASKING,TALUS SLOPE,ON ROCKS,RC DEN,322479,5435557,RC DEN,2,64.1,236,64,172,FEMALE,ADULT,NON-GRAVID,>100,>100,S,S,N,16:15,APRIL 21 2017,SAME AS CAPTURE,0,
0A180D5F47,4/21/2017,15:46,"DME, JRM",YES,RATTLE,SUNNY,2,22.6,20.5,SIGHT,BASKING,TALUS SLOPE,ON ROCKS,RC DEN,322479,5435557,RC DEN,2,59.9,190,64,126,FEMALE,ADULT,NON-GRAVID,>100,>100,S,S,N,16:27,APRIL 21 2017,SAME AS CAPTURE,0,
989001005710939,4/21/2017,15:46,"DME, JRM",YES,RATTLE,SUNNY,2,22.6,20.5,SIGHT,BASKING,TALUS SLOPE,ON ROCKS,RC DEN,322479,5435557,RC DEN,2,45.2,135,64,71,MALE,JUVENILE,NA,>100,>100,S,S,N,16:57,APRIL 21 2017,SAME AS CAPTURE,0,
989001006112816,4/21/2017,15:46,"DME, JRM",NO,RATTLE,SUNNY,2,22.6,20.5,SIGHT,BASKING,TALUS SLOPE,ON ROCKS,RC DEN,322479,5435557,RC DEN,2,47.3,120,65,155,FEMALE,JUVENILE,NON-GRAVID,>100,>100,S,S,N,17:09,APRIL 21 2017,SAME AS CAPTURE,0,
989001006112861,4/21/2017,15:46,"DME, JRM",NO,RATTLE,SUNNY,2,22.6,20.5,SIGHT,BASKING,TALUS SLOPE,ON ROCKS,RC DEN,322479,5435557,RC DEN,2,37.2,105,65,40,FEMALE,JUVENILE,NON-GRAVID,>100,>100,S,S,N,17:18,APRIL 21 2017,SAME AS CAPTURE,0,
989001006112839,4/21/2017,17:40,"DME, JRM",NO,RATTLE,SUNNY,2,20.5,17.6,SIGHT,BASKING,TALUS SLOPE,ON ROCKS,RC DEN,322479,5435557,RC DEN,2,60.2,269,64,204,FEMALE,ADULT,OVA DETECTED,>100,>100,S,S,N,13:02,MAY 5 2017,SAME AS CAPTURE,14,"4 OVA DETECTED, TONKS"
989001006112881,4/21/2017,17:40,"DME, JRM",NO,RATTLE,SUNNY,2,20.5,17.6,SOUND,BASKING,TALUS SLOPE,WITHIN ROCKS,RC DEN,322479,5435557,RC DEN,2,54.5,182,66,116,MALE,SUB ADULT,NA,>100,>100,S,S,N,18:09,APRIL 21 2017,SAME AS CAPTURE,0,
989001006112830,4/21/2017,17:40,"DME, JRM",NO,RATTLE,SUNNY,2,20.5,17.6,SIGHT,BASKING,TALUS SLOPE,WITHIN ROCKS,RC DEN,322479,5435557,RC DEN,2,60,195,65,130,FEMALE,ADULT,NON-GRAVID,>100,>100,S,S,N,18:19,APRIL 21 2017,SAME AS CAPTURE,0,
989001006112864,4/21/2017,18:30,"DME, JRM",NO,RATTLE,SUNNY,2,18.9,15.7,SIGHT,BASKING,TALUS SLOPE,WITHIN ROCKS ,RC DEN,322479,5435557,RC DEN,2,55.5,246,65,181,FEMALE,ADULT,OVA DETECTED,>100,>100,S,S,N,13:02,MAY 5 2017,SAME AS CAPTURE,14,"3 OVA DETECTED, LUNA"
989001005710924,4/21/2017,18:30,"DME, JRM",YES,RATTLE,SUNNY,2,18.9,15.7,SIGHT,BASKING,TALUS SLOPE,WITHIN ROCKS,RC DEN,322479,5435557,RC DEN,2,63,230,64,166,MALE,ADULT,NA,>100,>100,S,S,N,18:47,APRIL 21 2017,SAME AS CAPTURE,0,
NO PTT,4/21/2017,15:46,"DME, JRM",NO,RATTLE,SUNNY,2,22.6,20.5,SIGHT,BASKING,TALUS SLOPE,ON ROCKS,RC DEN,322479,5435557,RC DEN,,43.2,118,65,53,FEMALE,JUVENILE,NON-GRAVID,>100,>100,S,S,N,17:30,APRIL 21 2017,SAME AS CAPTURE,0,
NO PTT,4/21/2017,18:30,"DME, JRM",NO,RATTLE,SUNNY ,1,18.9,15.7,SIGHT,BASKING,TALUS SLOPE,IN ROCKS,RC DEN,322479,5435557,RC DEN,2,56.5,172,65,107,FEMALE,SUB ADULT,NON-GRAVID,>100,>100,S,S,N,18:56,APRIL 21 2017,SAME AS CAPTURE,0,
989001006112809,4/22/2017,12:31,"DME, JRM",NO,RATTLE,SUNNY CLOUDY,7,21.9,22.1,SOUND,BASKING,PINE STAND,WITHIN ROCKS,SHED SITE NORTH TRAIL,322281,5435287,,51,56.5,237,110,127,FEMALE,ADULT,NON-GRAVID,50-100,50,S,S,N,12:48,APRIL 22 2017,SAME AS CAPTURE,0,
