PIT Tag #,Date,Time,Researcher,Species,Encounter,Detection,Recap,Location,Mode,Avg Count,Error,Elevatlon,Easting,Northing,Waypoint,Habitat,Weather,Cloud cover,Ta,Tg,Comments,Pillow case,SVL,VTL,S + B,Bag,Mass,Sex,Age class,Gravid,Rattle paint,Photo #,Comments,Rel date,Rel time,Rel researcher,Days in captivity,Rel locatlon,Behaviour,Record #,Recapture Information,Hibernation Site
15,18/04/2005,12:00,"JRB, RH",Rattlesnake,Capt,Sight,No,Den 06,3D diff,50,4.9,550,322933,5435288,Den 06,"Den, Rock slide","Warm, Sunny",50,,,,None,63.6,5.1,300,125,175,Male,Adult,NA,Fiesta yellow,Record # in photo,,18/04/2005,12:00,JRB,0,At capture location,,2005-15,,Den 06
16,18/04/2005,12:00,"JRB, RH",Rattlesnake,Capt,Sight,No,Den 06,3D diff,50,4.9,550,322933,5435288,Den 06,"Den, Rock slide","Warm, Sunny",50,,,,None,47.2,3.5,190,125,65,Male,Juvenile,NA,Fiesta yellow,Record # in photo,,18/04/2005,12:00,JRB,0,At capture location,,2005-16,,Den 06
445e0f1635,18/04/2005,12:00,"JRB, RH",Rattlesnake,Capt,Sight,Yes,Den 06,3D diff,50,4.9,550,322933,5435288,Den 06,"Den, Rock slide","Warm, Sunny",50,,,,None,54.5,3,265,125,140,Female,Sub Adult,No,"Fuchsia, Royal blue, Royal blue",Record # in photo,,18/04/2005,12:00,JRB,0,At capture location,,2005-17,rec 2004-206,Den 06
18,18/04/2005,12:00,"JRB, RH",Rattlesnake,Capt,Sight,No,Den 06,3D diff,50,4.9,550,322933,5435288,Den 06,"Den, Rock slide","Warm, Sunny",50,,,,None,52.2,2.4,240,125,115,Female,Sub Adult,No,Fiesta yellow,Record # in photo,,18/04/2005,12:00,JRB,0,At capture location,,2005-18,,Den 06
19,18/04/2005,12:00,"JRB, RH",Rattlesnake,Capt,Sight,No,Den 06,3D diff,50,4.9,550,322933,5435288,Den 06,"Den, Rock slide","Warm, Sunny",50,,,,None,59.2,4.7,300,125,175,Male,Adult,NA,Fiesta yellow,Record # in photo,,18/04/2005,12:00,JRB,0,At capture location,,2005-19,,Den 06
20,18/04/2005,12:00,"JRB, RH",Rattlesnake,Capt,Sight,No,Den 06,3D diff,50,4.9,550,322933,5435288,Den 06,"Den, Rock slide","Warm, Sunny",50,,,,None,31.6,2,150,125,25,,Neonate,NA,Fiesta yellow,Record # in photo,,18/04/2005,12:00,JRB,0,At capture location,,2005-20,,Den 06
21,18/04/2005,12:00,"JRB, RH",Rattlesnake,Capt,Sight,No,Den 06,3D diff,50,4.9,550,322933,5435288,Den 06,"Den, Rock slide","Warm, Sunny",50,,,,None,39.3,2.1,155,125,30,Male,Juvenile,NA,Fiesta yellow,Record # in photo,,18/04/2005,12:00,JRB,0,At capture location,,2005-21,,Den 06
22,18/04/2005,12:00,"JRB, RH",Rattlesnake,Capt,Sight,No,Den 06,3D diff,50,4.9,550,322933,5435288,Den 06,"Den, Rock slide","Warm, Sunny",50,,,,None,68.7,4.9,262,85,177,Male,Adult,NA,Fiesta yellow,Record # in photo,,18/04/2005,12:00,JRB,0,At capture location,,2005-22,,Den 06
23,18/04/2005,12:00,"JRB, RH",Rattlesnake,Capt,Sight,No,Den 06,3D diff,50,4.9,550,322933,5435288,Den 06,"Den, Rock slide","Warm, Sunny",50,,,,None,64.1,4.8,320,125,195,Male,Adult,NA,Fiesta yellow,Record # in photo,,18/04/2005,12:00,JRB,0,At capture location,,2005-23,,Den 06
430765231e,18/04/2005,12:00,"JRB, RH",Rattlesnake,Capt,Sight,Yes,Den 06,3D diff,50,4.9,550,322933,5435288,Den 06,"Den, Rock slide","Warm, Sunny",50,,,,None,71.7,5,325,125,200,Male,Adult,NA,"Red, White, Red",Record # in photo,"Pit number of old record dosent match with this one, most likely a 2003 copy error",18/04/2005,12:00,JRB,0,At capture location,,2005-24,rec 2003-20,Den 06
25,18/04/2005,12:00,"JRB, RH",Rattlesnake,Capt,Sight,No,Den 06,3D diff,50,4.9,550,322933,5435288,Den 06,"Den, Rock slide","Warm, Sunny",50,,,,None,60.5,4.6,325,125,200,Male,Adult,NA,Fiesta yellow,Record # in photo,,18/04/2005,12:00,JRB,0,At capture location,,2005-25,,Den 06
26,18/04/2005,12:00,"JRB, RH",Rattlesnake,Capt,Sight,No,Den 06,3D diff,50,4.9,550,322933,5435288,Den 06,"Den, Rock slide","Warm, Sunny",50,,,,None,66,5,320,125,195,Male,Adult,NA,Fiesta yellow,Record # in photo,,18/04/2005,12:00,JRB,0,At capture location,,2005-26,,Den 06
27,18/04/2005,12:00,"JRB, RH",Rattlesnake,Capt,Sight,No,Den 06,3D diff,50,4.9,550,322933,5435288,Den 06,"Den, Rock slide","Warm, Sunny",50,,,,None,42,3.1,170,125,45,,Juvenile,NA,Fiesta yellow,Record # in photo,,18/04/2005,12:00,JRB,0,At capture location,,2005-27,,Den 06
28,18/04/2005,12:00,"JRB, RH",Rattlesnake,Capt,Sight,No,Den 06,3D diff,50,4.9,550,322933,5435288,Den 06,"Den, Rock slide","Warm, Sunny",50,,,,None,80,6.1,415,125,290,Male,Adult,NA,Fiesta yellow,Record # in photo,,18/04/2005,12:00,JRB,0,At capture location,,2005-28,,Den 06
29,18/04/2005,12:00,"JRB, RH",Rattlesnake,Capt,Sight,No,Den 06,3D diff,50,4.9,550,322933,5435288,Den 06,"Den, Rock slide","Warm, Sunny",50,,,,None,59.3,3.6,275,125,150,Female,Adult,No,Fiesta yellow,Record # in photo,,18/04/2005,12:00,JRB,0,At capture location,,2005-29,,Den 06
30,18/04/2005,12:00,"JRB, RH",Rattlesnake,Capt,Sight,No,Den 06,3D diff,50,4.9,550,322933,5435288,Den 06,"Den, Rock slide","Warm, Sunny",50,,,,None,60.7,4.5,260,125,135,Male,Adult,NA,Fiesta yellow,Record # in photo,,18/04/2005,12:00,JRB,0,At capture location,,2005-30,,Den 06
31,18/04/2005,12:00,"JRB, RH",Rattlesnake,Capt,Sight,No,Den 06,3D diff,50,4.9,550,322933,5435288,Den 06,"Den, Rock slide","Warm, Sunny",50,,,,None,62.2,5,280,125,155,Male,Adult,NA,Fiesta yellow,Record # in photo,,18/04/2005,12:00,JRB,0,At capture location,,2005-31,,Den 06
32,18/04/2005,12:00,"JRB, RH",Rattlesnake,Capt,Sight,No,Den 06,3D diff,50,4.9,550,322933,5435288,Den 06,"Den, Rock slide","Warm, Sunny",50,,,,None,60,4.1,365,125,240,Male,Adult,NA,Fiesta yellow,Record # in photo,,18/04/2005,12:00,JRB,0,At capture location,,2005-32,,Den 06
45756F476D,18/04/2005,12:00,"JRB, RH",Rattlesnake,Capt,Sight,No,Den 06,3D diff,50,4.9,550,322933,5435288,Den 06,"Den, Rock slide","Warm, Sunny",50,,,,None,48.4,3.8,205,125,80,Male,Sub Adult,NA,Fiesta yellow,Record # in photo,,18/04/2005,12:00,JRB,0,At capture location,,2005-33,,Den 06
34,18/04/2005,12:00,"JRB, RH",Rattlesnake,Capt,Sight,No,Den 06,3D diff,50,4.9,550,322933,5435288,Den 06,"Den, Rock slide","Warm, Sunny",50,,,,None,50,3.8,220,125,95,Male,Sub Adult,NA,Fiesta yellow,Record # in photo,,18/04/2005,12:00,JRB,0,At capture location,,2005-34,,Den 06
35,18/04/2005,12:00,"JRB, RH",Rattlesnake,Capt,Sight,No,Den 06,3D diff,50,4.9,550,322933,5435288,Den 06,"Den, Rock slide","Warm, Sunny",50,,,,None,63,4.5,260,125,135,Male,Adult,NA,Fiesta yellow,Record # in photo,,18/04/2005,12:00,JRB,0,At capture location,,2005-35,,Den 06
36,18/04/2005,12:00,"JRB, RH",Rattlesnake,Capt,Sight,No,Den 06,3D diff,50,4.9,550,322933,5435288,Den 06,"Den, Rock slide","Warm, Sunny",50,,,,None,59.5,3.7,255,125,130,Female,Adult,No,Fiesta yellow,Record # in photo,,18/04/2005,12:00,JRB,0,At capture location,,2005-36,,Den 06
37,18/04/2005,12:00,"JRB, RH",Rattlesnake,Capt,Sight,No,Den 06,3D diff,50,4.9,550,322933,5435288,Den 06,"Den, Rock slide","Warm, Sunny",50,,,,None,64.6,5.3,320,125,195,Male,Adult,NA,Fiesta yellow,Record # in photo,,18/04/2005,12:00,JRB,0,At capture location,,2005-37,,Den 06
38,18/04/2005,12:00,"JRB, RH",Rattlesnake,Capt,Sight,No,Den 06,3D diff,50,4.9,550,322933,5435288,Den 06,"Den, Rock slide","Warm, Sunny",50,,,,None,80.2,6.5,375,125,250,Male,Adult,NA,Fiesta yellow,Record # in photo,,18/04/2005,12:00,JRB,0,At capture location,,2005-38,,Den 06
453f4c781b,18/04/2005,12:00,"JRB, RH",Rattlesnake,Capt,Sight,No,Den 06,3D diff,50,4.9,550,322933,5435288,Den 06,"Den, Rock slide","Warm, Sunny",50,,,,None,48.8,3.5,210,125,85,Male,Sub Adult,NA,"Fiesta yellow, Car Pink",Record # in photo,,18/04/2005,12:00,JRB,0,At capture location,,2005-39,,Den 06
40,18/04/2005,12:00,"JRB, RH",Rattlesnake,Capt,Sight,No,Den 06,3D diff,50,4.9,550,322933,5435288,Den 06,"Den, Rock slide","Warm, Sunny",50,,,,None,50.1,3.6,215,125,90,Male,Sub Adult,NA,Fiesta yellow,Record # in photo,,18/04/2005,12:00,JRB,0,At capture location,,2005-40,,Den 06
41,18/04/2005,12:00,"JRB, RH",Rattlesnake,Capt,Sight,No,Den 06,3D diff,50,4.9,550,322933,5435288,Den 06,"Den, Rock slide","Warm, Sunny",50,,,,None,49,4,205,125,80,Male,Sub Adult,NA,Fiesta yellow,Record # in photo,,18/04/2005,12:00,JRB,0,At capture location,,2005-41,,Den 06
42,18/04/2005,12:00,"JRB, RH",Rattlesnake,Capt,Sight,No,Den 06,3D diff,50,4.9,550,322933,5435288,Den 06,"Den, Rock slide","Warm, Sunny",50,,,,None,55.1,4.5,220,125,95,Male,Adult,NA,Fiesta yellow,Record # in photo,,18/04/2005,12:00,JRB,0,At capture location,,2005-42,,Den 06
43,18/04/2005,12:00,"JRB, RH",Rattlesnake,Capt,Sight,No,Den 06,3D diff,50,4.9,550,322933,5435288,Den 06,"Den, Rock slide","Warm, Sunny",50,,,,None,56.3,3.4,277.5,125,152.5,Female,Sub Adult,No,Fiesta yellow,Record # in photo,,18/04/2005,12:00,JRB,0,At capture location,,2005-43,,Den 06
44,18/04/2005,12:00,"JRB, RH",Rattlesnake,Capt,Sight,No,Den 06,3D diff,50,4.9,550,322933,5435288,Den 06,"Den, Rock slide","Warm, Sunny",50,,,,None,47.3,3.5,200,125,75,Male,Juvenile,NA,Fiesta yellow,Record # in photo,,18/04/2005,12:00,JRB,0,At capture location,,2005-44,,Den 06
4305321c27,18/04/2005,12:00,"JRB, RH",Rattlesnake,Capt,Sight,Yes,Den 06,3D diff,50,4.9,550,322933,5435288,Den 06,"Den, Rock slide","Warm, Sunny",50,,,,None,67,5.5,360,125,235,Male,Adult,NA,"Yellow, White, Yellow",Record # in photo,,18/04/2005,12:00,JRB,0,At capture location,,2005-45,"rec 2004-97, 97a, 2003-2",Den 06
452f717358,18/04/2005,12:00,"JRB, RH",Rattlesnake,Capt,Sight,Yes,Den 06,3D diff,50,4.9,550,322933,5435288,Den 06,"Den, Rock slide","Warm, Sunny",50,,,,None,54.2,4.5,245,125,120,Male,Adult,NA,"Fuchsia, Royal blue, Fiesta yellow",Record # in photo,,18/04/2005,12:00,JRB,0,At capture location,,2005-46,"rec 2004-138, 138a",Den 06
445e22011e,18/04/2005,12:00,"JRB, RH",Rattlesnake,Capt,Sight,Yes,Den 06,3D diff,50,4.9,550,322933,5435288,Den 06,"Den, Rock slide","Warm, Sunny",50,,,,None,47.5,2.8,205,125,80,Female,Sub Adult,No,"Fuchsia, Fuchsia, Red",Record # in photo,,18/04/2005,12:00,JRB,0,At capture location,,2005-47,rec 2004-191,Den 06
4462131516,18/04/2005,12:00,"JRB, RH",Rattlesnake,Capt,Sight,Yes,Den 06,3D diff,50,4.9,550,322933,5435288,Den 06,"Den, Rock slide","Warm, Sunny",50,,,,None,60.1,4.5,290,125,165,Male,Adult,NA,"Fuchsia, Daisy cream, Daisy cream",Record # in photo,,18/04/2005,12:00,JRB,0,At capture location,,2005-48,rec 2004-207,Den 06
49,18/04/2005,12:00,"JRB, RH",Rattlesnake,Capt,Sight,No,Den 06,3D diff,50,4.9,550,322933,5435288,Den 06,"Den, Rock slide","Warm, Sunny",50,,,,None,40.4,3,170,125,45,Male,Juvenile,NA,Fiesta yellow,Record # in photo,,18/04/2005,12:00,JRB,0,At capture location,,2005-49,,Den 06
4558524e7d,20/04/2005,13:56,JRB,Rattlesnake,Capt,Sight,No,Den 20,3D diff,25,6.4,384,321430,5436035,Co01200405,Rock slide,"Warm, Overcast",75,19.8,23.9,,Blue stripe,65.5,5.5,333,100,233,Male,Adult,NA,"Fiesta yellow, Pt purple, Car pink",,Only 2.5 rattles fit colour in,25/04/2005,15:46,"JRB, RH",5,At capture location,Under rock,2005-50,,Den 20
456a5d0903,20/04/2005,14:35,JRB,Rattlesnake,Capt,Sight,No,Den 21,3D diff,50,5.1,370,321284,5436102,Co02200405,Rock outcrop,"Warm, Overcast",75,25.3,27.5,,Kids,64.5,5.5,296,100,196,Male,Adult,NA,Trans blue,,Implant - hydro,27/04/2005,13:36,"JRB, RH",7,At capture location,"Basking, Coiled",2005-51,,Den 21
45557a5a6b,20/04/2005,15:07,JRB,Rattlesnake,Capt,Sight,No,Den 22,3D diff,70,2.9,366,321132,5436254,Co03200405,Rock slide,"Warm, Overcast",100,25.8,26.2,,blue/orange stripe,77,6.5,370,100,270,Male,Adult,NA,Trans blue,,Implant - Zissou,27/04/2005,14:03,"JRB, RH",7,"At capture location, off by 20m released at den 22","Coiled, Basking",2005-52,,Den 22
4550227d07,20/04/2005,15:24,JRB,Rattlesnake,Capt,Sight,No,W of den 22 at base of mtn,3D diff,50,3.8,353,321087,5436272,Co04200405,Shrub-steppe,"Warm, Overcast",100,26.7,27.1,,Yellow flowers,74,6,344,100,244,Male,Adult,NA,Trans blue,,Implant - Louie,27/04/2005,14:12,"JRB, RH",7,ca. 20m from  capture location at den 22 by accident,"Stretched out, Basking, beside rock",2005-53,,Den 22
4538071a5f,20/04/2005,16:14,JRB,Rattlesnake,Capt,Sight,No,Den 24,3D diff,50,2.5,437,321191,5436313,Co05200405,Rock outcrop,"Warm, Overcast",100,24.1,25.5,,Yellow/brown spots,72,5.5,327,100,227,Male,Adult,NA,Trans blue,,Implant - Wesley,27/04/2005,14:59,"JRB, RH",7,At capture location,"Basking, Coiled on rocks",2005-54,,Den 24
457e305101,21/04/2005,12:27,"JRB, RH",Rattlesnake,Capt,Sight,No,Den 05,3D diff,50,6.4,431,321967,5435905,Den 05,"Den, Rock slide","Hot, Sunny",25,,,,None,71.5,5.5,385,123,262,Male,Adult,NA,Fiesta yellow,Record # in photo,,21/04/2005,13:00,JRB,,At capture location,,2005-55,,Den 05
56,21/04/2005,12:27,"JRB, RH",Rattlesnake,Capt,Sight,No,Den 05,3D diff,50,6.4,431,321967,5435905,Den 05,"Den, Rock slide","Hot, Sunny",25,,,,None,50.7,4.9,225,123,102,Male,Sub Adult,NA,Fiesta yellow,Record # in photo,,21/04/2005,13:00,JRB,,At capture location,,2005-56,,Den 05
57,21/04/2005,12:27,"JRB, RH",Rattlesnake,Capt,Sight,No,Den 05,3D diff,50,6.4,431,321967,5435905,Den 05,"Den, Rock slide","Hot, Sunny",25,,,,None,25.7,1.6,135,123,12,,Neonate,NA,Fiesta yellow,Record # in photo,,21/04/2005,13:00,JRB,,At capture location,,2005-57,,Den 05
452f536e29,24/04/2005,15:57,JRB,Rattlesnake,Capt,Sight,Yes,High desert N end,3D diff,50,6.5,332,321591,5435487,Co01240405,Shrub-steppe,"Hot, Sunny",50,31.2,33.9,,Striped,55.3,3.4,245,99,146,Female,Sub Adult,NA,"Fuchsia, Car pink, Lt blue",,,25/04/2005,17:25,JRB,1,At capture location,On the move,2005-58,rec 2004-55,
445c682018,2/5/2005,16:50,"JRB, RH",Rattlesnake,Capt,Sound,Yes,Across from site 162,3D diff,100,6,276,321454,5435047,Co03020505,CG edge,"Warm, Sunny",50,29.1,29.5,,Kids,60,3.4,282,89,193,Female,Adult,No,"Fuchsia, Daisy cream, Tango blue",Yes,"Looks gravid but I could not feel embryos, likely just well fed",3/5/2005,15:03,JRB,1,"258m E of capt at 321617, 5435258, 2.5, 10",Coiled in rabbit brush,2005-59,rec 2004-98,
4305321c27,28/04/2005,10:22,RH,Rattlesnake,05recap,Sight,Yes,N washroom at CG,3D diff,,,283,321357,5435298,Co01280405,Grass,"Hot, Sunny",25,,,"Info missing, roger didnt do a capt sheet",,,,,,,Male,Adult,NA,"Yellow, White, Yellow",,,30/04/2005,13:58,JRB,2,"426m E of capture at 321779, 5435366, 4.6, 72",,2005-45a,"rec 2005-45, 2004-97, 97a, 2003-2",
433e515572,2/5/2005,16:50,Construction staff,Rattlesnake,Capt,Sight,Yes,Spirit ridge,3D diff,50,5,322,322128,5434763,Co01020505,Sand,"Warm, Sunny",50,,,,Pink flowers,68.5,6,364,93,271,Male,Adult,NA,"Pink, Green, Red",Yes,,3/5/2005,14:46,JRB,1,"760m N at 321850, 5435471, 5.0, 30",Under barrel,2005-60,"rec 2004-202, 2003-103",
453a073f12,2/5/2005,16:50,Construction staff,Rattlesnake,Capt,Sight,No,Spirit ridge,3D diff,50,5,322,322128,5434763,Co02020505,Sand,"Warm, Sunny",50,,,,Striped,60.7,4.5,270,124,146,Male,Sub Adult,NA,"Fiesta yellow, Pt purple, Fuchsia",Yes,,3/5/2005,14:52,JRB,1,"871m N of capt at 321734, 5435538, 2.5, 30",under barrel,2005-61,,
445e1b2963,2/5/2005,17:17,JRB,Rattlesnake,Capt,Sight,Yes,Lone pine bridge,3D diff,50,5.3,328,322145,5435057,Co04020505,Bridge,"Warm, Sunny",50,,,,Yellow/brown,54.3,4.3,240,125,115,Male,Sub Adult,NA,"Fuchsia, Red, Lt blue",Yes,,3/5/2005,14:20,JRB,1,At capture location,Coiled,2005-62,rec 2004-152,
452e260d22,3/5/2005,14:37,"JRB, RH",Rattlesnake,,Sight,Yes,Village,3D diff,25,4.3,332,321980,5435347,Co01030505,Riparian,"Warm, Overcast",100,23.1,25.6,"This is tipi, will be held for surgery, pit tag is dead",Yellow/brown,,,405,125,280,Male,Adult,NA,"Trans blue, yellow",,,7/5/2005,13:27,JRB,4,"At capture location, post surgery",On the move,2005-63,"rec 2004-63, 2003-60",
4548022921,3/5/2005,15:07,JRB,Rattlesnake,Capt,Sight,No,"High desert, mid W side",3D diff,50,4.5,330,321619,5435266,Co02030505,"Shrub-steppe, Antelope brush","Warm, Overcast",100,21.8,24.3,Has a meal in it,Pink flowers,52.1,3,242,93,149,Female,Adult,No,"Fiesta yellow, Pt purple, Citrus green",Yes,,4/5/2005,13:57,JRB,1,At capture location,On the move,2005-64,,
454b7f2c5e,3/5/2005,15:40,RH,Rattlesnake,Capt,Sight,No,Golf course,3D diff,50,4.9,326,322235,5434615,Co02030505,GC,"Warm, Overcast",100,,,,Striped,66,5.4,318,102,216,Male,Adult,NA,"Fiesta yellow, Pt purple, Daisy cream",yes,,4/5/2005,12:33,JRB,1,"690m N of capt at 322506, 5435253, 3.0, 50",,2005-65,,
433e490243,3/5/2005,15:18,JRB,Rattlesnake,05recap,Sight,Yes,"High desert, N end",3D diff,30,6.4,321,321557,5435461,Co03030505,Shrub-steppe,"Warm, Overcast",100,24.7,24.6,"Sighting only, incicion site looks good, capt in spring for trans removal but only surgical rec taken, ribeye",,,,,,,,,,,,,,,,,Sighting only,On the move,Ribeye,"rec 2004-35, 2003-35, 93",
45505d7573,4/5/2005,13:46,JRB,Rattlesnake,Capt,Sight,No,High desert S end,3D diff,40,2.5,333,321856,5435085,3635040505,"Antelope brush, Shrub-steppe","Warm, Overcast",75,25.3,30.1,,Green,48.5,4.1,200,118,82,Male,Sub Adult,NA,"Fiesta yellow, Pt purple, Blue bell",Yes,,5/5/2005,13:43,"JRB, RH",1,At capture location,Looped,2005-67,,
Co01050505,5/5/2005,11:44,CG staff,Rattlesnake,Capt,Sight,No,Boat launch at N end CG,3D diff,100,2.9,282,321280,5435360,Co01050505,Grass,"Warm, Sunny",25,,,,White,25.4,1.8,117,103,14,,Neonate,NA,Fiesta yellow,Yes,,6/5/2005,15:00,RH,1,"953m from cature at 322213 5435216, ithink",On the move,2005-68,,
45555e6c23,5/5/2005,17:40,JRB,Rattlesnake,Capt,Sight,No,"High desert, N end",3D diff,100,4.9,311,321412,5435418,Co02050505,Shrub-steppe,"Warm, Sunny",75,,,,Green,56.5,5.1,273,82,191,Male,Adult,NA,"Fiesta yellow, Pt purple, Deep aqua",Yes,,6/5/2005,17:00,RH,1,At capture location,,2005-69,,
4570773a15,7/5/2005,16:54,JRB,Rattlesnake,Capt,Sound,No,"N desert, mid W side",3D gps,25,4.7,335,320576,5436290,Co01070505,Shrub-steppe,"Warm, Sunny",50,29.8,26.8,,Beige flowers,59.7,3.9,302,81,221,Female,Adult,Yes,"Fiesta yellow, Pt purple, Royal blue",Yes,"Coud feel 6 young, caught at the lake?",9/5/2005,16:42,RH,2,At capture location,On the move,2005-70,,
452f325818,7/5/2005,17:06,JRB,Rattlesnake,Capt,Sight,Yes,"N desert, mid W side",3D diff,25,2.7,322,320826,5436075,Co02070505,Shrub-steppe,"Warm, Cloudy",75,29.8,26.8,,Pink/blue,59.8,4.7,232,79,153,Male,Adult,NA,"Fuchsia, Tango blue, Red",Yes,,9/5/2005,16:25,RH,2,At capture location,On the move,2005-71,rec 2004-85,
457a4c157f,8/5/2005,11:50,GC staff,Rattlesnake,Capt,Sight,No,9th fairway,3D diff,100,4.7,345,322484,5434561,,Grass,Raining,100,,,,Green,60.9,3.4,332,81,251,Female,Adult,Yes,"Fiesta yellow, Pt purple, Lt blue",Yes,6 young based on palpation,10/5/2005,15:03,JRB,2,"699m NW AT 321933, 5434996 6.5, 25",,2005-72,,
