PIT Tag #,Date,Time,Researcher,Spp,Encounter,Detection,Recap,Location,Mode,Avg Count,Error,Elevatlon,Easting,Northing,Waypoint,Habitat,Weather,Cloud cover,Ta,Tg,Comments,Pillow case,SVL,VTL (cm),S + B,Bag,Mass (g),Sex,Age class,Gravid,Rattle paint,Photo #,Comments,Rel date,Rel time,Rel researcher,Days in captivity,Rel locatlon,Behaviour,Record #,Type,Dist to Building,Dist to Road,Dir to Building,Dir to Road,
4849630A7A,5/8/2008,14:32,LG,Rattlesnake,,Sight,No,"West fairway 1, Golf Course",3D diff,195,5.3,335,322194,5434846, c008050805,"Grassland, Sagebrush","Raining, Cool, Cloudy",75,15.6,16,,Lion king,58.9,3.4,303,104,199,Female,Adult,Yes,"Gold, Red, Citrus green",,Three distinct lumps,5/9/2008,9:32,LG,1,Pine tree bridge,Stretched out,2008-011,Capt,,,,,
430F4A761F,5/12/2008,13:04,"LG, CIK",Rattlesnake,,Sight,Yes,East of Campground store,3D diff,35,2.9,298,321603,5434792, c008051209,"Rock pile, the second ","Sunny, Warm",25,23.8,21.05,Two snakes same spot, pink rose,62.2,36,265,103,162,Female,Adult,No,"Daisy cream, Deep aqua, Red",151-152,,5/13/2008,16:49,LG,1,North of Village,Coiled,2008-015,Capt,,,,,
430F5B2E26,5/12/2008,10:20,LG,Rattlesnake,,Sight,Yes,First Bridge,3D diff,110,3.8,330,322,543, c008051206,Shrub-steppe,"Sunny, Warm, Windy",25,,,X transmitter snake. Billy,Pale yellow flowers,76.1,60,451,93,358,Male,Adult,,"Tango blue, Fiesta yellow",,Pulled out 4 spines,5/12/2008,11:33,LG,,Pine tree bridge,Stretched out,2008-012,Capt,,,,,
433E525C64,5/12/2008,12:20,"LG, CIK",Rattlesnake,,Sight,Yes,Cover board A3,3D diff,125,0,301,321728,5434693, c008051207,Shrub-steppe,"Sunny, Warm, Windy",25,23.8,21.5,,Blue flower,72.5,56,407,110,297,Male,Adult,NA,"Tango blue, Fiesta yellow",147- 148,,5/13/2008,16:39,LG,1,Village riperean,Coiled under cover board,2008-013,Capt,,,,,
452F3C4B4D,5/12/2008,13:04,"LG, CIK",Rattlesnake,,Sight,Yes,East of Campground store,3D diff,35,2.9,298,321603,5434792, c008051208,"Rock pile, the second ","Sunny, Warm",25,23.8,21.05,Two snakes same spot,Brown ugly with flowers,62.7,41,289,125,164,Female,Adult,No,"Fuchsia, Pt purple, Citrus green",149-150,,5/13/2008,16:50,LG,1,North of Village,Coiled,2008-014,Capt,,,,,
4845663A49,5/13/2008,15:18,OMM,Rattlesnake,,Sight,No,Drift fence,3D diff,,,387,322729,5434845,,"Shrub-steppe, Sagebrush","Overcast, Cool",100,23.8,21.5,,Blue,56.1,35,216,99,117,Female,Adult,No,"Gold, Red, Car pink",,,5/13/2008,16:40,LG,,"Village riperean - in error, was told to be at capture location",On the move,2008-018,Capt,,,,,
484B283F0C,5/13/2008,11:34,"LG, CIK",Rattlesnake,,Sound,,Right of Den6,3D diff,25,3.2,614,323212,5435004, c008051310,Rock slide,"Cloudy, Cool",100,19.7,17.9,, yellow pale flowers,71.7,44,436,94,342,Female,Adult,Yes,"Gold, Red, Deep aqua",,"Definately three, extreamly large female",,,,,,Coiled,2008-017,Capt,,,,,
486236384C,5/13/2008,11:34,"LG, CIK",Rattlesnake,,Sound,No,Right of Den6,3D diff,25,3.2,614,323212,5435004, c008051310,Rock slide,"Cloudy, Cool",100,19.7,17.9,,Plaide,58.6,34,209,76,133,Female,Adult,No,"Gold, Red, Fiesta yellow",,,5/14/2008,17:00,OMM,1,"Close to cap location, better cover",Coiled,2008-016,Capt,,,,,
45306D4A14,5/14/2008,11:21,"LG, CIK",Rattlesnake,,Sight,Yes,Coverboard A7,3D diff,30,2.4,301,321613,5434778,115,Shrub-steppe,"Cool, Cloudy",100,23.8,21.5,,Lion king,,5.5,387,107,280,Male,Adult,NA,"Fuchsia, Blue bell, Pt purple",,,5/14/2008,3:03,"LG, CIK",,"Close to cap location, better cover",Coiled,2008-019,Capt,,,,,
45563C3159,5/14/2008,11:38,"LG, CIK",Rattlesnake,,Sound,Yes,"East of marina, third rock pile",3D diff,75,3.3,297,321574,5434839,117,Rock pile,"Cool, Cloudy",100,23.8,21.5,,Retro,,5.8,378,97,281,Male,Adult,NA,"Daisy cream, Pt purple, Deep aqua",,,5/14/2008,3:06,"LG, CIK",,At capture location,Coiled,2008-020,Capt,,,,,
4843541F44,5/16/2008,9:00,CIK,Rattlesnake,,Sight,,Drift fence,,,,,322,543,,"Shrub-steppe, Antelope brush","Sunny, Hot",0,23.5,21.3,,Emb flowers,,7.1,490,127,363,Male,Adult,NA,Solid royal blue,,Becomes transmitter snake,,,,,, Coiled,2008-021,Capt,,,,,
4544416D06,5/17/2008,8:55,OMM,Rattlesnake,,Sight,No,Pinetree bridge,3D diff,40,2.9,328,322143,5435053,CO22170508,"Shrub-steppe, Rabbit brush","Sunny, Warm",10,23.8,21.5,,Brown Stripe,,5.7,346,119,227,Male,Adult,,"Fiesta yellow, Royal blue, Citrus green",,Big belly - must be a lrg mouse,5/17/2008,10:09,OMM,,At capture location,On the move,2008-022,Capt,,,,,
4579506371,5/18/2008,20:37,CG staff,Rattlesnake,,Sight,,Campground,,,,,322,543,,"CG, Building",Dusk,50,,,,Yellow Rose,,3.6,247,103,144,Female,Sub Adult,No,"Citrus green, Lt blue, Lt blue, Blue bell",,Campsite 1,5/19/2008,15:00,OMM,1,Village riperean,On the move,2008-024,Capt,,,,,
485E771546,5/18/2008,15:16,CG staff,Rattlesnake,,Sight,No,Campground - No:200,3D diff,104,4.9,277,321265,5435311,CO23180508,"CG, Road","Sunny, Hot",50,23.8,21.5,,White rose,69.4,5.4,360,105,255,Male,Adult,NA,"Gold, Red, Lt blue",,,5/19/2008,15:34,CIK,1,Village riperean,Basking,2008-023,Capt,,,,,
43103F5053,5/19/2008,10:20,"OMM, LG",Rattlesnake,,Sight,,Snake fence-opp. office,3D diff,30,4.5,304,321774,5434664,125,"Shrub-steppe, Antelope brush","Sunny, Warm",75,29.8,29,,Zig-zag pink blue,,5.9,371,102,269,Male,Adult,NA,Solid royal blue,,Transmitter snake,,,,,,On the move,2008-025,Capt,,,,,
445E1B2963,5/19/2008,16:30,LG,Rattlesnake,,Sight,,First Bridge,3D diff,30,2.6,331,322153,5435046,128,"Shrub-steppe, Antelope brush","Cloudy, Cool",100,23,23.6,,Blue,,5.4,347,99,248,Male,Adult,NA,"Fuchsia, Red, Lt blue",,,5/20/2008,15:59,CIK,1,Lone Pine bridge,Stretched out,2008-027,Capt,,,,,
CO26190508,5/19/2008,16:16,GC staff,Rattlesnake,,Sight,No,Golf Course - 9 fairway,3D diff,,,343,322411,5434583,,"GC, Fairway","Overcast, Hot",100,28.4,27.8,,Diff colour flowers,,2.6,147,104,43,,Neonate,,Gold,,1 rattle plus button - poss 2 summer,5/20/2008,15:39,CIK,1,Lone Pine bridge,On the move,2008-026,Capt,,,,,
CO27200508,5/20/2008,11:39,"LG, CIK",Rattlesnake,,Sight,No,NE of bathroom 4,3D diff,10,2.8,303,321269,5435508,138,Shrub-steppe,"Cloudy, Cool",75,23.8,27.1,,White with purple blobs,,2.7,138,119,19,,Neonate,,Gold,,1 button only,5/20/2008,15:59,CIK,,Lone Pine bridge,Working the fence,2008-028,Capt,,,,,
CO28190508,5/20/2008,15:17,LG,Rattlesnake,,Sight,No,,3D diff,146,5,322,322124,5434900,139,,,,,,,,,1.5,50,40,10,,Neonate,,Gold,,,5/20/2008,15:37,CIK,,Lone Pine bridge,,2008-029,Capt,,,,,
452F591833,5/23/2008,12:36,"LG, CIK",Rattlesnake,,Sight,No,Pump house road,3D diff,27,2.6,304,321875,5434811,CO0805230d,"Shrub-steppe, under elm","Cool, Cloudy, Windy",100,23.6,25.7,Same waypoint as gophersnake,Blue,,6.7,389,99,290,Male,Adult,NA,"Fuchsia, Royal blue, Lt blue",,,5/29/2008,16:15,CIK,6,Riperian - pumphouse,Coiled,2008-033,Capt,,,,,
45306D4A14,5/23/2008,11:30,LG,Rattlesnake,,Sight,Yes,E of Campground office,3D diff,25,5.1,302,321751,5434681,Co0805230c,"Shrub-steppe, Rabbit brush","Cloudy, Cool, Windy",100,21.4,24.4,,Pink yellow blue flowers,,5.6,390,104,286,Male,Adult,NA,"Fuchsia, Blue bell, Pt purple",,,5/27/2008,15:27,CIK,4,"Close to cap location, better cover",On the move,2008-032,08recap,,,,,
497F7E5F79,5/23/2008,9:57,LG,Rattlesnake,,Sound,No,Between 3 & 4 Drift fence,3D diff,30,2.5,388,322736,5434841,C00805230a,"Shrub-steppe, Lone pine bridge","Cloudy, Cool, Windy",100,20.9,20,,Retro,68.5,5.8,362,96,266,Male,Adult,NA,"Gold, Red, Royal blue",,,5/27/2008,16:03,CIK,4,At capture location,On the move,2008-030,Capt,,,,,
4A1E197859,5/23/2008,10:21,LG,Rattlesnake,,Sight,,"R of concrete pumphouse, Drift fence",3D diff,25,2.7,365,322747,5434654,Co0805230b,"Rocks, between snake fence and fence","Cloudy, Cool, Windy",100,22.8,22.9,,Yellow rose,56.4,3.4,261,105,156,Female,Adult,No,"Gold, Pt purple, Red",,,5/28/2008,10:11,CIK,5,Riperian - pumphouse,"Coiled, on rocks",2008-031,Capt,,,,,
430348253E,5/24/2008,16:07,OMM,Rattlesnake,,Sight,No,Desert Centre,3D diff,75,4.5,331,322109,5434993,CO34240508,"Building, Sagebrush","Overcast, Cool",100,24.8,25.2,,Light yellow flowers,73,6.5,378,93,285,Male,Adult,NA,"Daisy cream, Tango blue",,Newman,,,,,,On the move,2008-034,Capt,,,,,
CO41240508,5/24/2008,22:32,CG staff,Rattlesnake,,Sight,No,Campground site1,,,,,322,543,CO41240508,"CG, Road","Dusk, Warm",25,,,,,,2.1,14,0,14,,Neonate,,Gold,,,5/29/2008,15:58,CIK,5,Riperian - pumphouse,On the move,2008-041,Capt,,,,,
4579506371,5/25/2008,22:30,CG staff,Rattlesnake,,Sight,Yes,Campground site5,,,,,322,543,CO40250508,"CG, Road","Overcast, Light showers",100,,,,Light thin blue stripe,,3.6,221,76,145,Female,Adult,No,"Citrus green, Lt blue, Blue bell",,,5/27/2008,14:59,CIK,2,Pine tree bridge,On the move,2008-040,08recap,,,,,
452E52580A,5/25/2008,17:53,OMM,Rattlesnake,,Sight,No,Snake fence-opp. office,3D diff,,,,322,543,147,Shrub-steppe,"Overcast, Windy, Cool",100,24.6,23.8,Snake fence outside,Blue rose,,5.9,298,92,206,Male,Adult,NA,"Citrus green, Royal blue, Fuchsia",,,5/26/2008,16:19,CIK,1,Riperian - pumphouse,Coiled,2008-037,Capt,,,,,
4A4E1F2238,5/25/2008,17:10,OMM,Rattlesnake,,Sight,No,High desert,3D diff,65,2.3,336,321745,5435246,CO35250508,"Shrub-steppe, Antelope brush","Overcast, Cool, Windy",100,24.6,23.8,,Grey,,3.4,233,95,138,Female,Adult,No,"Gold, Pt purple, Fuchsia",,Has an old non-working chip,,,,,,Looped,2008-035,Capt,,,,,
4A4F520166,5/25/2008,17:27,OMM,Rattlesnake,,Sight,No,High desert,3D diff,75,4.4,329,322,543,CO36250508,"Shrub-steppe, Grassland","Overcast, Cool, Windy",,24.6,23.8,,Candy stripe,,3.6,282,80,202,Female,Adult,No,"Gold, Red, Fuchsia",,,5/27/2008,16:23,CIK,2,At capture location,Coiled,2008-036,Capt,,,,,
4A4F691147,5/25/2008,18:54,GC staff,Rattlesnake,,Sight,No,Golf Course,,,,,322,543,,"CG, Fairway","Overcast, Light showers",100,21.5,22.8,,Yellow flowers,60.6,5,307,123,184,Male,Adult,NA,"Gold, Red, Blue bell",,,5/26/2008,15:47,CIK,1,Lone Pine bridge,On the move,2008-038,Capt,,,,,
452F7D6B3B,5/26/2008,12:50,CG staff,Rattlesnake,,Sight,No,Spirit Beach Marina,,,,,322,543,,"CG, Road","Sunny, Hot",10,,,,,,6.3,354,75,279,Male,Adult,NA,"Fuchsia, Blue bell, Citrus green",,Fed a mouse looked dehydrated,5/29/2008,16:47,CIK,3,Village riperean,On the move,2008-042,Capt,,,,,
46566C1407,5/26/2008,8:54,,,,,,Golf Course,,,,,322,543,,,,,,,,Pink flowers,,5.3,317,125,192,Male,Adult,NA,"Citrus green, Car pink, Fuchsia",,,5/26/2008,11:48,CIK,,"Close to cap location, better cover",,2008-039,,,,,,
43604A3027,5/27/2008,20:30,CG staff,Rattlesnake,,,,Campground site 4,,,,,322,543,,"CG, Road","Cloudy, Warm",75,,,,8,,6.1,400,96,304,Male,Adult,NA,Solid royal blue,,"Mr Wick-removal
Surgery 03/06/08",,,,,,On the move,2008-043,Capt,,,,,
4A254C6501,5/30/2008,10:35,CIK,Rattlesnake,,Sight,No,Lower trail near Cottonwood,3D diff,27,4.5,,322091,5435144,CO44300508-152,"Shrub-steppe,  Antelope brush","Sunny, Hot",5%,27.4,24.6,,7,66.2,4.5,289,92,197,Male,Adult,NA,"Gold, Pt purple,  Fiesta yellow",,,5/30/2008,13:00,CIK,,At capture location,Coiled,2008-044,Capt,,,,,
430F79466A,6/1/2008,15:00,CG staff,Rattlesnake,,Sight,No,Campground Site 150,3D diff,21,4.9,278,321428,5434910,CO45010608,"CG, Road","Overcast, Warm",100,,,,Troll,70.1,5.6,318,85,233,Male,Adult,NA,"Fiesta yellow, Royal blue",,Old transmitter - McBain,6/2/2008,14:04,CIK,1,Riperian - pumphouse,On the move,2008-045,Capt,,,,,
CO46010608,6/1/2008,15:00,CG staff,Rattlesnake,,Sight,No,Campground -Site150,,,,,322,543,CO46010608,"CG, Road","Overcast, Warm",100,,,,Grey,,2,16,0,16,,Neonate,,Gold,,,6/3/2008,14:24,CIK,2,Riperian - pumphouse,On the move,2008-046,Capt,,,,,
CO47010608,6/1/2008,16:10,CG staff,Rattlesnake,,Sight,No,Campground - office,,,,,322,543,CO47010608,"CG, Road","Overcast, Warm",100,,,,,,2.6,110,94,16,,Neonate,,Gold,,,6/3/2008,14:24,CIK,2,Riperian - pumphouse,On the move,2008-047,Capt,,,,,
44617D154F,6/2/2008,12:10,"OMM, CIK",Rattlesnake,,Sight,No,Village riparian,3D diff,31,3.1,325,322000,5435244,CO48020608,"Riparian, snow berry","Cloudy, Warm",100,22.2,24,,9,,6.1,350,104,246,Male,Adult,NA,"Fuchsia, Red, Blue bell",,,6/2/2008,14:04,CIK,,At capture location,On the move,2008-048,Capt,,,,,
497D6F6274,6/2/2008,12:35,"OMM, CIK",Rattlesnake,,Sight,No,Pinetree bridge,3D diff,47,3.1,329,322150,5435048,161,"Shrub-steppe, Antelope brush","Cloudy, Warm",75,25.2,26.6,,3,56.2,4.6,279,92,187,Male,Adult,NA,"Gold, Pt purple, Tango blue",,,6/2/2008,14:59,CIK,,At capture location,On the move,2008-049,Capt,,,,,
CO50030608,6/3/2008,15:15,CG staff,Rattlesnake,,Sight,No,Campground - office,3D diff,47,4.2,297,321633,5434610,CO50030608,"CG, , office","Overcast, Warm",100,25.7,25.4,,,,,16,0,16,,Neonate,,Gold,,,,,,,,On the move,2008-050,Capt,,,,,
4579506371,6/5/2008,15:49,CG staff,Rattlesnake,,Sight,Yes,Campground-C6,3D diff,54,3.2,287,321495,5434615,CO51050608,"CG, Path","Overcast, Cool",100,21.9,20.2,,15,,3.6,248,95,153,Female,Adult,No,"Citrus green, Lt blue, Blue bell",,2008-40,6/6/2008,9:51,CIK,1,Village riperean,On the move,2008-051,08recap,,,,,
484B15284B,6/5/2008,10:01,OMM,Rattlesnake,,Sight,No,Drift fence,,,,,322,543,,"Shrub-steppe, Antelope brush","Overcast, Cool",100,21.9,20.2,,1,58.2,3.8,305,119,186,Female,Adult,Yes,"Gold, Pt purple, Car pink",,,6/6/2008,12:43,CIK,1,At capture location,On the move,2008-053,Capt,,,,,
CO52050608,6/5/2008,15:54,CG staff,Rattlesnake,,Sight,No,Campground-site4,3D diff,72,4.2,287,321605,5434629,CO52050608,"CG, Road","Overcast, Cool",100,21.9,20.2,,,,,,,,,Neonate,,,,Dead after being caught,,,,,,On the move,2008-052,,,,,,
464E792E50,6/6/2008,12:47,CIK,Rattlesnake,,Sight,No,Horse gate - snake fence,3D diff,123,4.9,297,321809,5434638,,"Riparian, Sagebrush","Overcast, Cool",100,21.9,20.2,,,,,384,80,304,Male,Adult,NA,Solid royal blue,,Removal transmitter,,,,,,On the move,2008-054,Capt,,,,,
4555574732,6/7/2008,12:30,GC staff,Rattlesnake,,Sight,No,Golf Course - near 3rd green,3D diff,4,53,338,322304,5434707,189,"CG,, Path","Overcast, Cool",75,,,,,,6.8,408,91,317,Male,Adult,NA,"Citrus green, Lt blue, Fiesta yellow",,,6/9/2008,13:42,CIK,2,Pine tree bridge,On the move,2008-055,Capt,,,,,
456A701D3F,6/9/2008,13:42,GC staff,Rattlesnake,,Sight,No,Golf Course - near 6th,3D diff,4,29,359,322443,5434937,191,"GC, Path","Cloudy,, Warm",75,,,,,,6.4,497,151,346,Male,Adult,NA,"Fiesta yellow, Blue bell, Red",,,6/9/2008,13:58,CIK,,Pine tree bridge,On the move,2008-056,Capt,,,,,
43602D1948,6/11/2008,12:35,"OMM, CIK",Rattlesnake,,Sight,No,Coverboards - A5,3D diff,33,4.3,301,321676,5434734,CO0061108,"Shrub-steppe, Antelope brush","Overcast, Windy, Cool",75,24,26.2,,14,74.9,5.8,348,85,263,Male,Adult,NA,"Fiesta yellow, Tango blue",,Poseidon,6/11/2008,15:25,CIK,,At capture location,Under coverboard,2008-057,Capt,,,,,
452F4D6857,6/11/2008,11:45,CG staff,Rattlesnake,,Sight,No,Golf Course - hole4,3D diff,3,60,344,322406,5434690,190,"GC, Sagebrush","Overcast, Windy, Cool",75,24,26.2,,2,,7,428,124,304,Male,Adult,NA,"Fuchsia, Citrus green, Tango blue",,Ready to shed,,,,,,On the move,2008-058,Capt,,,,,
430B2E5719,6/12/2008,10:47,CIK,Rattlesnake,,Sight,Yes,Campground,3D diff,4,102,298,321502,5434981,188,CG,Sunny,5%,35.7,28.3,,,,,416,,416,Male,,NA,,,,,,,,,Coiled,2008-059,08recap,,,,,
454F204E69,6/12/2008,15:33,"OMM, JRB",Rattlesnake,,Sight,No,Rattlesnake Point,3D diff,,,,319833,5436446,,"Wetland/lake edge, Plywood","Sunny, Hot",0,,,,,,6.1,618,123,495,Male,Adult,NA,"Fiesta yellow, Red, Pt purple",,,6/14/2008,11:20,OMM,2,At capture location,Under coverboard,2008-060,Capt,,,,,
485F5B1263,6/12/2008,13:32,"OMM, JRB",Rattlesnake,,Sight,No,Base Den5,3D diff,,,,321799,5435786,,"Riparian, Hawthorn","Sunny, Hot",0,,,,,,4.1,250,103,147,Male,Sub Adult,NA,"Gold, Pt purple, Deep aqua",,,6/14/2008,12:50,OMM,2,At capture location,On the move,2008-061,Capt,,,,,
485F70022E,6/12/2008,16:51,"OMM, JRB",Rattlesnake,,Sight,No,Snake fence 2nd rockpile,3D diff,,,,321576,5434843,,"Shrub-steppe, Rock pile","Sunny, Hot",0,,,,,,6.8,424,103,321,Male,Adult,NA,"Fuchsia, Blue bell, Fiesta yellow",,,,,,,,Basking,2008-062,Capt,,,,,
4530125604,6/13/2008,12:05,CIK,Rattlesnake,,Sight,No,Coverboards -A6,3D diff,22,3.9,319,321653,5434741,192,"Shrub-steppe, Antelope brush","Sunny, Hot",5%,31.1,31,,,74.6,6,443,109,334,Male,Adult,NA,No rattle,,Porter,6/14/2008,14:16,OMM,1,At capture location,Under coverboard,2008-063,Capt,,,,,
CO64130608,6/13/2008,17:02,CG staff,Rattlesnake,,Sight,No,Campground - site200,,,,,322,543,CO64130608,"CG, Road","Sunny, Hot",5%,,,,,,,107,91,16,,Neonate,,Gold,,,6/14/2008,10:00,OMM,1,"Close to cap location, better cover",On the move,2008-064,Capt,,,,,
45744A0C2E,6/14/2008,10:29,"OMM, JRB",Rattlesnake,,Sight,No,Rattlesnake Point,3D diff,30,3.1,,322,543,,"Shrub-steppe, Rabbit brush","Sunny, Warm",0,24.4,26.5,,Blue,,5.6,436,99,337,Male,Adult,NA,"Fiesta yellow , Royal blue, Fuchsia",,"6 rattles
Coiled under log - shedding",,,,,,Under rabbit brush,2008-066,Capt,,,,,
475A32355A,6/14/2008,11:39,"OMM, JRB",Rattlesnake,,Sight,No,Rattlesnake Point,3D diff,30,3.1,,322,543,,"Shrub-steppe, Rabbit brush","Sunny, Warm",0,24.4,26.5,,,,5.6,417,85,332,Male,Adult,NA,"Fiesta yellow, Daisy cream, Red",,"5 rattles
Coiled under log - shedding",,,,,,Under rabbit brush,2008-065,Capt,,,,,
45306D4A14,6/15/2008,9:31,CG staff,Rattlesnake,,Sight,Yes,Campground - behind store,,,,,322,543,,"CG, Path","Dusk, Warm",0,,,,,,,,,,Male,Adult,NA,"Fuchsia, Blue bell, Pt purple",,,6/15/2008,10:00,OMM,,Over snakefence,On the move,2008-067,08recap,,,,,
CO68170608,6/17/2008,18:07,CG staff,Rattlesnake,,Sight,No,Campground - site2,,,,,322,543,,"CG, Path","Sunny, Hot",5%,,,,,,1.4,16,0,16,,Neonate,,Gold,,,6/18/2008,11:00,CIK,1,Riperian - pumphouse,On the move,2008-068,Capt,,,,,
Co69190608,6/19/2008,15:23,CIK,Rattlesnake,,Sight,No,A-3 Coverboard,3D diff,4,31,302,321726,5434684,6,CoverBoard,Cloudy,90,27.1,26,,6,,,13,,13,,Neonate,NA,Gold,,,,,,,,Under coverboard,2008-069,Capt,,,,,
CO70190608,6/19/2008,15:45,,Rattlesnake,,Sight,No,Coverboards-A3,3D diff,31,4.8,302,321726,5434684,CO70190608-006,"Shrub-steppe, CoverBoard","Cloudy, Warm",90,26,27.1,,,,1.3,137,124,13,,Neonate,,Gold,,,,,,,,Under coverboard,2008-070,Capt,,,,,
445E1E5139,6/20/2008,20:34,CG staff,Rattlesnake,,Sight,No,Campground - 180,,,,,322,543,,"CG, Road","Overcast, Warm",90,,,,18,,5.5,280,79,201,Male,Adult,NA,"Fuchsia, Fuchsia, Royal blue",,3 new rattles,6/23/2008,11:00,CIK,3,Riperian - pumphouse,On the move,2008-072,Capt,,,,,
456F102247,6/20/2008,20:30,CG staff,Rattlesnake,,,,Campground - 180,,,,,322,543,,"CG, Road","Overcast, Warm",90,,,,17,,5,359,104,255,Male,Adult,NA,"Tango blue, Daisy cream",,Heckla,6/23/2008,11:00,CIK,3,Riperian - pumphouse,On the move,2008-071,Capt,,,,,
452F430B06,6/22/2008,15:15,CG staff,Rattlesnake,,Sight,No,Campground - site1,,,,,322,543,,"CG, Path","Cloudy, Warm",75,,,,9,,5.6,323,104,219,Male,Adult,NA,Tango blue,,Becomes transmitter snake,,,,,,On the move,2008-073,Capt,,,,,
CO76230608,6/23/2008,20:24,CG staff,Rattlesnake,,Sight,No,Campground - site 2,,,,,322,543,,"CG, Path","Dusk, Hot",25,,,,,,1.9,12,0,12,,Neonate,,Gold,,,6/25/2008,11:26,CIK,2,Pine tree bridge,On the move,2008-074,Capt,,,,,
43604A3027,6/24/2008,15:15,"OMM, CIK",Rattlesnake,,Sight,Yes,Snake fence 2nd rockpile,3D diff,37,4.7,298,321575,5434838,16,"Shrub-steppe, Rock pile","Sunny, Hot",25,33.7,30.1,,,,,,,,Male,Adult,NA,"Tango blue, Daisy cream",,"457B5F2579
Mr. Wick",6/25/2008,12:54,"OMM, CIK",1,At capture location,Basking,2008-076,08recap,,,,,
