PIT Tag #,Date,Time,Researcher,Species,Encounter,Detection,Recap,Location,Mode,Avg Count,Error,Elevatlon,Easting,Northing,Waypoint,Habitat,Weather,Cloud cover,Ta,Tg,Comments,Pillow case,SVL,VTL,S + B,Bag,Mass,Sex,Age class,Gravid,Rattle Paint,Photo #,Comments,Rel date,Rel time,Rel researcher,Days in captivity,Rel locatlon,Behaviour,Record #,Type,Hibernation Site
472556386c,6/5/2006,11:55,"JRB, KH",Rattlesnake,Capt,Sight,No,Rancher Creek pine stand,3D diff,100,4.6,345,322227,5435288,3010060506,"Pine stand, in open","Warm, Sunny",50,,,,White w pink flowers,57.9,3.4,318,105,213,Female,Adult,Yes,"Citrus green, Daisy cream, Car pink",Yes,4 young detected by palpation. Large scar under chin.,7/5/2006,16:16,"JRB, KH",1,At capture location,On the move,2006-27,Capt,
471e4b4578,30/04/2006,15:22,"JRB, KH",Rattlesnake,Capt,Sound,No,High desert. Mid E side,3D diff,50,5.2,343,321827,5435527,Co01300406,"Shrub-steppe, in open","Warm, Sunny",0,28.7,28.8,,"Pink, purple, blue, green.",54.5,3.2,179,77,102,Female,Sub Adult,NA,"Citrus green, Daisy cream, Deep aqua",Yes,,1/5/2006,14:59,"JRB, KH",1,At capture location,On the move,2006-18,Capt,
45696f225e,29/04/2006,13:30,"JRB, KH",Rattlesnake,Capt,Sight,No,"Base of Mtn, light rock slide",3D diff,60,2.9,362,320970,5436612,3524290406,"Shrub-steppe, in open","Warm, Overcast",75,26,25.9,,Blue,56.2,4.3,247,111,136,Male,Sub Adult,NA,"Citrus green, Daisy cream, Fuchsia",Yes,Base + 5 intact,30/04/2006,17:01,"JRB, KH",1,At capture location,On the move,2006-17,Capt,
47241e1d04,6/5/2006,12:08,"JRB, KH",Rattlesnake,Capt,Sound,Yes,Base of Mtn. S end.,3D diff,50,2.5,410,322481,5435386,Co04060506,"Shrub-steppe, boulder","Warm, Overcast",75,,,,Green patterns,57.8,3.9,236,94,142,Male,Sub Adult,NA,"Citrus green, Daisy cream, Lt blue",Yes,Was fy only and rec number was 35-2005,7/5/2006,16:24,"JRB, KH",1,At capture location,"Coiled, Under rock",2006-28,Capt,
471d6b445f,7/5/2006,14:38,"JRB, KH",Rattlesnake,Capt,Sight,No,S end of Wh. Sands,3D diff,50,5,281,320462,5436064,Co02070506,"Shrub-steppe, Sagebrush","Cool, Cloudy, Windy",50,,,,Lt. Grey,79.4,6.7,365,101,264,Male,Adult,NA,"Citrus green, Daisy cream, Pt purple",Yes,,8/5/2006,16:55,"KH, LG",1,At capture location,"Coiled, under sage",2006-30,Capt,
47253b3b42,5/5/2006,15:08,"JRB, KH, LG",Rattlesnake,Capt,Sight,Yes,Golf Course. Cart path b/w 2 and 6,3D diff,54,3.3,358,322349,5434929,Co02050506,"GC, Path","Warm, Sunny",50,,,"Caught earlier in day. Previously record 243, yellow rattle paint.",White w yellow flowers,62.8,4.5,272,108,164,Male,Adult,NA,"Citrus green, Daisy cream, Red",Yes,Recently fed,6/5/2006,10:04,"JRB, KH",1,426m SW of capture. E321940 N5435052. Acc-3.2.,,2006-22,Capt,
455704580e,29/04/2006,11:41,"JRB, KH",Rattlesnake,Capt,Sound,No,Below den 22,3D diff,70,2.6,345,321104,5436237,Co01290406,"Rock outcrop, Rock slide","Warm, Overcast",75,24.2,23,,Green,53.9,3.2,201,80,121,Female,Sub Adult,NA,"Citrus green, Daisy cream, Royal blue",Yes,,30/04/2006,16:51,"JRB, KH",1,At capture location,On the move,2006-16,Capt,
452f6f1372,15/04/2006,13:33,JRB,Rattlesnake,Capt,Sight,No,Den 26,3D gps,69,4.1,395,320927,5437178,,Rock outcrop,"Overcast, Cool",100,,,,Green,78.4,4.1,364,94,270,Female,Adult,No,"Citrus green, Daisy cream, Tango blue",Yes,10 snakes out yesterday,16/04/2006,12:53,JRB,1,At capture location,Basking,2006-6,Capt,
4542072a53,23/06/2006,17:55,KH,Rattlesnake,Capt,Sight,Yes,SE of washroom 4,3D diff,25,3.6,302,321403,5435290,Co01220606,"Shrub-steppe, grassbush","Warm, Cloudy",50,31.4,31.3,,Retro stripe,,4.7,260,99,161,Male,Adult,NA,"Citrus green, Daisy cream, Tango blue",Yes,"In shed, blood attempted.",25/06/2006,21:37,KH,2,At capture location,"Coiled, Under grassbush",2006-101,Capt,
47252b053b,7/7/2006,10:39,"KH, LG",Rattlesnake,Capt,Sound,No,Rattlesnake Point,3D diff,25,2.6,280,319857,5436571,Co01070706,"Shrub-steppe, Antelope brush","Warm, Sunny",0,,,,"Pink, blue, green, purple",,5.7,324,77,247,Male,Adult,NA,"Citrus green, Deep aqua, Blue bell",Yes,Shed in lab. Nice complete shed. Rattle complete b + 8. Blood taken.,9/7/2006,9:53,"KH, LG",2,At capture location,"Coiled, Under antelope brush",2006-125,Capt,
471d5c445d,5/7/2006,11:00,GC staff,Rattlesnake,Capt,,No,Hole 7,3D diff,125,4.9,364,322604,5434905,Co01050706,"GC, fairway","Hot, Sunny",,,,,Blue & orange stripe,,6,299,124,175,Male,Adult,NA,"Citrus green, Deep aqua, Car pink",Yes,Blood - DNA only.,7/7/2006,14:58,"KH, LG",2,Trans 290m. E 322458. N 5435155. A 2.5.,On the move,2006-124,Capt,
455f332355,16/06/2006,14:51,"KH, LG",Rattlesnake,Capt,Sight,No,Run away lane,3D diff,75,3.6,385,322827,5434506,Co01160606,"Shrub-steppe, Sagebrush","Warm, Sunny",50,26.1,25.9,Must wait till Monday when Lindsay is here to process.,Yellow A,,5,297,122,175,Male,Adult,NA,"Citrus green, Deep aqua, Daisy cream",Yes,Blood - DNA only.,19/06/2006,15:25,"KH, LG",3,At capture location,"Coiled, Under sage brush",2006-92,Capt,
471145066f,26/06/2006,21:04,"KH, LG",Rattlesnake,Capt,Sound,No,Northwest corner High desert,3D diff,125,2.9,284,321158,5435568,Co01260606,"Shrub-steppe, Rabbit brush","Warm, Dusk",0,30.3,28.4,,White with flowers,,4.1,267,107,160,Female,Adult,No,"Citrus green, Deep aqua, Fiesta yellow",Yes,,28/06/2006,9:59,KH,2,At capture location,"Coiled, Under rabbit brush",2006-107,Capt,
471d550d04,5/5/2006,11:48,"JRB, KH, LG",Rattlesnake,Capt,Sight,No,N desert mid E side,3D diff,52,4.4,336,321113,5436200,Co01050506,"Shrub-steppe, boulder","Warm, Sunny",25,27.1,27.4,,Pink w flowers,54.4,3.5,213,127,86,Male,Sub Adult,NA,"Citrus green, Deep aqua, Fiesta yellow",Yes,"Recently fed, small meal inside",6/5/2006,14:34,"JRB, KH",1,At capture location,"Coiled, Under rock",2006-21,Capt,
47253d1542,25/06/2006,20:00,"KH, LG",Rattlesnake,Capt,Sound,No,SW High desert,3D diff,51,3.7,323,321776,5434964,Co01250606,"Shrub-steppe, Antelope brush","Hot, Sunny",0,23.1,24.8,,Lion king,,4.4,262,110,152,Male,Adult,NA,"Citrus green, Deep aqua, Fuchsia",Yes,,27/06/2006,19:05,"KH, LG",2,At capture location,"Coiled, Under antelope brush",2006-104,Capt,
47240d455a,27/06/2006,20:59,"KH, LG",Rattlesnake,Capt,Sound,Yes,East of CG store,3D diff,25,2.7,294,322597,5434789,3263270606,"Shrub-steppe, Rock pile","Warm, Dusk",0,28.2,24.4,,White  with pink flowers,,4.2,251,107,144,Female,Adult,No,"Citrus green, Deep aqua, Lt blue",Yes,,30/06/2006,17:21,"KH, LG, JB",3,At capture location,"Coiled, Under rock",2006-117,Capt,
471e4c7926,10/7/2006,20:10,Victor,Rattlesnake,Capt,Sight,No,Winery water feature,3D diff,25,3.1,330,322171,5434617,Co03100706,Road,,,,,Received at 7am July 11.,"Green, pink, blue patterns.",,5.1,250,105,145,Male,Adult,NA,"Citrus green, Deep aqua, Pt purple",Yes,Trans 299m.,14/07/2006,16:40,KH,4,E - 322170. N - 5434918. A - 3.3. Had to translocate sideways to avoid GC.,,2006-131,Capt,
471d417308,27/06/2006,19:09,"KH, LG",Rattlesnake,Capt,Sound,No,Southwest High desert,3D diff,25,3,325,321759,5434970,Co04270606,"Shrub-steppe, Antelope brush","Hot, Sunny",25,38.2,37,,Pink A,,4.5,245,132,113,Male,Sub Adult,NA,"Citrus green, Deep aqua, Red",Yes,,30/06/2006,17:49,"KH, LG, JB",3,At capture location,"Coiled, Under antelope brush",2006-112,Capt,
4549283774,24/06/2006,18:53,KH,Rattlesnake,Capt,Sound,No,E of Rattlesnake Point,3D diff,50,5,280,320203,5436431,Co01240606,"Shrub-steppe, Rabbit brush","Hot, Sunny",0,36.3,35.2,,White with purple spots,,5.2,359,113,246,Female,Adult,No,"Citrus green, Deep aqua, Royal blue",Yes,Vtl long but looks & probes female. Blood taken.,26/06/2006,19:02,"KH, LG",2,At capture location,On the move,2006-102,Capt,
4551751e7c,20/07/2006,8:55,"KH, LG",Rattlesnake,Capt,Sight,,SE of White Sands Beach,3D diff,25,4.9,281,320701,5435941,Co01200706,Sand Path,"Warm, Sunny",0,20.7,,,Blue & orange stripe,,5.6,409,123,286,Male,Adult,NA,"Citrus green, Fiesta yellow, Blue bell",Yes,Blood taken.,21/07/2006,10:42,"KH, LG",1,Sighting only,On the move,2006-143,Capt,
456d5d4e38,18/07/2006,8:42,"KH, LG",Rattlesnake,Capt,Sound,No,NE of boat rental,3D diff,125,3.9,327,321623,5435102,Co01180706,Shrub-steppe.,"Warm, Sunny, Windy",0,22,,"Odd. Rattled from 30ft behind us, we must have walked right by him. VERY defensive on capture, struck several times.",Green patterns,,4.6,290,92,198,Male,Adult,NA,"Citrus green, Fiesta yellow, Car pink",Yes,Struck aggressively while trying to tube. Blood taken.,20/07/2006,17:28,"KH, LG",2,At capture location,In open,2006-141,Capt,
471e6b2721,11/7/2006,11:56,"KH, LG",Rattlesnake,Capt,Sight,No,Base of  mtn.,3D diff,56,3.9,347,321104,5436233,3185110706,"Rock outcrop, Rock slide","Warm, Sunny",75,31.5,,,Lt. Blue,,3.8,362,110,252,Female,Adult,No,"Citrus green, Fiesta yellow, Daisy cream",Yes,Really looks gravid but could not feel any young.,14/07/2006,17:11,KH,3,At capture location,"Coiled, Under rock",2006-133,Capt,
455a066377,17/07/2006,10:09,"KH, LG",Rattlesnake,Capt,Sound,No,E of White Sands Beach,3D diff,25,2.8,298,320478,5436183,Co02170706,"Shrub-steppe, Antelope brush","Warm, Sunny",0,31.5,,With 2006-134.,White with blue flowers,,3.9,277,113,164,Female,Adult,No,"Citrus green, Fiesta yellow, Deep aqua",Yes,,19/07/2006,9:37,KH,2,At capture location,"Coiled, Under antelope brush",2006-137,Capt,
4559615310,17/07/2006,7:52,"KH, LG",Rattlesnake,Capt,Sound,No,E boundary ravine,3D diff,50,4.4,312,321309,5435877,Co01170706,"Shrub-steppe, in open","Warm, Sunny",0,20.4,,,White w pink flowers,,5.3,324,106,218,Male,Adult,NA,"Citrus green, Fiesta yellow, Fuchsia",Yes,Blood taken,19/07/2006,8:15,"KH, LG",2,At capture location,On the move,2006-136,Capt,
45665a6035,17/07/2006,10:34,"KH, LG",Rattlesnake,Capt,Sight,No,N of White Sands Beach,3D diff,50,3.5,280,320265,5436110,3894170706,"Shrub-steppe, Antelope brush","Warm, Sunny",0,35.4,,With Warrick.,Green,,5.2,307,108,199,Male,Adult,NA,"Citrus green, Fiesta yellow, Lt blue",Yes,,19/07/2006,9:47,KH,2,At capture location,"Coiled, Under antelope brush",2006-139,Capt,
45452d642a,3/6/2006,19:10,"KH, LG",Rattlesnake,Capt,Sound,No,West of White Sands Beach,3D diff,100,3.4,279,320271,5436078,Co03030606,Shrub-steppe in open,"Warm, Sunny",50,26.6,25.2,,Tan,,5.8,293,130,163,Male,Adult,NA,"Citrus green, Fiesta yellow, Lt blue",Yes,,5/6/2006,17:23,KH,2,At capture location,Stretched out,2006-77,Capt,
455855271d,22/07/2006,11:33,KH,Rattlesnake,Capt,Sight,No,Base of mtn,3D diff,35,3.1,352,321091,5436251,3185220706,"Rock outcrop, boulder","Hot, Sunny",25,39.5,,Near Homer,Troll,,5.1,324,88,236,Male,Adult,NA,"Citrus green, Fiesta yellow, Pt purple",Yes,Blood taken.,24/07/2006,9:11,"KH, LG, AG",2,At capture location,"Stretched out, Under boulder",2006-149,Capt,
46027f3c7e,17/07/2006,10:09,"KH, LG",Rattlesnake,Capt,Sound,No,E of White Sands Beach,3D diff,25,2.8,298,320478,5436183,Co02170706,"Shrub-steppe, Antelope brush","Warm, Sunny",0,31.6,,With 2006-133.,White w purple spots,,6,430,113,317,Male,Adult,NA,"Citrus green, Fiesta yellow, Red",Yes,Blood taken.,19/07/2006,9:37,KH,2,At capture location,"Coiled, Under antelope brush",2006-138,Capt,
456a29484f,15/07/2006,8:26,"KH, LG",Rattlesnake,Capt,Sound,No,Loop trail near fork,3D diff,50,4.8,329,322136,5435120,Co01150706,"Shrub-steppe, Long grass","Warm, Sunny",0,22.3,,,Green,,5.1,291,79,212,Male,Adult,NA,"Citrus green, Fiesta yellow, Royal blue",Yes,,16/07/2006,15:10,"KH, LG",1,At capture location,"Coiled, In long grass",2006-135,Capt,
471e465836,11/7/2006,9:07,"KH, LG",Rattlesnake,Capt,Sound,No,center of N desert,3D diff,50,2.2,343,320980,5436223,Co01110706,"Shrub-steppe, Rock slide","Warm, Overcast",50,25.3,,,Pink A,,5.1,354,132,222,Male,Adult,NA,"Citrus green, Fiesta yellow, Tango blue",Yes,Awesome rattle - base plus 10 complete. Blood attempted.,14/07/2006,17:20,KH,3,At capture location,"Coiled, Under rabbit brush",2006-132,Capt,
454b6b0f2a,12/6/2006,17:35,"KH, LG",Rattlesnake,Capt,Sound,No,High desert,3D diff,150,5,322,321888,5434928,Co02120606,"Shrub-steppe, Rabbit brush","Warm, Cloudy",,28.5,27.8,,Tan,,4.4,320,132,188,Male,Adult,NA,"Citrus green, Fuchsia, Blue bell",Yes,Blood taken.,14/06/2006,15:04,"KH, LG",2,At capture location,"Coiled, Under rabbit brush",2006-89,Capt,
4546690f7f,9/6/2006,15:36,"KH, LG",Rattlesnake,Capt,Sight,No,Center of  south High desert,3D diff,50,3.6,326,321602,543522,Co01090606,"Shrub-steppe, Antelope brush","Cool, Cloudy",100,23.1,22.4,,White with blue flowers,,3.5,270,94,176,Female,Adult,No,"Citrus green, Fuchsia, Car pink",Yes,"Thought I palpated one offspring, but may be something else.",11/6/2006,16:06,"KH, LG",2,At capture location,Coiled in open,2006-85,Capt,
4544596355,2/6/2006,17:02,"KH, LG",Rattlesnake,Capt,Sound,No,Rattlesnake Point,3D diff,25,3.6,278,319913,5436600,Co01020606,Shrub-steppe in open,"Warm, Sunny",50,,,,Tan,,3.9,342,130,212,Female,Adult,No,"Citrus green, Fuchsia, Deep aqua",Yes,Looks male but probe yielded female. Blood taken.,3/6/2006,18:26,"KH, LG",1,At capture location,"Coiled, Under rabbit brush",2006-73,Capt,
4533286621,3/6/2006,19:28,"KH, LG",Rattlesnake,Capt,Sound,No,West White Sands Beach,3D diff,25,3.4,281,320278,5436103,Co04030606,"Shrub-steppe, Antelope brush","Warm, Dusk",,24.2,22.8,,White with yellow fl.,,5.4,385,122,263,Male,Adult,NA,"Citrus green, Fuchsia, Fiesta yellow",Yes,Blood taken.,5/6/2006,17:26,KH,2,At capture location,Stretched out in open,2006-78,Capt,
45464c2a4a,12/6/2006,18:06,"KH, LG",Rattlesnake,Capt,Sound,No,central High desert,3D diff,50,2.4,333,321838,5435147,Co03120606,"Shrub-steppe, Antelope brush","Warm, Cloudy",100,27.8,28.7,,White w pink & blue,,3.6,215,67,148,Female,Adult,No,"Citrus green, Fuchsia, Pt purple",Yes,,14/06/2006,15:20,"KH, LG",2,At capture location,"Stretched out, Under antelope brush",2006-90,Capt,
4463467107,3/6/2006,17:25,"KH, LG",Rattlesnake,Capt,Sight,No,south central High desert,3D diff,25,3.8,308,321794,5434874,Co01030606,"Shrub-steppe, in open","Warm, Sunny",25,29.5,28.8,,"pink, green and blue patterns",,5,364,102,262,Male,Adult,NA,"Citrus green, Fuchsia, Red",Yes,Blood taken.,5/6/2006,17:00,"KH, LG",2,At capture location,Stretched out in open,2006-75,Capt,
4463467107,7/8/2006,9:28,KH,Rattlesnake,,Sound,Yes,SW High desert,,,6,321,321652,5434973,037 (Etrex),"Shrub-steppe, Antelope brush","Warm, Sunny",0,29.9,,,,,,,,,,,,"Citrus green, Fuchsia, Red",,,,,,,Sighting only,Unkhown,2006-179,06recap,
47254b2154,1/6/2006,17:17,"KH, LG",Rattlesnake,Capt,Sound,No,Rattlesnake Point,3D diff,30,3.8,279,319866,5436628,Co01010606,"Shrub-steppe, ln open","Warm, Overcast",100,27.4,28.5,,White with green leaves,,3.9,329,109,220,Female,Adult,Yes,"Citrus green, Fuchsia, Royal blue",Yes,3 young felt by palpation,2/6/2006,16:00,"KH, LG",1,At capture location,Stretched out,2006-71,Capt,
4725416d41,29/05/2006,19:53,"KH, LG",Rattlesnake,Capt,Sight,No,East of F sites,3D diff,60,3.9,318,321570,5435129,Co03290506,"Shrub-steppe, Path","Warm, Sunny",50,22.8,23.4,,LITE blue,,4,291,111,180,Female,Adult,No,"Citrus green, Fuchsia, Tango blue",Yes,Blood taken,30/05/2006,16:22,"KH, LG",1,At capture location,On the move,2006-70,Capt,
4725341d47,1/6/2006,17:17,"KH, LG",Rattlesnake,Capt,Sound,No,Rattlesnake Point,3D diff,30,3.8,279,319866,5436628,Co01010606,"Shrub-steppe, ln open","Warm, Overcast",100,27.4,28.5,,White with pink and blue,,3.6,227,66,161,Female,Adult,No,"Citrus green, Fuchsia, Tango blue",Yes,,2/6/2006,16:00,"KH, LG",1,At capture location,Coiled,2006-72,Capt,
4579506371,18/08/2006,9:42,"KH, LG",Rattlesnake,,Sound,No,E of bathroom 4,3D diff,25,4.8,319,321418,5435396,Co01180806,"Shrub-steppe, Antelope brush","Warm, Sunny, Smokey",0,,,,Purple spots,,3.5,307,112,195,Female,Adult,No,"Citrus green, Lt blue, Blue bell",Yes,,22/08/2006,15:50,KH,4,,"Coiled, Under antelope brush",2006-199,Capt,
456f117d1f,16/08/2006,9:14,"KH, LG",Rattlesnake,,Sight,No,E of bathroom 4,3D diff,200,3.6,322,321399,5435505,Co01160806,"Shrub-steppe,in open","Warm, Sunny, Smokey",25,23.5,,,Purple spots,,3.6,284,112,172,Female,Adult,No,"Citrus green, Lt blue, Car pink",Yes,,18/08/2006,9:38,"KH, LG",2,At capture location,"Coiled, in open",2006-196,Capt,
45700a704b,8/8/2006,9:43,"KH, LG",Rattlesnake,,Sound,No,Hillside SE of White Sands Beach,3D diff,25,2.8,296,320560,5436139,3524080806,"Shrub-steppe, Antelope brush","Warm, Smokey",50,31.6,,,White w yellow flowers,,5.2,328,111,217,Male,Adult,NA,"Citrus green, Lt blue, Daisy cream",Yes,,10/8/2006,10:44,"KH, LG",2,At capture location,On the move,2006-181,Capt,
45593c0161,14/08/2006,9:55,"KH, LG",Rattlesnake,,Sound,No,E of bathroom 4,3D diff,75,2.7,309,321375,5435354,Co02140806,"Shrub-steppe, fence","Warm, Sunny",,26.7,,,"Red,blue, Green, yellow stripes",,5.8,291,81,210,Male,Adult,NA,"Citrus green, Lt blue, Deep aqua",Yes,,16/08/2006,9:58,"KH, LG",2,At capture location,Working fence,2006-193,Capt,
4555574732,14/08/2006,8:20,GC staff,Rattlesnake,,,No,Golf Course 3rd tee,3D diff,90,5,347,322285,5434909,Co03140806,GC,"Warm, Smokey",25,,,,Gray,,6.6,341,98,243,Male,Adult,NA,"Citrus green, Lt blue, Fiesta yellow",Yes,Trans 626m.,16/08/2006,17:40,KH,2,E322194. N5435515. A3.6.,,2006-194,Capt,
4554665E22,10/8/2006,11:41,"KH, LG",Rattlesnake,,Sound,No,W of White Sands Beach,3D diff,25,3.8,284,320282,5436137,Co03100806,"Shrub-steppe, in open ","Warm, Sunny",25,29,,,"White, with yellow leaves",,3.6,265,93,172,Female,Adult,No,"Citrus green, Lt blue, Fuchsia",Yes,,12/8/2006,11:18,KH,2,At capture location,On the move,2006-188,Capt,
457707792E,21/08/2006,16:12,"KH, LG",Rattlesnake,,Sound,Yes,SW High desert,3D diff,75,2.5,343,321766,5435006,3010210806,"Shrub-steppe, in open","Warm, Smokey",0,25.3,,Lots of dense smoke.,Green,,4.4,284,78,206,Female,Adult,No,"Citrus green, Lt blue, Pt purple",Yes,Was yellow only number 13.,23/08/2006,16:22,LG,2,At capture location,On the move,2006-202,Capt,
45663b456d,15/08/2006,9:19,"KH, LG",Rattlesnake,,Sound,No,Rattlesnake Point,3D diff,80,4.1,281,320032,5436510,Co01150806,"Shrub-steppe, in open","Warm, Sunny, Windy",0,27.7,,,Yellow A,,5.5,340,117,223,Male,Adult,NA,"Citrus green, Lt blue, Red",,,17/08/2006,9:02,KH,2,At capture location,On the move,2006-195,Capt,
456b443935,10/8/2006,8:55,"KH, LG",Rattlesnake,,Sight,No,Rockpile E of CG store,3D diff,50,2.5,297,321573,5434839,Co02100806,"Shrub-steppe, Rock pile","Warm, Cloudy",75,22.7,,,"Red, blue, green yellow stripes",,5.9,438,82,356,Male,Adult,NA,"Citrus green, Lt blue, Royal blue",Yes,Recent HUGE meal.,12/8/2006,8:19,KH,2,At capture location,"Coiled, Under rock",2006-187,Capt,
4551444d03,10/8/2006,8:27,"KH, LG",Rattlesnake,,Sight,No,SW High desert,3D diff,25,2.3,311,321640,5434869,Co01100806,"Shrub-steppe, inopen","Warm, Cloudy",50,21.4,,,White plaid,,5.4,246,78,168,Male,Adult,NA,"Citrus green, Lt blue, Tango blue",Yes,,12/8/2006,8:24,KH,2,At capture location,On the move,2006-186,Capt,
