PIT_TAG_#,DATE,TIME,RESEARCHER,RECAPTURE,SPECIES,WEATHER,CLOUD_COVE,WIND,AIR_TEMP,GROUND_TEM,BEHAVIOUR,MACRO_HABI,MICRO_HABI,LOCATION,EASTING,NORTHING,DEN_SITE,COMMENTS,PILLOW_CAS,SVL,VTL,S+B,BAG,MASS,SEX,AGE_CLASS,GRAVID,PHOTO_#,REL_DATE,REL_TIME,REL_RESEAR,REL_LOCATI,DAYS_IN_CA
4a4f467021,5/15/2014,10:15:48,JRM & JMM,TRUE,N. P. RATTLESNAKE,SUNNY/CLOU,6/9,NO WIND,23.2,22.3,COILED,ROCK PILE/SLIDE,under rock,den 6,322933,5435290,den 6,2 new rattles,8,101.80,6.90,975.00,90.00,885.00,MALE,ADULT,FALSE,,may 15,10:50,JMM & JRM,den 6,0
4a1e1e2067,5/16/2014,09:45:49,JRM & JMM,TRUE,N. P. RATTLESNAKE,SLIGHT RAI,8/9,NO WIND,20.4,21.0,MOVING,CONSTRUCTION SITE,on gravel beside fence,dev site fence,322642,5434849,,BURROWS: NW nside snake fence.,33,63.40,5.40,296.00,85.00,211.00,MALE,ADULT,FALSE,110-3363,may 17,9:02,JMM & JRM,30m north of dev siite,1
0a180d5f7c,5/15/2014,15:29:21,JRM & JMM,FALSE,GOPHER SNAKE,,,,0.0,0.0,,RESIDENTIAL/COMME,gravel,wheelchair ram,322105,5434898,,,14,77.10,14.10,225.00,83.00,142.00,MALE,ADULT,FALSE,110-3369,may 16 2014,15:30,JMM & JRM,snake fence behind centre,1
0a180d5f4a,5/15/2014,12:10:23,JRM & JMM,FALSE,GOPHER SNAKE,,,,0.0,0.0,,RESIDENTIAL/COMME,gravel,wheelchair ram,322106,5434899,,found in front of centre,13,82.80,13.70,427.00,139.00,288.00,FEMALE,ADULT,FALSE,110-3367,may 16 2014,15:30,JMM & JRM,snake fence above centre,1
sighting,5/17/2014,09:18:19,JRM & JMM,FALSE,N. P. RATTLESNAKE,CLOUDY,9/9,NO WIND,21.1,23.1,COILED,SHRUB STEPPE,under antelopeb,along fairway,322655,5434882,,between 7 fairway and dev site,,0.00,0.00,0.00,0.00,0.00,MALE,ADULT,FALSE,,,,,,0
48026452c,5/17/2014,10:05:50,JRM & JMM,TRUE,N. P. RATTLESNAKE,CLOUDY,9/9,BREEZE,23.0,22.6,MOVING,CONSTRUCTION SITE,under antelope brush,top of dev roa,322630,5434553,,COLUMBUS: found between green,40,67.20,5.10,312.00,122.00,190.00,MALE,ADULT,FALSE,110-3374,may 17 2014,12:00,JMM & JRM,same as capture,0
0a180d5f4e,5/19/2014,10:38:32,JRM & JMM,FALSE,GOPHER SNAKE,SUNNY,3/9,BREEZE,22.5,23.8,MOVING,CONSTRUCTION SITE,beside antelope brush,W DEV FENCE,322640,5434751,,,50,83.30,13.90,307.00,95.00,212.00,FEMALE,ADULT,FALSE,110-3377,may 19 2014,11:00,JMM & JRM,same as capture,0
0a180d5f4c,5/19/2014,11:12:47,JRM & JMM,FALSE,GOPHER SNAKE,SUNNY,3/9,BREEZE,24.3,23.7,BASKING,CONSTRUCTION SITE,beside sagebrush,W  DEV FENCE,322509,5434699,,,,95.50,16.30,389.00,103.00,286.00,MALE,ADULT,FALSE,110-3378,may 19 2014,11:30,JMM & JRM,same as capture,0
0a180d5f5b,5/18/2014,13:54:31,JRM & JMM,FALSE,N. P. RATTLESNAKE,,,,0.0,0.0,,OTHER,,helipad,321791,5434539,,,36,59.30,3.60,235.00,73.00,162.00,FEMALE,ADULT,FALSE,110-3376,may 19 2014,14:00,JMM & JRM,above fence near helipad,1
484c612177,5/19/2014,15:48:50,JRM & JMM,TRUE,N. P. RATTLESNAKE,SUNNY,3/9,BREEZE,29.3,29.3,BASKING,OTHER,beside trailer,heli pad,321762,5434549,,4 new rattles,99,53.30,4.40,235.00,118.00,117.00,FEMALE,ADULT,FALSE,110-3380,may 20 2014,9:36,JMM & JRM,fence above helipad,1
0a180d5f4b,5/21/2014,10:02:58,JRM & JMM,FALSE,GOPHER SNAKE,SUNNY/CLOUDY,9-Aug,NO WIND,24.6,24.1,BASKING,CONSTRUCTION SITE,sand,dev fence,322749.2563,5434691.352,,outsidenor dev site snake fence. south end if site near substation. new capture,ab,75.3,14.5,262,103,159,MALE,ADULT,FALSE,110-3381,21-May,11:07,JMM & JRM,same as capture,0
0a180d5f3a,5/21/2014,14:00:44,JRM & JMM,FALSE,N. P. RATTLESNAKE,SUNNY/CLOUDY,9-Jun,BREEZE,29,29.4,BASKING,GOLF COURSE,under antelope Brush,fairway 6,322514.7882,5434991.934,,new capture,28,54.4,3.2,248,109,139,FEMALE,ADULT,FALSE,110-3382,21-May,2:30,JMM & JRM,same as capture,0
4a1e1e2067,5/22/2014,11:03:14,JRM & JMM,TRUE,N. P. RATTLESNAKE,SUNNY/CLOUDY,9-May,BREEZE,25.1,26.6,COILED,SHRUB STEPPE,under boulder,NW of devsite,322723.6612,5434884.174,,BURROWS not processed due to recent capture,14,0,0,0,0,0,MALE,ADULT,FALSE, ,may 22 2014,11:05,JMM & JRM,same as capture,0
too small,5/22/2014,11:21:28,JRM & JMM,FALSE,GOPHER SNAKE,SUNNY/CLOUDY,9-Apr,BREEZE,30.6,28.3,BASKING,CONSTRUCTION SITE,beside snake fence,dev site,322745.1161,5434818.358,,inside of snake fence,8,31.9,5.5,105,90,15, ,BABY,FALSE,110-3383,may 22 2014,11:39,JMM & JRM,upslope other side of fen,0
4723730a01,5/23/2014,09:09:52,JRM & JMM,TRUE,N. P. RATTLESNAKE,Cloudy,9/9,No wind,21.0,20.3,Coiled,RESIDENTIAL/COMMERCIAL,open sand,on bank of dev site road.,322437.8346,5434465.677,n/a,3m off road. 4 new rattles,44,60.4,3.5,271.0,103.0,189.0,Female,Adult,No,110-3384,5/23/2014,1:15,JRM & JMM,20 m from capture,3
4a1e1e2067,5/23/2014,09:47:51,JRM & JMM,TRUE,N. P. RATTLESNAKE,Cloudy,9/9,No wind,23.6,23.3,Moving,CONSTRUCTION SITE,open sand,north side dev site.,322660.822,5434868.007,n/a,BURROWS: outside of fence.,,0.0,0.0,0.0,0.0,0.0,Male,Adult,,,5/23/2014,,,,0
0a180d5f42,5/23/2014,09:57:58,JRM & JMM,FALSE,N. P. RATTLESNAKE,Cloudy,9/9,No wind,25.6,24.8,Moving,CONSTRUCTION SITE,open sand,along fence inside,322665.5912,5434868.795,n/a,north sidedev site,26,52.5,4.5,249.0,99.0,150.0,Male,Sub-Adult,N/A,110-3387,5/23/2014,1:30,JRM & JMM,25m from capture,3
485f450657,5/23/2014,12:34:06,Other,TRUE,N. P. RATTLESNAKE,,,,0.0,0.0,,CAMPGROUND,under rabbitbrush,volleyball court bathroom 3,321478.0477,5434795.578,n/a,collected by CG staff,79,74.0,5.6,380.0,101.0,279.0,Male,Adult,N/A,110-3388,5/29/2014,13:50,JRM & JMM,high desert,6
456a3a6a67,5/23/2014,12:40:37,Other,TRUE,N. P. RATTLESNAKE,,,,0.0,0.0,,CAMPGROUND,open grass,office,321646.1644,5434628.063,,collected by CG staff,14,68.1,6.2,309.0,83.0,226.0,Male,Adult,N/A,110-3389,5/27/2014,8:30,JRM & JMM,riparian near villag,3
too small,5/25/2014,02:50:48,Other,FALSE,N. P. RATTLESNAKE,,,,0.0,0.0,,RESIDENTIAL/COMMERCIAL,open gravel,center staff entrance,322130.8221,5434879.118,,,8,28.5,2.3,107.0,91.0,16.0,,Baby,N/A,110-3390,5/26/2014,10:15,JRM & JMM,spadefoot pond,1
0a13677555,5/24/2014,03:41:00,Other,FALSE,GOPHER SNAKE,,,,0.0,0.0,,CAMPGROUND,,CG snake box,321455.2259,5434456.336,,colllectwd by campground staff,43,77.4,12.6,282.0,89.0,193.0,Female,Adult,No,110-3399,5/26/2014,10:38,JRM & JMM,riparian near heli,2
0a180d5f32,5/24/2014,15:46:04,Other,FALSE,N. P. RATTLESNAKE,,,,0.0,0.0,,CAMPGROUND,,snake box,321457.4015,5434454.527,,collected by CG staff,13,51.7,3.2,268.0,138.0,130.0,Female,Adult,No,110-3395,5/26/2014,10:38,JRM & JMM,riparian near heli,2
0a180d5f49,5/24/2014,15:46:14,CG Staff,FALSE,GOPHER SNAKE,,,,0.0,0.0,,CAMPGROUND,,,321451.1369,5434488.363,,,30,663.0,12.0,288.0,128.0,160.0,Male,Adult,N/A,110-3398,5/29/2014,13:59,JRM & JMM,high desert,5
too small,5/27/2014,10:26:23,JRM & JMM,FALSE,N. P. RATTLESNAKE,Sunny,3/9,Slight wind,23.5,20.3,Basking,CONSTRUCTION SITE,sand beside fence,NE dev site fence,322731.6739,5434855.852,,just ate didnt measure b/c possbl regurg,8,0.0,0.0,114.0,80.0,34.0,,Baby,N/A,110-3401,5/27/2014,10:30,JRM & JMM,20m upslope,0
sighting,5/27/2014,13:35:29,JRM & JMM,FALSE,N. P. RATTLESNAKE,Sunny,2/9,Breeze,27.6,25.8,Moving,SHRUB STEPPE,under antelopebrush,N of interp trail,322365.6718,5435294.135,,,,0.0,0.0,0.0,0.0,0.0,,Sub-Adult,,,5/27/2014,,,,0
0a180d5f4d,5/27/2014,14:00:58,JRM & JMM,FALSE,GOPHER SNAKE,Sunny,3/9,Breeze,29.6,29.1,Moving,GOLF COURSE,open grass,GC FWY 6,322568.205,5435041.79,,,77,71.4,13.5,233.0,83.0,150.0,Male,Adult,N/A,110-3402,5/27/2014,2:20 pm,JRM & JMM,shrubsteppe 10m away,0
0a13677575,5/27/2014,14:40:02,JRM & JMM,FALSE,GOPHER SNAKE,Sunny,3/9,Breeze,27.8,28.8,Moving,GOLF COURSE,beside antelopebrush,N of GC FWY 6,322571.511,5435053.205,,,36,78.0,13.9,282.0,71.0,211.0,Male,Adult,N/A,110-3404,5/27/2014,2:40 pm,JRM & JMM,same as capture,0
4a1e1e2067,5/27/2014,14:53:23,JRM & JMM,TRUE,N. P. RATTLESNAKE,Sunny/Cloudy,4/9,No wind,33.1,32.0,Coiled,CONSTRUCTION SITE,beside fence,NW d site fence,322648.1202,5434867.902,,burrows:outside of fence_not captured,,0.0,0.0,0.0,0.0,0.0,,Adult,,,5/27/2014,,,,0
0a180d5f5d,5/27/2014,15:14:19,JRM & JMM,FALSE,GOPHER SNAKE,Sunny/Cloudy,5/9,Breeze,32.5,32.7,Coiled,GOLF COURSE,under antelopebrush,GC green 8 pond,322555.5663,5434584.248,,found beside sighted GS under rock,28,110.7,19.4,479.0,107.0,372.0,Male,Adult,N/A,110-3404,5/27/2014,3:40 pm,JRM & JMM,same as capture,0
4a1e1e2067,5/28/2014,09:49:03,JRM & JMM,TRUE,N. P. RATTLESNAKE,Sunny/Cloudy,6/9,Breeze,22.1,22.5,Coiled,RESIDENTIAL/COMMERCIAL,under bush,North  dev site fence-outside,322640.807,5434857.669,,BURROWS:right against temp fence,,0.0,0.0,0.0,0.0,0.0,Male,Adult,No,,5/28/2014,9:52,JRM & JMM,same as capture,0
0a180d5f58,5/28/2014,14:46:24,JRM & JMM,FALSE,N. P. RATTLESNAKE,Drizzle,9/9,No wind,27.7,28.9,Moving,SHRUB STEPPE,open grass,village interection,322017.9729,5435326.786,,,43,55.5,3.3,264.0,84.0,180.0,Female,Adult,No,110-3412,5/28/2014,4:00,JRM & JMM,same as capture,0
430f5b2e26,5/29/2014,15:15:01,JH,TRUE,N. P. RATTLESNAKE,,,,0.0,0.0,,RESIDENTIAL/COMMERCIAL,,centre gallery near tipi,322118.3057,5434961.041,,BILLY - old transmitter snake,14,81.4,6.4,417.0,83.0,334.0,Male,Adult,N/A,110-3415,5/30/2014,9:04,JRM & JMM,spadefoot pond,1
0a13677609,5/30/2014,10:06:06,JRM & JMM,TRUE,N. P. RATTLESNAKE,Sunny/Cloudy,3/9,Breeze,19.5,20.0,Moving,CONSTRUCTION SITE,cheatgrass,btwn dev site road & green 8,322620.9722,5434539.315,,,28,59.9,3.2,235.0,110.0,125.0,Female,Adult,No,110-3416,5/30/2014,10:16,JRM & JMM,same as capture,0
4a1e1e2067,5/30/2014,11:10:49,JRM & JMM,TRUE,N. P. RATTLESNAKE,Sunny/Cloudy,4/9,Breeze,27.1,26.6,Coiled,CONSTRUCTION SITE,on sand beside fence,N Dev site fence,322647.708,5434860.965,,BURROWS: not captured,,0.0,0.0,0.0,0.0,0.0,Male,Adult,N/A,,5/30/2014,,,,0
sighting,5/30/2014,11:30:57,JRM & JMM,FALSE,N. P. RATTLESNAKE,Sunny/Cloudy,4/9,Breeze,26.0,24.0,Moving,CONSTRUCTION SITE,sand beside fence,N Dev site fence,322648.79,5434863.525,,"found within 5m of ""burrows""",,0.0,0.0,0.0,0.0,0.0,,Adult,,,5/30/2014,,,,0
too small,5/30/2014,11:42:52,JRM & JMM,FALSE,N. P. RATTLESNAKE,Sunny/Cloudy,4/9,Breeze,29.8,27.2,Coiled,CONSTRUCTION SITE,on sand beside fence,N Dev site fence,322665.3972,5434876.57,,SIGHTING,,0.0,0.0,0.0,0.0,0.0,,Baby,,,5/30/2014,,,,0
4a6c1f5f47,5/30/2014,12:00:54,JRM & JMM,TRUE,N. P. RATTLESNAKE,Sunny/Cloudy,4/9,Breeze,30.6,30.6,Coiled,CONSTRUCTION SITE,on sand inside fence,NE dev site fence,322697.9444,5434876.17,,,43,55.3,3.5,215.0,83.0,132.0,Female,Adult,No,110-3417,5/30/2014,12:15,JRM & JMM,outside fence draw,0
4a4f316a48,5/30/2014,14:53:44,JRM & JMM,TRUE,N. P. RATTLESNAKE,Sunny/Cloudy,7/9,Slight wind,25.6,30.3,Coiled,RESIDENTIAL/COMMERCIAL,gravel road,gate to staff housing area,322161.6204,5434448.349,,,36,63.3,4.2,406.0,72.0,334.0,Female,Adult,No,110-3419,5/30/2014,17:55,JRM & JMM,downslope,0
445e1b2963,5/30/2014,17:52:46,JRM & JMM,TRUE,N. P. RATTLESNAKE,,,,0.0,0.0,Moving,RESIDENTIAL/COMMERCIAL,open gravel,behind fountain @ centre,322115.041,5434961.383,,R2D2,77,65.1,5.6,341.0,81.0,260.0,Male,Adult,N/A,110-3420,5/30/2014,17:55,JRM & JMM,downslope highdesert,0
0a13654b2f,5/29/2014,16:10:52,CG Staff,TRUE,GOPHER SNAKE,,,,0.0,0.0,,CAMPGROUND,rock garden,path near store,321492.3468,5434742.737,,shedding site,99,95.3,16.0,580.0,118.0,462.0,Female,Adult,Yes,110-3431,6/2/2014,19:40,JRM & JMM,upslope from capture,0
