PIT Tag #,Date,Time,Researcher,Spp,Encounter,Detection,Recap,Location,Mode,Avg Count,Error,Elevatlon,Easting,Northing,Waypoint,Habitat,Weather,Cloud cover,Ta,Tg,Comments,Pillow case,SVL,VTL,S + B,Bag,Mass,Sex,Age class,Gravid,Rattle paint,Photo #,Comments,Rel date,Rel time,Rel researcher,Days in captivity,Rel locatlon,Behaviour,Record #,Type,Distance to buildings,Distance to road,Direction to building,Direction to road
456D5D4E38,12/05/10,04:27:00 PM,EVL ARB,Rattlesnake,,Sight,,First Bridge,3D diff,34,4.7,331,322158,5435039,CO014,"Shrub-steppe, Antelope brush",Warm,03/09/11,25,22.8,One foot from bridge,27,,5.9,328,122,206,Male,Adult,NA,"Citrus green, Fiesta yellow, Car pink. repainted",YES,,12/05/10,05:12:00 PM,"EVL, ARB",,At capture location,On the move,2010-014,Capt,10/01/50,50,S,S
4A245B3C14  Jersey,13/05/2010,01:39:00 PM,"ARB, EVL",Rattlesnake,,Sight,No,Den06,3D diff,44,4.2,573,322999,5435262,CO015,"Rock slide, Rock","Hot, Thin Cirrus overcast",07/09/11,27.7,30.1,,21,,9.2,618,101,517,Male,Adult,NA,Tango blue,,"""Jersey"" to be used in telemetry",21/05/2010,01:34:00 PM,"EVL, ARB",8,At capture location,On the move,2010-015,Capt,50,50,W,W
486236384C,13/05/2010,02:38:00 PM,"ARB, EVL",Rattlesnake,,Sight,No,below Den.05,3D diff,409,4.5,519,322916,5435237,CO016,"Shrub-steppe, Rock","breeze, Thin Cirrus overcast, Warm",07/09/11,31.7,32.2,,20,,6.7,294,112,182,Female,Adult,No,"Gold, Red, Fiesta yellow",,Unable to confirm if gravid,17/05/2010,10:31:00 AM,"EVL, ARB",4,At capture location,On the move,2010-016,Capt,50,50,W,W
4A4E102F6F,13/05/2010,02:50:00 PM,"ARB, EVL",Rattlesnake,,Sight,No,below Den06,3D diff,138,4.7,534,322917,5435225,CO017,"Shrub-steppe, Rock","Thin Cirrus overcast, Warm, breeze",07/09/11,27.7,31.7,,14,,8.4,247,96,151,Male,Sub Adult,NA,"Orange, geranium Red, , Tango blue",YES,,17/05/2010,10:31:00 AM,"EVL, ARB",4,At capture location,"Under rock, On the move",2010-017,Capt,50,50,W,W
430F5B2E26,14/05/2010,09:38:00 AM,"ARB, EVL",Rattlesnake,,Sight,No,Desert Centre,3D diff,220,2.9,328,322130,5434997,CO018,"Desert centre,, shrub steppe, sayebrush",Sunny,01/09/11,21.1,19.6,,8,,6.5,383,105,278,Male,Adult,NA,"Tango blue, Fiesta yellow, repainted",YES,"Was a Transmitter snake, tracked last in 2005.  ""Billy""",18/05/2010,10:44:00 AM,"EVL, ARB",4,1st bridge,"Coiled, Under sage brush",2010-018,Capt,10/01/50,10/01/50,S,S
456A701D3F,14/05/2010,09:58:00 AM,BS,Rattlesnake,,Sight,No,First Bridge,3D diff,7,4.9,328,3222158,5435033,CO019,"Desert centre,",Sunny,01/09/11,21.1,19.6,,18,,6.2,476,113,363,Male,Adult,NA,"Fiesta yellow, Blue bell, Red",YES,,18/05/2010,10:45:00 AM,"EVL, ARB",4,1st bridge,Coiled,2010-019,Capt,10/01/50,10/01/50,W,W
4723732F3B,14/05/2010,12:00:00 AM,Interpreter Staff,Rattlesnake,,Sight,No,Desert Centre,,,,,322,543,CO020,Desert center,,,,,No habitat/behaviour data ,34,,4.9,293,117,176,Male,Adult,NA,"Daisy cream, Pt purple, Fiesta yellow",YES,,18/05/2010,10:45:00 AM,"EVL, ARB",4,1st bridge,,2010-020,Capt,,,,
Neonate,18/05/2010,10:14:00 AM,CG staff,Rattlesnake,,Sight,,"Campground ""20 feet East of marina""",3D diff,1,3.4,283,321411,5434816,CO021,"Campground, ""20 feet East of marina""",,,,,,26,,2.9,135,101,34,,Neonate,NA,Orange,YES,,19/05/2010,01:21:00 PM,"EVL, ARB",1,1st bridge,,2010-021,Capt,,,,
497F656E6F,19/05/2010,04:00:00 PM,"ARB, EVL",Rattlesnake,,Sound,No,Above 7th fairway,3D diff,70,2.8,379,322707,5434880,CO022,"Shrub-steppe, Antelope brush","breeze, Cloudy",09/09/11,23.3,22.8,,3,,3.2,237,127,110,Female,Sub Adult,No,"Orange, Red, Citrus green",YES,,21/05/2010,11:00:00 AM,"EVL, ARB",2,At capture location,"On the move along fence, 4m from little gully",2010-022,Capt,10/01/50,10/01/50,S,S
446238055B Missouri,19/05/2010,12:23:00 PM,GC staff (Victor),Rattlesnake,,,,Tee deck of #9 hole,3D diff,5,2.6,350,322548,5434537,CO023,,,,,,,22,,6.3,418,104,314,Male,Adult,NA,"Fuchsia, Royal blue, Fuchsia ",YES,,31/05/2010,05:00:00 PM,"EVL, ARB",12," Above substation. Waypoint: MI000, accuracy:5.0, count:100, elev:388,  322771 5434696",,2010-023,Capt,,,,
Neonate,19/05/2010,01:07:00 PM,CG staff,Rattlesnake,,,No,Campground,3D diff,,,,322,543,CO024,CG,,,,,,,,1.5,138,123,15,,Neonate,,Orange,YES,,19/05/2010,01:21:00 PM,"EVL, ARB",,1st bridge,,2010-024,Capt,<10,<10,,
Neonate,19/05/2010,12:51:00 PM,GC staff,Rattlesnake,,Sight,No,Golf Course club house,3D diff,1,3.4,330,322260,5434659,CO025,,,,,,,2,,2.6,106,95,11,,Neonate,NA,Orange,YES,,21/05/2010,10:53:00 AM,"EVL, ARB",2,Gully above fairway 7,,2010-025,Capt,,,,
1.79769E+308,22/05/2010,03:02:00 PM,CG staff,Rattlesnake,,,Yes,"At last campsite, north end",3D diff,15,4.6,284,321207,5435490,CO026,CG,,,,,,14,,4.1,260,97,163,Female,Adult,,"Tango blue, Fiesta yellow repainted. 14 segments!",YES,"""Ribeye"" -was a transmitter snake

-small injury on left side with some swelling",23/05/2010,05:17:00 PM,"EVL, ARB",1," above capture location, across fence",,2010-026,Capt,10/01/50,<10,,
4A1D591972,23/05/2010,02:37:00 PM,"ARB, EVL",Rattlesnake,,,No,Campground,3D diff,30,5,295,321615,5434732,CO027,"Shrub-steppe, Shrub-steppe","Cloudy, Sunny, breeze",06/09/11,22.1,21.8,,6,,3.7,242,96,146,Female,Adult,No,"Orange, Red, , Fiesta yellow",YES,,23/05/2010,09:31:00 AM,"EVL, ARB",,"Across fence, above capture location",On the move,2010-027,Capt,10/01/50,10/01/50,W,W
445C7C2E10,25/05/2010,03:14:00 PM,"ARB, EVL",Rattlesnake,,Sight,Yes,"inside new drift fence, 7th fairway",3D diff,200,4.8,352,322599,5434739,CO028,"Shrub-steppe, Sagebrush and , Rabbit brush","Sunny, Warm, breeze, Overcast",08/09/11,32.7,25.8,,3,,4.3,337,126,211,Female,Adult,,"Fuchsia, Daisy cream, Lt blue",YES,,26/05/2010,02:43:00 PM,"EVL, ARB",1,Just outside fence from capture location,Coiled between fence and shrubs,2010-028,Capt,50,50,E,S
4A1D150449,27/05/2010,12:03:00 PM,"ARB, EVL",Rattlesnake,,Sound,No,below Den06,3D diff,99,5,481,322848,5435168,CO029,"Shrub-steppe, Sagebrush","Overcast, breeze",09/09/11,18.7,19.6,,16,,3,195,98,97,Female,Sub Adult,No,"Orange, Red,  aqua green",YES,,31/05/2010,02:00:00 PM,"EVL, ARB",4,At capture location,Under sage brush,2010-029,Capt,50,50,W,W
484B15284B,29/05/2010,09:22:00 AM,"BM, JH",Rattlesnake,,Sight,,Desert Centre under canoe,3D diff,50,4.7,343,322115,5434964,CO030,under canoe at desert centre,,,,,,11,,3.5,263,122,141,Female,Adult,No,"Gold, Pt purple, Car pink",YES,,31/05/2010,10:41:00 AM,"EVL, ARB",2,1st bridge,,2010-030,Capt,<10,50,S,W
Juvenile,31/05/2010,11:45:00 AM,"ARB, EVL",Rattlesnake,,Sight,,Drift fence at development site,3D diff,100,4.4,389,322766,5434709, CO031,"Shrub-steppe, Sand next to drift fence","Overcast, Warm humid",07/09/11,22.5,22.3,,14,,2.3,113,87,26,,Juvenile,NA,"Orange, Red",YES,"No pit tag due to size, but has one rattle segment",01/06/10,06:02:00 PM,"EVL, ARB",1,At capture location,On the move,2010-031,Capt,10/01/50,10/01/50,W,S
497F656E6F,31/05/2010,11:58:00 AM,"ARB, EVL",Rattlesnake,,Sight,Yes,"new Drift fence, upper side",3D diff,75,4.9,392,322760,5434775,CO032,"Shrub-steppe, Sand against drift fence","Cloudy, Thin Cirrus overcast, Warm",06/09/11,24.5,26.6,,5 White with leaves,,3.2,199,92,107,Female,Sub Adult,No,"Orange, Red, Citrus green",NO,Recap,01/06/10,06:09:00 PM,"EVL, ARB",1,At capture location,On the move,2010-032,2010recap,50,50,S,S
486026452C Columbus,31/05/2010,12:10:00 PM,"ARB, EVL",Rattlesnake,,Sight,Yes,10m east of Drift fence in dev area,3D diff,315,1.4,393,3222763,5434832,CO033,"Shrub-steppe, sage brush, next to rock pile","Sunny, breeze, Cloudy",06/09/11,24.6,24.7,,9,,6,416,106,310,Male,Adult,NA,"Gold, Red, Tango blue",YES,,05/06/10,10:47:00 AM,"EVL, ARB",5,At capture location,Under sage brush next to rock,2010-033,Capt,50,50,S,S
4A1E1E2067,31/05/2010,12:29:00 PM,"ARB, EVL",Rattlesnake,,Sight,,"along.Drift fence in dev. area, gully",3D diff,44,4.6,380,322720,5434880,CO034,"Shrub-steppe, sand and woody debris","Warm, Cloudy",06/09/11,25.1,26.3,,17,,5,254,99,155,Male,Adult,NA,"Orange, Red, Car pink",YES,,02/06/10,03:49:00 PM,"EVL, ARB",2,At capture location,On the move,2010-034,Capt,50,50,S,S
456F102247,01/06/10,02:30:00 PM,"cg, ARB, EVL",Rattlesnake,,Sight,,Campground maintenance office,3D diff,130,4.6,333,321507,5434687,CO035,"Cg, under side of building","Warm, breeze, Sunny",02/09/11,22.7,21.8,,7,,5.6,361,113,248,Male,Adult,NA,"Daisy cream, Tango blue, Tango blue",YES,was Telemetry snake: 'Heckla',04/06/10,04:30:00 PM,"EVL, ARB",3,Other side of snake fence behind maintenance office,Under building,2010-035,Capt,<10,10/01/50,W,W
46566C1407,01/06/10,06:26:00 PM,"ARB, EVL",Rattlesnake,,Sight,Yes,Inside new drift fence,3D diff,72,5,376,322648,5434854, CO036,"Shrub-steppe, sand along drift fence",Cloudy,07/09/11,21.5,21.9,"5m to 7th fairway, end of small gully, relocated to other side of fence",,,,,,,Male,Adult,NA,"Citrus green, Car pink, Fuchsia",NO,,,,,,Sighted only,On the move,2010-036,Sight,50,50,W,W
446247121A,02/06/10,03:14:00 PM,"ARB, EVL",Rattlesnake,,Sight,No,"Near fence,plateau above CG office",3D diff,80,3.2,300,321551,5434874,CO037,"Shrub-steppe, Grass","Cloudy, breeze",09/09/11,19.5,21.5,,22,,3.8,230,104,126,Female,Adult,No,"Fuchsia,  aqua green, Fuchsia",YES,Repainted tail. ,04/06/10,05:01:00 PM,"EVL, ARB",2,Over snakefence,On the move,2010-037,Capt,50,50,S,W
Neonate,02/06/10,03:51:00 PM,"ARB, EVL",Rattlesnake,,Sight,No,North border of snake drift fence,3D diff,14,4.9,374,322700,5434878,CO038,"Shrub-steppe, sandvnext to drift fence","Cloudy, muggy",09/09/11,21.9,21.3,,12,,1.7,120,103,17,,Neonate,NA,Orange,YES,,03/06/10,12:21:00 PM,"EVL, ARB",1,At capture location,Coiled against fence,2010-038,Capt,50,50,S,S
4A1D060A3E,03/06/10,12:03:00 PM,"ARB, EVL",Rattlesnake,,Sight,,Above new drift fence,3D diff,19,5,393,322758,5434772,CO039,"Shrub-steppe, sand along drift fence","Sunny, Warm",01/09/11,23.3,24.1,,26,,3.2,162,100,62,Male,Juvenile,NA,"Orange, Gold",YES,,03/06/10,03:55:00 PM,"EVL, ARB",,At capture location,On the move,2010-039,Capt,50,50,W,W
4725416D41,04/06/10,04:56:00 PM,"ARB, EVL",Rattlesnake,,,Yes,Plateau up from CG office,3D diff,77,4.6,302,321554,5434878,CO040,"Shrub-steppe, coverboard",Cloudy,07/09/11,21.7,23.7,,18,,4.3,284,112,172,Female,Adult,No,"Citrus green, Fuchsia, , Tango blue",YES,"Repainted tail to what masterfile showed. Was green, fuschia, daisy cream but wearing off.

Felt was seems to be a meal.



Distinctive darker markings",05/06/10,02:38:00 PM,"EVL, ARB",1,At capture location on right side of snake fence,Coiled halfway under coverboard,2010-040,Capt,50,50,S,W
44620C0B44 Phoenix,05/06/10,02:45:00 PM,Bob,,,,,1st tee,3D diff,18,2.1,337,322293,5434681,CO041. this his release spot,"Golf course, sagebrush",,,,,,32,,6.8,305,88,217,Male,Adult,,Tango blue,YES,,14/06/2010,05:07:00 PM,"EVL, ARB",9,shrubs near 1st tee box,,2010-041,,,,,
472378767D,05/06/10,04:51:00 PM,Bob,Rattlesnake,,,,Campsite 227,3D diff,3,2.8,281,321239,5435378,CO042,,,,,,,19,,4.6,275,105,170,Female,Adult,No,"Pine Green, Fiesta yellow, , Royal blue",YES,,08/06/10,01:42:00 PM,"EVL, ARB",3,Riparian - pumphouse,,2010-042,Capt,,,,
47240C6832,05/06/10,04:51:00 PM,CG staff,Rattlesnake,,,,CG bin,,,,,32,543,CO043,,,,,,,3,,5.5,304,124,180,Male,Adult,NA,"Pine Green, Pt purple, Royal blue",YES,,08/06/10,01:42:00 PM,"EVL, ARB",3,Riparian - pumphouse,,2010-043,Capt,,,,
4A25602968,05/06/10,02:43:00 PM,"ARB, EVL",Rattlesnake,,Sight,,Coverboard east and 1 to north of cg maintenance office,,112,4.7,305,321545,5434902,CO044,Shrub-steppe .under coverboard,"Sunny, Warm",01/09/11,26.7,26.3,,5 white with leaves,,4.5,235,92,143,Male,Adult,NA,"Orange, Red, Lt blue",YES,,08/06/10,01:54:00 PM,"EVL, ARB",3,"Close to cap location, better cover",Coiled,2010-044,Capt,50,50,W,W
4A4F07194B,05/06/10,12:28:00 PM,"ARB, EVL",Rattlesnake,,Sight,,Golf Course on western side of drift fence,3D diff,133,5,372,322642,5434846,CO045,"Shrub-steppe, Rabbit brush","Warm, Sunny",01/09/11,29.3,26.8,,33,,2.6,122,86,36,Male,Juvenile,NA,"Orange, Red, Royal blue",YES,,07/06/10,11:40:00 AM,"EVL, ARB",2,At capture location,"Under rabbit brush, Coiled",2010-045,Capt,50,50,W,S
4A1D670868,05/06/10,11:58:00 AM,"ARB, EVL",Rattlesnake,,Sight,,"East of dev site, east of drift fence",3D diff,38,4.9,398,322760,5434872,CO046,"Shrub-steppe, Antelope brush in front of rock outcrop","Warm, Sunny",01/09/11,28.2,30.3,,23,,3.2,188,105,83,Female,Sub Adult,No,"Orange, Red, Blue bell",YES,,07/06/10,12:32:00 PM,"EVL, ARB",2,At capture location,"Stretched out, On the move",2010-046,Capt,,50,,W
43602D1948,06/06/10,01:30:00 PM,CG staff,Rattlesnake,,,Yes,"Bathroom across from store, cg",3D diff,10,3.4,287,321480,5434682, CO047,,,,,,,16,,7.2,366,97,269,Male,Adult,NA,"Fiesta yellow, Tango blue, Tango blue",YES,"Transmitter snake, 'Posiedon'",08/06/10,01:43:00 PM,"EVL, ARB",2,Riparian - pumphouse,,2010-047,Capt,<10,<10,,
Neonate,07/06/10,04:52:00 PM,"ARB, EVL, JH","Rattlesnake, Neonate",,Sight,Yes,"By dumpster by staff house, on road",3D diff,125,4.2,339,322153,5434467,CO048,"Resort/gc, road","., Warm, Cloudy, Sunny",04/09/11,33.3,32.4,,0.15,,,,,,,Neonate,,,,,08/06/10,01:37:00 PM,"EVL, ARB",1,Riparian below osprey nest,,2010-048,Capt,,,,
4A1D202A41,08/06/10,10:22:00 AM,"ARB, EVL",Rattlesnake,,Sound,,west border of drift fence,3D diff,3,4.8,367,322631,5434843,CO049,"Shrub-steppe, Antelope brush","Sunny, Warm, breeze",02/09/11,25.1,22.1,,34,,4.4,220,117,103,Male,Sub Adult,NA,"Orange, Red, Fuchsia",YES,,09/06/10,04:09:00 PM,"EVL, ARB",1,At capture location,Coiled,2010-049,Capt,50,50,W,W
4A4F0B6B20,08/06/10,10:22:00 AM,"ARB, EVL",Rattlesnake,,Sight,,west border of drift fence,3D diff,52,4.4,365,322630,5434842,CO050,Shrub-steppe,"Sunny, Warm, breeze",01/09/11,25.1,22.1,,5,,3.4,252,131,121,Female,Sub Adult,No,"Orange, Daisy cream, Blue bell",YES,,11/06/10,11:45:00 AM,"ARB, JH",3,At capture location,On the move towards sage brush,2010-050,Capt,50,50,W,W
4A1D4B2D1E,31/05/2010,10:07:00 AM,Bob,Rattlesnake,,Sight,,1st tee gc,3D diff,1,4.4,340,322261,5434686,CO051,,,,,,"Struck rabbit, ate in lab, kept in snake hotel to digest for a couple of days",25,,4.7,321,93,228,Male,Adult,NA,"Orange, Pt purple, Red",YES,,09/06/10,03:36:00 PM,"EVL, ARB",9,Riparian up from osprey nest,,2010-051,Capt,,,,
48433E192C,09/06/10,11:46:00 AM,"ARB, EVL",Rattlesnake,,Sight,Yes,Coverboard 7,3D diff,68,4.5,298,321615,5434777,CO052,"Shrub-steppe, coverboard next to fence","Cloudy, Warm, Hot, humid",,22.1,23.3,,4,,3.5,277,101,176,Female,Adult,Yes,"Gold, Fiesta yellow,  aqua green",YES,,09/06/10,04:24:00 PM,"EVL, ARB",,At capture location,On the move,2010-052,Capt,50,50,W,W
4A1E016179,11/06/10,09:54:00 AM,"LZ, MT",Rattlesnake,,Sight,No,150m above substation,,,,,32,543,CO053,Shrub-steppe,,,,,,13,,3,222,109,113,Female,Sub Adult,No,"Orange, Pt purple, Fiesta yellow",YES,,11/06/10,12:24:00 PM,"ARB, JH",,Above substation,,2010-053,Capt,50,50,W,W
4A4F0B3361,11/06/10,02:32:00 PM,Bob,,,,,,,,,,32,543,CO054,,,,,,,14,,3.9,223,101,122,Female,Adult,No,"Orange, Pt purple, Fuchsia",,,15/06/2010,10:58:00 AM,"EVL, ARB",4, riparian up from 1st bridge,,2010-054,,,,,
Neonate,13/06/2010,02:53:00 PM,Tara,Rattlesnake,,,,Outside Goliath's cage,3D diff,65,4.5,327,322127,5434952,CO055,"Desert centre, gravel",,,,,,7,,1.6,124,112,12,,Neonate,No,Orange,,,14/06/2010,04:52:00 PM,"EVL, ARB",1,Riparian - pumphouse,,2010-055,Capt,<10,10/01/50,S,S
Neonate,14/06/2010,09:10:00 AM,GC staff,Rattlesnake,,,No,1st tee box,3D diff,,,,32,543,CO056,GC,,,,,,19,,1.9,119,105,14,,Neonate,No,Orange,YES,,14/06/2010,04:45:00 PM,"EVL, ARB",,riparianabove 1st bridge,,2010-056,Capt,,,,
4A4E765427,14/06/2010,03:41:00 PM,Tara,Rattlesnake,,,No,Stairs in front of desert centre,3D diff,138,3.8,326,322111,5434873,CO057,,,,,,,24,,3.1,138,93,45,,Juvenile,No,"Orange, Pt purple, Tango blue.",YES,"Small, did not probe",14/06/2010,04:51:00 PM,"EVL, ARB",,Riparian - pumphouse,,2010-057,Capt,,,,
Neonate,13/06/2010,09:26:00 AM,Bob,Rattlesnake,,,,"CG, site 189",3D diff,3,2.2,283,321342,5435263,CO058,,,,,,,34,,2.1,129,116,13,,Neonate,No,Orange,YES,,15/06/2010,11:30:00 AM,"EVL, ARB",2,Over snakefence,,2010-058,Capt,,,,
47240C6832,12/06/10,09:50:00 AM,Bob,Rattlesnake,,,Yes,Campground,3D diff,,,,32,543,CO059,CG,,,,,,16,,5.5,267,98,169,Male,Adult,NA,"Pine Green, Pt purple, Royal blue",NO,No photo because captured recently,15/06/2010,11:33:00 AM,"EVL, ARB",3,Over snakefence,,2010-059,2010recap,,,,
4551444D03,15/06/2010,12:16:00 PM,"ARB, EVL",Rattlesnake,,,Yes,15m above snake fence above CG office,3D diff,37,4.7,307,321661,5434765,CO060,"Shrub-steppe, Long grass","Cloudy, Cool, Windy",08/09/11,16.8,16.5,,23,,5.2,322,104,218,Male,Adult,NA,"Citrus green, Lt blue, , Tango blue",YES,,16/06/2010,02:58:00 PM,"EVL, ARB",1,At capture location,"On the move, to antelope brush",2010-060,Capt,50,50,W,W
43044C1500,16/06/2010,11:11:00 AM, CG staff,Rattlesnake,,,,"1st washrooms, CG",3D diff,4,3.2,289,321483,5434677,CO061,,,,,,,A's green,,4,231,112,119,Female,Adult,No,"Red, Fiesta yellow, Royal blue",NO,,16/06/2010,02:32:00 PM,"EVL, ARB",,Riparian ,,2010-061,,,,,
497F5A0D51,19/06/2010,10:46:00 AM,BE,Rattlesnake,,,,Below Chief's lookout,,,,,32,543,CO062,Shrub-steppe,,,,,,32,,,119,87,32,Male,Juvenile,No,"Orange, Pt purple,  deep aqua green",YES,,23/06/2010,02:00:00 PM,"EVL, ARB",4,At capture location,,2010-062,Capt,,,,
43602D1948 Posiedon,20/06/2010,02:48:00 PM,CG staff,Rattlesnake,,,,Campground,,,,,32,543,CO0,,,,,,,24,,,366,94,272,Male,Adult,NA,"Fiesta yellow, Tango blue, Tango blue",NO,,23/06/2010,03:41:00 PM,"EVL, ARB",3,Village riparian,,2010-063,Capt,,,,
4A4E116D36,21/06/2010,10:50:00 AM,"Liz, Brit",Rattlesnake,,,,Near development,3D diff,,4.5,412,322708,5435178,CO064,,,,,,,15,,3.8,180,94,86,Male,Sub Adult,,"Orange, Pt purple, Royal blue",YES,,29/06/2010,09:10:00 PM,"EVL, ARB",8,At capture location,,2010-064,Capt,,,,
