PIT TAG,DATE,Time,RESEARCHER,RECAP,SPECIES,WEATHER,CLOUD COV,AIR TEMP,GROUND TEM,DET,BEHAVIOUR,MACRO HAB,MICRO HAB,LOCATION,Easting,Northing,DEN,PILLOW,SVL,S+B,BAG,MASS,SEX,AGE CLASS,REPRO,DIST BUI,DIST RD,DIR BUI,DIR RD,RELOC,REL TIME,REL DAY,REL LOC,DAY CAP,COMMENTS,"ELEVATION, M"
47022A3D28,04/19/18,12:22,"DME, RR",YES,RATTLE,SUNNY,2,20.5,14.5,SIGHT,BASKING,TALUS,WITHIN ROCKS,DEN 6,322936,5435286,DEN 6,63,63.5,296,97,199,FEMALE,ADULT,GRAVID,>100,>100,SW,SW,NO,13:24,04/19/18,SAME AS CAPTURE,0,3 OVA DETECTED- OLD SCAR STARTED TO BLEED A LOT- DID NOT KEEP FOR TRANSMITTER,
989001006650682,04/19/18,12:22,"DME, RR",NO,RATTLE,SUNNY,2,20.5,14.5,SIGHT,BASKING,TALUS,WITHIN ROCKS,DEN 6,322936,5435286,DEN 6,63,51.2,212,97,115,FEMALE,SUBADULT,NON GRAVID,>100,>100,SW,SW,NO,13:40,04/19/18,SAME AS CAPTURE,0,,
0A180D5F65,04/19/18,12:22,"DME, RR",YES,RATTLE,SUNNY,1,20.5,14.5,SIGHT,BASKING,TALUS,WITHIN ROCKS,DEN 6,322936,5435286,DEN 6,63,55,201,97,104,MALE,ADULT,NA,>100,>100,SW,SW,NO,14:10,04/19/18,SAME AS CAPTURE,0,,
989001005040898,04/19/18,14:03,"DME, RR",YES,RATTLE,SUNNY,2,17.5,18.4,SIGHT,BASKING,TALUS,WITHIN ROCKS,DEN 6,322936,5435286,DEN 6,63,64.5,250,97,153,MALE,ADULT,NA,>100,>100,SW,SW,NO,14:23,04/19/18,SAME AS CAPTURE,0,,
989001006650759,04/19/18,14:03,"DME, RR",NO,RATTLE,SUNNY,1,17.5,18.4,SIGHT,BASKING,TALUS,WITHIN ROCKS,DEN 6,322936,5435286,DEN 6,63,59.5,248,97,151,MALE,ADULT,NA,>100,>100,SW,SW,NO,14:56,04/19/18,SAME AS CAPTURE,0,,
989001006782069,04/19/18,14:40,"DME, RR",NO,RATTLE,SUNNY,3,17.5,18.4,SIGHT,BASKING,TALUS,WITHIN ROCKS,DEN 6,322936,5435286,DEN 6,61,50.5,192,75,117,FEMALE,ADULT,GRAVID,>100,>100,SW,SW,NO,15:05,04/19/18,SAME AS CAPTURE,0,3 OVA DETECTED- TOO SMALL FOR TRANSMITTER,
989001006650764,04/19/18,14:40,"DME, RR",NO,RATTLE,SUNNY,3,17.5,18.4,SIGHT,MOVING,TALUS,WITHIN ROCKS,DEN 6,322936,5435286,DEN 6,61,92.25,720,75,645,MALE,ADULT,NA,>100,>100,SW,SW,NO,15:13,04/19/18,SAME AS CAPTURE,0,,
484A7A4E25,04/19/18,14:03,"DME, RR",YES,RATTLE,SUNNY,1,17.5,18.4,SIGHT,BASKING,TALUS,WITHIN ROCKS,DEN 6,322936,5435286,DEN 6,61,88.3,660,75,585,MALE,ADULT,NA,>100,>100,SW,SW,NO,15:20,04/19/18,SAME AS CAPTURE,0,,
4C3B604947,04/19/18,14:40,"DME, RR",YES,RATTLE,SUNNY/CLOUDY,5,17.5,18.4,SIGHT,BASKING,TALUS,WITHIN ROCKS,DEN 6,322936,5435286,DEN 6,61,62.9,247,75,172,MALE,ADULT,NA,>100,>100,SW,SW,NO,15:44,04/19/18,SAME AS CAPTURE,0,,
989001006650699,04/19/18,14:40,"DME, RR",NO,RATTLE,SUNNY/CLOUDY,5,17.5,18.4,SIGHT,BASKING,TALUS,ON ROCKS,DEN 6,322936,5435286,DEN 6,61,76.2,458,75,383,MALE,ADULT,NA,>100,>100,SW,SW,NO,15:58,04/19/18,SAME AS CAPTURE,0,,
4C165E5674,04/19/18,14:40,"DME, RR",YES,RATTLE,SUNNY/CLOUDY,5,17.5,18.4,SIGHT,BASKING,TALUS,ON ROCKS,DEN 6,322936,5435286,DEN 6,61,73.3,378,75,303,MALE,ADULT,NA,>100,>100,SW,SW,NO,16:15,04/19/18,SAME AS CAPTURE,0,,
989001006782008,04/19/18,16:50,"DME, RR",NO,GOPHER,SUNNY/CLOUDY,5,17.5,18.4,SIGHT,BASKING,TALUS,ON ROCKS/LEAVES,DEN 6,322936,5435286,DEN 6,63,105.5,410,97,313,FEMALE,ADULT,NON GRAVID,>100,>100,SW,SW,NO,17:12,04/19/18,SAME AS CAPTURE,0,,
989001006782018,04/20/18,12:11,"DME, RR",NO,RATTLE,SUNNY/CLOUDY,3,23,23.3,SIGHT,BASKING,TALUS,ON ROCKS,DEN 8,322048,5435750,DEN 8,26,45.5,194,115,79,MALE,JUVENILE,NA,>100,>100,S,S,NO,12:28,04/20/18,SAME AS CAPTURE,0,,
0A180D5F69,04/20/18,12:11,"DME, RR",YES,RATTLE,SUNNY/CLOUDY,4,23,23.3,SIGHT,BASKING,TALUS,ON ROCKS,DEN 8,322048,5435750,DEN 8,60,60.6,234,106,128,FEMALE,ADULT,NON GRAVID,>100,>100,S,S,NO,12:35,04/20/18,SAME AS CAPTURE,0,,
NONE GIVEN,04/20/18,12:11,"DME, RR",NO,RATTLE,SUNNY/CLOUDY,6,23,23.3,SIGHT,BASKING,TALUS,WITHIN ROCKS,DEN 8,322048,5435750,DEN 8,24,26.6,134,119,15,MALE,NEONATE,NA,>100,>100,S,S,NO,12:45,04/20/18,SAME AS CAPTURE,0,TOO SMALL FOR PIT TAG,
989001006650714,04/20/18,12:11,"DME, RR",YES,RATTLE,SUNNY/CLOUDY,6,20.3,22.7,SIGHT,BASKING,TALUS,WITHIN ROCKS,DEN 8,322048,5435750,DEN 8,60,49.6,190,106,84,FEMALE,ADULT,NON GRAVID,>100,>100,S,S,NO,12:57,04/20/18,SAME AS CAPTURE,0,GREEN PAINT,
989001006782017,04/20/18,13:06,"DME, RR",NO,RATTLE,SUNNY/CLOUDY,7,20.3,22.7,SIGHT,MOVING,TALUS,WITHIN ROCKS,DEN 8,322048,5435750,DEN 8,26,50.55,217,115,102,FEMALE,ADULT,NON GRAVID,>100,>100,S,S,NO,13:16,04/20/18,SAME AS CAPTURE,0,,
989001005710888,04/20/18,13:39,"DME, RR",YES,RATTLE,CLOUDY,8,19.5,21.3,SIGHT,COILED,TALUS,WITHIN ROCKS AND GRASS,DEN 8,322048,5435750,DEN 8,60,57.3,220,106,114,FEMALE,ADULT,POST PARTUM,>100,>100,S,S,NO,13:50,04/20/18,SAME AS CAPTURE,0,GREEN PAINT,
989001006782053,04/20/18,13:39,"DME, RR",NO,RATTLE,CLOUDY,8,19.5,21.3,SIGHT,COILED,TALUS,WITHIN ROCKS AND GRASS,DEN 8,322048,5435750,DEN 8,60,51.2,200,106,94,FEMALE,ADULT,NON GRAVID,>100,>100,S,S,NO,14:00,04/20/18,SAME AS CAPTURE,0,,
989001006782067,04/20/18,14:13,"DME, RR",NO,RATTLE,CLOUDY,6,24.3,24.6,SOUND,COILED,SHRUB STEPPE,UNDER ROCK CRACK,30M DOWNSLOPE DEN 8,322029,5435711,DEN 8,24,55.5,255,120,135,FEMALE,ADULT,GRAVID,>100,>100,S,S,NO,12:51,4/26/2018,SAME AS CAPTURE,6,3 OVA DETECTED-KEPT FOR TRANSMITTER- ATHENA,
989001006112807,04/20/18,14:42,"DME, RR",YES,RATTLE,SUNNY,3,23.3,24.2,SOUND ,MOVING,SHRUB STEPPE,BESIDE ANTELOPE BRUSH,100M SW DEN 8,322056,5435632,NA,28,54.95,254,120,134,FEMALE,ADULT,GRAVID,>100,>100,S,S,NO,13:00,4/26/2018,SAME AS CAPTURE,6,KEPT FOR TRANSMITTER 3 OVA DETECTED- ELECTRA,
989001006650736,04/20/18,15:15,"DME, RR",NO,RACER,SUNNY/CLOUDY,4,21.4,27.8,SIGHT,HIDING/MOVING,SHRUB STEPPE,UNDER ROCK,KNOWN SHED SITE,322280,5435284,NA,53,61,190,120,70,FEMALE,ADULT,NON GRAVID,100,100,SW,SW,NO,15:34,04/20/18,SAME AS CAPTURE,0,,
989001005710923,04/20/18,15:15,"DME, RR",YES,RATTLE,SUNNY/CLOUDY,3,21.4,27.8,SIGHT,COILED,SHRUB STEPPE,WITHIN ROCKS,KNOWN SHED SITE,322280,5435284,NA,60,60.1,226,106,120,MALE,ADULT,NA,100,100,SW,SW,NO,15:43,04/20/18,SAME AS CAPTURE,0,BROWN PAINT,
989001005710932,04/20/18,15:15,"DME, RR",YES,RATTLE,SUNNY/CLOUDY,3,21.4,27.8,SIGHT,BASKING,SHRUB STEPPE,WITHIN ROCKS,KNOWN SHED SITE,322280,5435284,NA,60,59.2,274,106,168,FEMALE,ADULT,NON GRAVID,100,100,SW,SW,NO,15:51,04/20/18,SAME AS CAPTURE,0,,
0A13677576,4/21/2018,11:12,"DME, GK",YES,RATTLE,SUNNY,1,17,17.9,SIGHT,COILED,SHRUB STEPPE,UNDER ROCK OVERHANG,10M N OF NAGINI'S ROOKERY SITE,322384,5435500,NA,26,56.5,334,115,219,FEMALE,ADULT,GRAVID,>100,>100,SW,SW,NO,10:00,4/26/2018,SAME AS CAPTURE,5,5 OVA DETECTED- KEPT FOR TRANSMITTER CALYPSO,
989001006782080,4/21/2018,12:15,"DME, GK",NO,RATTLE,SUNNY,1,19.3,18.5,SIGHT,BASKING,TALUS,WITHIN ROCKS,RC DEN,322479,5435557,RC DEN,54,45.9,168,96,72,FEMALE,SUBADULT,NON GRAVID,>100,>100,SW,SW,NO,12:30,4/21/2018,SAME AS CAPTURE,0,,
989001006112810,4/21/2018,12:15,"DME, GK",YES,RATTLE,SUNNY,1,19.3,18.5,SIGHT,BASKING,TALUS,WITHIN PINE NEEDLES AND ROCKS,RC DEN,322479,5435557,RC DEN,54,66.2,367,96,271,MALE,ADULT,NA,>100,>100,SW,SW,NO,12:42,4/21/2018,SAME AS CAPTURE,0,,
989001006782105,4/21/2018,12:15,"DME, GK",NO,RATTLE,SUNNY,1,19.3,18.5,SIGHT,BASKING,TALUS,WITHIN ROCKS,RC DEN,322479,5435557,RC DEN,103,51.5,194,100,94,MALE,SUBADULT,NA,>100,>100,SW,SW,NO,13:00,4/21/2018,SAME AS CAPTURE,0,,
989001006650748,4/21/2018,12:15,"DME, GK",NO,RA,SUNNY,1,19.3,18.5,SIGHT,BASKING,TALUS,WITHIN ROCKS,RC DEN,322479,5435557,RC DEN,54,54.4,201,96,105,MALE,SUBADULT,NA,>100,>100,SW,SW,NO,13:16,4/21/2018,SAME AS CAPTURE,0,,
NONE GIVEN,4/21/2018,12:15,"DME, GK",NO,RATTLE,SUNNY,1,19.3,18.5,SIGHT,BASKING,TALUS,WITHIN ROCKS,RC DEN,322479,5435557,RC DEN,54,260,107,96,11,FEMALE,NEONATE,NA,>100,>100,SW,SW,NO,13:26,4/21/2018,SAME AS CAPTURE,0,TOO SMALL FOR PIT TAG,
989001006112814,4/21/2018,12:15,"DME, GK",YES,RATTLE,SUNNY,1,19.3,18.5,SIGHT,BASKING,TALUS,WITHIN ROCKS,RC DEN,322479,5435557,RC DEN,103,50.55,193,100,93,MALE,ADULT,NA,>100,>100,SW,SW,NO,13:34,4/21/2018,SAME AS CAPTURE,0,SHED TWICE SINCE 2017,
989001006782052,4/21/2018,12:15,"DME, GK",NO,RATTLE,SUNNY,1,19.3,18.5,SIGHT,BASKING,TALUS,WITHIN ROCKS,RC DEN,322479,5435557,RC DEN,103,50.95,181,100,81,FEMALE,SUBADULT,NON GRAVID,>100,>100,SW,SW,NO,13:48,4/21/2018,SAME AS CAPTURE,0,,
989001006112821,4/21/2018,14:52,"DME, GK",NO,RATTLE,SUNNY,3,21.9,23.3,SIGHT,BASKING,TALUS,WITHIN ROCKS,RC DEN,322479,5435557,RC DEN,22,83.5,595,110,485,MALE,ADULT,NA,>100,>100,SW,SW,NO,15:04,4/21/2018,SAME AS CAPTURE,0,,
4C132C3146,4/21/2018,14:52,"DME, GK",YES,RATTLE,SUNNY,3,21.9,23.3,SIGHT,BASKING,TALUS,WITHIN ROCKS,RC DEN,322479,5435557,RC DEN,22,68.9,310,110,200,MALE,ADULT,NA,>100,>100,SW,SW,NO,15:15,4/21/2018,SAME AS CAPTURE,0,,
989001006782096,4/21/2018,14:52,"DME, GK",NO,RATTLE,SUNNY,3,21.9,23.3,SIGHT,BASKING,TALUS,WITHIN ROCKS,RC DEN,322479,5435557,RC DEN,54,62.8,242,96,146,MALE,ADULT,NA,>100,>100,SW,SW,NO,15:25,4/21/2018,SAME AS CAPTURE,0,,
989001006782092,4/21/2018,14:52,"DME, GK",YES,RATTLE,SUNNY,3,21.9,23.3,SIGHT,BASKING,TALUS,WITHIN ROCKS,RC DEN,322479,5435557,RC DEN,22,51.3,221,110,111,FEMALE,ADULT,NON GRAVID,>100,>100,SW,SW,NO,15:40,4/21/2018,SAME AS CAPTURE,0,,
989001006112841,4/21/2018,14:52,"DME, GK",YES,RATTLE,SUNNY,3,21.9,23.3,SIGHT,BASKING,TALUS,WITHIN ROCKS,RC DEN,322479,5435557,RC DEN,54,63,236,96,140,MALE,ADULT,NA,>100,>100,SW,SW,NO,15:46,4/21/2018,SAME AS CAPTURE,0,SHED TWICE SINCE 2017,
989001006112862,4/21/2018,14:52,"DME, GK",YES,RATTLE,SUNNY,3,21.9,23.3,SIGHT,BASKING,TALUS,WITHIN ROCKS,RC DEN,322479,5435557,RC DEN,22,51.5,264,110,154,MALE,ADULT,NA,>100,>100,SW,SW,NO,15:55,4/21/2018,SAME AS CAPTURE,0,SHED TWICE SINCE 2017,
989001006112900,4/21/2018,12:15,"DME, GK",YES,RATTLE,SUNNY/CLOUDY,3,21.9,23.3,SIGHT,COILED,TALUS,ON ROCKS,DEN 6,322479,5435557,DEN 6,4,61.5,236,105,131,MALE,ADULT,NA,>100,>100,SW,SW,NO,12:39,4/22/2018,SAME AS CAPTURE,0,,
989001006112897,4/22/2018,12:15,"DME,GK",YES,RATTLE,SUNNY/CLOUDY,3,21.9,23.3,SIGHT,BASKING,TALUS,WITHIN ROCKS,DEN 6,322479,5435557,DEN 6,61,51.2,131,75,56,MALE,ADULT,NA,>100,>100,SW,SW,NO,12:47,4/22/2018,SAME AS CAPTURE,0,"SHOULD BE FEMALE, WEIGHT IS WAY OFF, MAY BE INCORRECT ENTRY",
989001006650750,4/22/2018,12:15,"DME, GK",NO,RATTLE,SUNNY/CLOUDY,3,21.9,23.3,SIGHT,BASKING,TALUS,WITHIN ROCKS,DEN 6,322479,5435557,DEN 6,61,61.45,228,75,153,MALE,ADULT,NA,>100,>100,SW,SW,NO,13:04,4/22/2018,SAME AS CAPTURE,0,,
0A180D5E44,4/22/2018,12:15,"DME, GK",YES,RATTLE,SUNNY/CLOUDY,2,16.6,14.1,SIGHT,BASKING,TALUS,WITHIN ROCKS,DEN 6,322936,5435286,DEN 6,4,57.2,246,105,141,MALE,ADULT,NA,>100,>100,SW,SW,NO,13:11,4/22/2018,SAME AS CAPTURE,0,,
0A180D5F38,4/22/2018,12:15,"DME, GK",YES,RATTLE,SUNNY/CLOUDY,3,16.6,14.1,SIGHT,COILED,TALUS,ON ROCKS,DEN 6 SATELLITE,322952,5435278,DEN 6 SATELLITE,4,81.6,515,105,410,MALE,ADULT,NA,>100,>100,SW,SW,NO,13:34,4/22/2018,SAME AS CAPTURE,0,2016 TELEMETRY SNAKE,
0A1367755B,4/22/2018,12:15,"DME, GK",YES,RATTLE,SUNNY/CLOUDY,2,16.6,14.1,SIGHT,COILED,TALUS,ON ROCKS,DEN 6 SATELLITE,322952,5435278,DEN 6 SATELLITE,53,86.8,610,120,490,MALE,ADULT,NA,>100,>100,SW,SW,NO,13:34,4/22/2018,SAME AS CAPTURE,0,,
989001006782057,4/22/2018,12:15,"DME, GK",NO,RATTLE,SUNNY/CLOUDY,2,16,20.8,SIGHT,COILED,TALUS,ON ROCKS,DEN 6 SATELLITE,322952,5435278,DEN 6 SATELLITE,53,66.9,338,120,218,MALE,ADULT,NA,>100,>100,SW,SW,NO,13:49,4/22/2018,SAME AS CAPTURE,0,,
4C3D426D05,4/22/2018,12:15,"DME, GK",YES,RATTLE,SUNNY,2,16,20.8,SIGHT,COILED,TALUS,ON ROCKS,DEN 6 SATELLITE,322952,5435278,DEN 6 SATELLITE,4,63.5,249,105,144,FEMALE,ADULT,POST PARTUM,>100,>100,SW,SW,NO,14:34,4/22/2018,SAME AS CAPTURE,0,,
989001006782028,4/22/2018,12:15,"DME, GK",YES,RATTLE,SUNNY,2,16,20.8,SIGHT ,COILED,TALUS,WITHIN ROCKS,DEN 6 SATELLITE,322952,5435278,DEN 6 SATELLITE,4,57.9,234,105,129,MALE,ADULT,NA,>100,>100,SW,SW,NO,15:05,4/22/2018,SAME AS CAPTURE,0,,
989001006782083,4/22/2018,12:15,"DME, GK",NO,RATTLE,SUNNY,2,16,20.8,SIGHT,COILED,TALUS,WITHIN ROCKS,DEN 6 SATELLITE,322952,5435278,DEN 6 SATELLITE,53,59.1,269,120,149,MALE,ADULT,NA,>100,>100,SW,SW,NO,15:05,4/22/2018,SAME AS CAPTURE,0,JUST ATE,
989001005040892,4/22/2018,15:30,"DME, GK",YES,RATTLE,SUNNY,2,16,20.8,SIGHT ,COILED,TALUS,WITHIN ROCKS,DEN 6,322936,5435286,DEN 6,4,66.1,280,105,175,MALE,ADULT,NA,>100,>100,SW,SW,NO,15:35,4/22/2018,SAME AS CAPTURE,0,SHED TWICE SINCE 2017,
982001006782037,4/23/2018,11:22,"DME, AS",NO,RATTLE,SUNNY,0,21.3,16.5,SIGHT,BASKING,TALUS,BY STUMP ON GROUND ,20M DOWNSLOPE DEN 8,322050,5435730,NA,68,53,240,130,110,MALE,SUBADULT,NA,>100,>100,S,S,NO,11:39,4/23/2018,SAME AS CAPTURE,0,3 SEGMENTS PLUS BUTTON,
NONE GIVEN,4/23/2018,11:23,"DME, AS",NO,RATTLE,SUNNY,0,21.3,16.5,SIGHT,COILED/BASKING,TALUS,ON GRASS/ROCKS,20M DOWNSLOPE DEN 8,322050,5435730,NA,68,27.1,150,130,20,MALE,NEONATE,NA,>100,>100,S,S,NO,11:50,4/23/2018,SAME AS CAPTURE,0,CLIP 3L,
989001005040876,4/23/2018,12:00,"DME, AS",YES,RATTLE,SUNNY,0,20.8,22.4,SIGHT,BASKING,TALUS,ON ROCKS,DEN 8,322048,5435750,DEN 8,1,67.4,320,121,199,MALE,ADULT,NA,>100,>100,S,S,NO,12:15,4/23/2018,SAME AS CAPTURE,0,"SHED TWICE SINCE 2017, OLD TRANSMITTER SNAKE (2016)",
989001005710877,4/23/2018,12:00,"DME, AS",YES,RATTLE,SUNNY,0,20.8,22.4,SIGHT,BASKING,TALUS,ON ROCKS,DEN 8,322048,5435750,DEN 8,1,67.6,314,121,193,MALE,ADULT,NA,>100,>100,S,S,NO,12:19,4/23/2018,SAME AS CAPTURE,0,SHED TWICE SINCE 2017,
989001006650686,4/23/2018,12:00,"DME, AS",YES,RATTLE,SUNNY,0,20.3,22.4,SIGHT,BASKING,TALUS,ON ROCKS,DEN 8,322048,5435750,DEN 8,1,58,240,121,119,MALE,ADULT,NA,>100,>100,S,S,NO,12:27,4/23/2018,SAME AS CAPTURE,0,SHED ONCE SINCE 2017,
989001006782055,4/23/2018,13:08,"DME, AS",NO,RATTLE,SUNNY,0,24,27.2,SIGHT,BASKING,SHRUB STEPPE,NEAR ROCK OVERHANG,>100M E OF FENCE GULLY ALONG EAST RIDGE NEAR POWERLINES,321391,5435979,NA,54,68.4,320,95,235,MALE,ADULT,NA,>100,>100,S,S,NO,13:16,4/23/2018,SAME AS CAPTURE,0,,
989001006782103,4/23/2018,14:40,"DME, AS",NO,RATTLE,SUNNY,0,28.7,27.1,SIGHT,COILED,TALUS,UNDER OREGON GRAPE,DEN 26,320934,5437180,DEN 26,68,55.35,255,130,125,FEMALE,SUBADULT,NON GRAVID,>100,>100,S,S,NO,15:01,4/23/2018,SAME AS CAPTURE,0,,
989001006782016,4/23/2018,14:40,"DME, AS",NO,RATTLE,SUNNY,0,28.7,27.1,SIGHT,COILED,TALUS,WITHIN ROCKS,DEN 26,320934,5437180,DEN 26,54,56.35,280,95,175,FEMALE,ADULT,GRAVID,>100,>100,S,S,NO,15:10,4/30/2018,SAME AS CAPTURE,7,"4 0VA, KEPT FOR TRANSMITTER, CALLIOPE",
4C3C57125A,4/23/2018,14:40,"DME, AS",YES,RATTLE,SUNNY,0,28.7,27.1,SIGHT,COILED,TALUS,UNDER ROCK,DEN 26,320934,5437180,DEN 26,68,78.3,425,130,295,MALE,ADULT,NA,>100,>100,S,S,NO,15:18,4/23/2018,SAME AS CAPTURE,0,PURPLE TRANSMITTER,
989001004384331,4/24/2018,13:10,"DME, AS",YES,RATTLE,SUNNY,1,23.5,24,SIGHT,BASKING,TALUS,ON ROCKS,DEN 27,320852,5437481,DEN 27,103,69.5,305,97,208,MALE,ADULT,NA,>100,>100,S,S,NO,13:28,4/24/2018,SAME AS CAPTURE,0,SHED 2 TIMES SINCE 2017 PAINT,
989001005710868,4/24/2018,13:10,"DME, AS",YES,RATTLE,SUNNY,1,23.5,24,SIGHT,BASKING,TALUS,WITHIN ROCKS,DEN 27,320852,5437481,DEN 27,103,72.2,325,97,228,MALE,ADULT,NA,>100,>100,S,S,NO,13:33,4/24/2018,SAME AS CAPTURE,0,SHED 2 TIMES SINCE 2017 PAINT,
989001006112831,4/24/2018,13:10,"DME, AS",YES,RATTLE,SUNNY,1,23.5,24,SIGHT,BASKING,TALUS,WITHIN ROCKS,DEN 27,320852,5437481,DEN 27,103,84.2,578,97,481,MALE,ADULT,NA,>100,>100,S,S,NO,13:43,4/24/2018,SAME AS CAPTURE,0,SHED 2 TIMES SINCE 2017 PAINT,
989001006782102,4/24/2018,13:10,"DME, AS",NO,RATTLE,SUNNY,1,23.5,24,SIGHT,BASKING,TALUS,WITHIN ROCKS,DEN 27,320852,5437481,DEN 27,103,47.85,165,97,68,MALE,SUBADULT,NA,>100,>100,S,S,NO,13:55,4/24/2018,SAME AS CAPTURE,0,3+B,
989001006112879,4/24/2018,13:10,"DME, AS",YES,RATTLE,SUNNY,1,23.5,24,SIGHT,BASKING,TALUS,WITHIN ROCKS,DEN 27,320852,5437481,DEN 27,103,74.8,345,97,248,MALE,ADULT,NA,>100,>100,S,S,NO,14:01,4/24/2018,SAME AS CAPTURE,0,"SHED 1 SINCE 2017, GAS IN THE STOMACH (MAYBE ATE)",
989001004384286,4/24/2018,13:10,"DME, AS",YES,RATTLE,SUNNY,1,23.5,24,SIGHT,BASKING,TALUS,WITHIN ROCKS,DEN 27,320852,5437481,DEN 27,103,64,285,97,188,MALE,ADULT,NA,>100,>100,S,S,NO,14:06,4/24/2018,SAME AS CAPTURE,0,"2016 TELEMETRY SNAKE, SHED 2 TIMES SINCE 2017",
989001006650754,4/24/2018,13:10,"DME, AS",NO,RATTLE,SUNNY,1,23.5,24,SIGHT,BASKING,TALUS,WITHIN ROCKS,DEN 27,320852,5437481,DEN 27,103,64.8,250,97,153,MALE,ADULT,NA,>100,>100,S,S,NO,14:17,4/24/2018,SAME AS CAPTURE,0,,
989001004384289,4/24/2018,13:10,"DME, AS",YES,RATTLE,SUNNY,1,23.5,24,SIGHT,BASKING,TALUS,WITHIN ROCKS,DEN 27,320852,5437481,DEN 27,103,74.85,370,97,273,MALE,ADULT,NA,>100,>100,S,S,NO,14:27,4/24/2018,SAME AS CAPTURE,0,"2016 TELEMETRY SNAKE, SHED ONCE AFTER 2017 PAINT",
