PIT_Tag_#,Date,Year,Month,Time,SPECIES,Researcher,Encounter,Detection,Recap,Location,Area,Treatment,Mode,Avg_Count,Error,Elevatlon,Easting,Northing,Waypoint,Habitat,Weather,Cloud_cover,Ta,Tg,Comments,Pillow_case,SVL,VTL,S_+_B,Bag,Mass,Sex,Age_class,Gravid,Rattle_paint,Photo_#,Comments,Rel_date,Rel_time,Rel_researcher,Days_in_captivity,Rel_locatlon,Rel_Easting,Rel_Northing,Behaviour,Record_#,Type,Hibernation Site,Distance_to_buildings,Distance_to_road,Direction_to_building,Direction_to_road,New Rattles
4A1C726044,7/5/2013,2013,May,1:00,Gophersnake,"JXH, RH",Capt,Sight,Yes,Caught right behind the centre on the path,,,3D,,,,322109,5434980,,walking path behind NK'Mip Desert Cultural Centre,sunny,0/9,,,,36,74.5,13.0,297,73,224,Female,Adult,,,,,8/5/2013,1:55,LEG,1,Downhill a bit from capture site,322109,5434980,Moving,,,,<10,<10,,,
0A13677612,8/5/2013,2013,May,9:23,Rattlesnake,"JXS, AJP",Capt,Sight,No,"Den zone 2, shrub steppe",,,3D,,,,321883,5435674,,shrub steppe,"sunny, slightly windy",0/9,24.3,24.0,,none,51.5,2.7,184,103,81,Female,Sub-adult,NA,none,134-8740,,9/5/2013,8:55,"LEG, JXS, AJP",1,Same as capture location,321925,5435650,Moving,,,,>50,>50,,,
0A1367756F,8/5/2013,2013,May,12:03,Rattlesnake,"JXS, AJP",Capt,Sight,No,Pine stand at Rancher Creek,,,3D,,,,322306,5435290,,"on a rock, in the pine stand",sunny,0/9,28.8,32.6,,23,49.2,3.7,175,100,75,Male,Sub-adult,NA,none,134-8741,,9/5/2013,9:17,"LEG, JXS, AJP",1,Same as capture location,322312,5435290,Rattling,,,,>50,>50,,,
0A13677607,8/5/2013,2013,May,19:35,Rattlesnake,Campground staff,Capt,Sight,Yes,Campground Site 20,,,3D,,,280,321560,5434628,,Campground,Sunny,0/9,,,,34,70.3,5.1,339,114,225,Male,Adult,NA,"1st carntion pink, 2nd pine green 3rd Lt. blue",134-8772,,13/5/2013,16:03,"LEG, JXS, AJP",5,Riparian,321786,5435713,,,,,>50,>50,,,
0A13677613,9/5/2013,2013,May,12:30,Gophersnake,"AJP, JXS, LEG",Capt,Sight,No,on path right behand NK'MIP Desert Center,,,3D,,,328,322119,5434972,,walking path behind NK'Mip Desert Cultural Centre,Sunny,0/9,28.8,30.5,,8,104.6,18,416,89,327,Male,Adult,NA,none,,,9/5/2013,13:04,"AJP, JXS, LEG",0,Same as capture site,322119,5434972,,,,,,,,,
0A13677563,10/5/2013,2013,May,10:00,Gophersnake,Bob,Capt,Sight,No,Front door of NK'Mip Desert Cultural Centre,,,3D,,,330,322123,5434880,,Front path,sunny,0/9,,,,42,70.5,13.5,263,104,159,Female,Sub-adult,N,,,,10/5/2013,1:02,AJP,0,Same as capture site,322123,5434880,,,,,<10,10-50,E,E,
0A13677568,10/5/2013,2013,May,11:31,Gophersnake,"LEG, JXS, AJP",Capt,Sight,No,Pine stand in gulley from Den6,,,3D,,5.1,391,322583,5435213,,In a shrub,sunny,0/9,29.1,32.1,,40,73.9,14.3,258,121,137,Female,Sub-adult,N,,,,11/5/2013,9:01,"LEG, JXS",1,Same as capture,322626,5435232,Basking,,,,>50,>50,W,W,
4A1D2F513C,10/5/2013,2013,May,1:56,Rattlesnake,"LEG, JXS, AJP",Capt,Sight,Yes,Spirit Ridge Winery,,,3D,,6.2,321,321943,5434472,,"found crossing a sand road in the winery field, into a grassy ditch with trees",sunny,0/9,27.6,25.4,,9,75.0,5.5,369,103,266,Female,Adult,Y,"3rd button is orange, 4th fiesta yellow, 5th and 6th petunia purple",134-8824,,11/5/2013,8:47,"LEG, JXS",1,Gulley by Den6,322565,5435125,Moving,,,,10-50,<10,S,S,2
4A60292D31,11/5/2013,2013,May,9:36,Rattlesnake,"LEG, JXS",Capt,Sight,Yes,Found travelling along snake fence at development site 3,,,3D,,5,380,322697,5434878,,moving along snake fence in sand,partial cloud,6/9,26.9,27.3,,43,89.4,3.9,233,85,148,Female ,Adult,Y,3rd and 4th buttons daisy cream,134-8841,,12/5/2013,9:18,"LEG, JXS",1,Gulley by Den6,322615,5435113,Moving,,,,10-50,10-50,S,S,2
0A13677552,11/5/2013,2013,May,11:03,Rattlesnake,"LEG, JXS",Capt,Sight,No,Golf course,,,3D,,13,361,322430,5434870,,In a shrub,partial cloud,4/9,28.8,33.0,,5,54.9,3.3,244,125,119,Female ,Sub-adult,NA,none,134-8843,,12/5/2013,9:18,"LEG, JXS",1,Gulley by Den6,322615,5435113,Coiled,,,,>50,>50,W,W,
45527D0A5C,10/5/2013,2013,May,12:01,Rattlesnake,Campground staff,Capt,Sight,Yes,Campground site227B,,,3D,,,280,321211,5435416,,,sunny,0/9,,,,none,73.7,5.5,306,104,202,Male,Adult ,NA,none,134-8844,,12/5/2013,8:47,"LEG, JXS",2,Riparian,321819,5435716,,,,,,,,,
0A13677574,10/5/2013,2013,May,19:25,Rattlesnake,Campground staff,Capt,Sight,No,Campground site 26,,,3D,,,287,321525,5434646,,,sunny,0/9,,,,30,63.6,4.1,265,127,138,Male,Sub-adult,NA,none,134-8845,,12/5/2013,8:47,"LEG, JXS",2,Riparian,321819,5435716,,,,,,,,,
0A13677625,13/5/2013,2013,May,10:38,Rattlesnake,"LEG, JXS, AJP",Capt,Sound,No,"Development site 3, along the snake fence",,,3D,,5.9,364,322603,5434783,,under a shrub along snake fence,cloudy,9/9,22.4,22.7,Large buldges down the body. Most likely gravid.,9,55.8,3.1,249,103,146,Female,Adult,Y,none,134-8852,,13/5/2013,16:38,"LEG, JXS, AJP",0,Gulley by Den6,322674,5435113,coiled,,,,<10,10-50,S,S,
0A13677577,13/5/2013,2013,May,11:01,Rattlesnake,"LEG, JXS, AJP",Capt,Sight,No,Development site 3 along snake fence,,,3D,,6.4,387,322759,5434726,,coiled up in sand along snake fence,cloudy ,9/9,21.8,22.3,,28,41.2,3.5,163,110,53,Male,Sub-adult,NA,none,134-8853,,13/5/2013,16:38,"LEG, JXS, AJP",0,Gulley by Den6,322674,5435113,coiled,,,,10-50,10-50,W,W,
4A4F197961,13/5/2013,2013,May,11:13,Rattlesnake,"LEG, JXS, AJP",Capt,Sight,Yes,Development site 3 front gate,,,3D,,7.7,379,322747,5434602,,coiled up against front gate to dev site,cloudy,9/9,22.1,21.7,,white,59.4,3.2,267,120,147,Female,Adult,N,"4th button orange, 5th button petunia purple, 6th button light blue",134-8855,,13/5/2013,16:38,"LEG, JXS, AJP",0,Gulley by Den6,322674,5435113,coiled,,,,<10,<10,N,N,3
4C13350C6B,11/5/2013,2013,May,17:45,Rattlesnake,Campground staff,Capt,Sight,Yes,Campground site 227,,,3D,,,280,321211,5435416,,,partial cloud,4/9,,,,14,66.4,5.2,280,83,197,Male,Adult ,NA,"3rd button carnation pink, 4th button light blue",134-8857,,13/5/2013,16:03,"LEG, JXS, AJP",2,Riparian,321809,5435710,,,,,,,,,2
486026452C,13/5/2013,2013,May,14:53,Rattlesnake,Construction workers,Capt,Sight,Yes,Development site 3,,,,,,,,,,found in sand in middle of job site,partial cloud,7/9,,,,26,70.6,5.3,290,99,191,Male,Adult,NA,"1st button carnation pink, 2nd and 2rd buttons tango blue",134-8858,,13/5/2013,16:38,"LEG , JXS, AJP",0,Gulley by Den6,322674,5435113,,,,,,,,,0
452F6E584E,13/5/2013,2013,May,13:40,Rattlesnake,Campground staff,Capt,Sight,Yes,Campground site 124,,,3D,,,284,321447,5434801,,,partial cloud,7/9,,,,8,73.8,5.5,254,91,163,Male,Adult,NA,none,134-8860,,21/5/2013,15:07,"LEG, JXS",8,Riparian,321813,5435715,,,,,,,,,
0A1367754D,15/5/2013,2013,May,10:43,Gophersnake,"LEG, JXS",Capt,Sight,No,Mission Hill Irrigation box,,,3D,,5.3,373,314846,5443931,,sitting on a mouse nest in an irrigation box with another gophersnake,partial cloud,7/9,25.2,23.5,,15,94.5,16.2,365,90,275,Male,Adult,NA,,,found with female gophersnake,16/5/2013,12:20,OMM,1,Same as capture,314846,5443931,Coiled,,,,>50,0,W,on road,
0A1367757B,15/5/2013,2013,May,10:43,Gophersnake,"LEG, JXS",Capt,Sight,No,Mission Hill irrigation box,,,3D,,5.3,373,314846,5443931,,sitting on a mouse nest in an irrigation box with another gophersnake,partial cloud,7/9,25.2,23.5,,23,74.9,12.6,344,100,244,Female,Adult,No,,,found with male gophersnake,16/5/2013,12:20,OMM,1,Same as capture,314846,5443931,Coiled,,,,>50,0,W,on road,
0A1367761A,15/5/2013,2013,May,10:58,Gophersnake,"LEG, JXS",Capt,Sight,No,Mission Hill irrigation box,,,3D,,6.2,390,314772,5443935,,in an irrigation box,partial cloud,6/9,23.8,21.0,,42,95.5,16.1,353,104,249,Male,Adult,NA,,,,17/5/2013,14:30,OMM,2,Same as capture site,314772,5443935,Coiled,,,,>50,0,W,on road,
0A13677606,15/5/2013,2013,May,,Rattlesnake,Mission Hill staff,Capt,Sound,No,Mission Hill,,,3D,,9.2,378,314033,5444530,,under pallets of fertilizer,,,,,,33,75.6,6.6,341,84,257,Male,Adult,NA,none,134-8876,,17/5/2013,14:40,OMM,2,,313815,5444255,,,,,>50,<10,S,S,
0A13677604,13/5/2013,2013,May,15:50,Gophersnake,JXH,Capt,Sight,No,Front path outside Nk'Mip Desert Cultural Centre,,,3D,,,399,322077,5434857,,gravel path,partial cloud,7/9,,,,44,68.6,12.7,247,103,144,Male,Sub-adult,NA,,,,21/5/2013,13:47,JXS,8,,321994,5434886,Moving,,,,<10,0,E,on road,
too small,14/5/2013,2013,May,7:40,Rattlesnake,Tara,Capt,Sight,No,Campground site 163,,,3D,,,279,321417,5435098,,,,,,,,,,,115,101,14,unknown,Juvenile,NA,,,,21/5/2013,15:07,"LEG, JXS",7,Riparian,321811,5435713,,,,,,,,,
too small,14/5/2013,2013,May,14:50,Rattlesnake,JXH,Capt,Sight,No,"Outdoor gallery at Nk'Mip, beside fish drying rack display",,,3D,,7.1,326,322124,5434969,,grass,,,,,,,,,86,72,14,unknown,Juvenile,NA,,,,21/5/2013,15:07,"LEG, JXS",7,Riparian,321811,5435713,,,,,,,,,
4559172E1A,19/5/2013,2013,May,11:30,Rattlesnake,Campground staff,Capt,Sight,Yes,Campground site 178,,,3D,,,278,321364,5435173,,,,,,,,none,76.4,5.9,355,104,251,Male,Adult,NA,"3rd button citrus green, 4th-11th buttons have flecks of tango blue",134-8884,,21/5/2013,15:07,"LEG, JXS",2,Riparian,321813,5435713,,,,,,,,,2
0A13677614,17/5/2013,2013,May,11:00,Rattlesnake,JXH,Capt,Sight,No,North staff parking lot,,,3D,,,320,322060,5434910,,Parking lot gravel,,,,,,none,58.6,3.6,216,96,120,Female,Sub-adult,NA,none,134-8885,,21/5/2013,15:07,"LEG, JXS",4,Riparian,321813,5435713,,,,,10-50,0,S,on road,
0A13677551,18/5/2013,2013,May,15:45,Gophersnake,Campground staff,Capt,Sight,No,Campground site 7,,,3D,,,284,321586,5434660,,,,,,,,30,70.5,10.8,337,129,208,Female,Adult,N,,,,21/5/2013,15:07,"LEG, JXS",3,Riparian,321813,5435713,,,,,,,,,
0A1367757C,19/5/2013,2013,May,10:45,Gophersnake,Bob,Capt,Sight,No,Campground site 7,,,3D,,,284,321586,5434660,,,,,,,,5,83.4,14.3,337,125,212,Male,Adult,NA,,,,21/5/2013,15:07,"LEG, JXS",2,Riparian,321813,5435713,,,,,,,,,
too small,19/5/2013,2013,May,14:00,Rattlesnake,JXH,Capt,Sight,No,Campground site 93,,,3D,,,280,321416,5434646,,,,,,,,,,,97,85,12,Juvenile,Juvenile,NA,none,,,21/5/2013,15:07,"LEG, JXS",2,Riparian,321813,5435713,,,,,,,,,
4723762068,23/5/2013,2013,May,14:56,Rattlesnake,"LEG, JXS",Capt,Sight,Yes,Nk'Mip trail down to campground,,,3D,,8.6,330,322061,5435100,,Gravel path,partial cloud,4/9,22.6,27.6,Moving across path,pink,58.6,3.5,243,104,139,Female,Sub-adult,NA,"5th button gold, 6th button royal blue, 7th button petunia purple",134-8895,,23/5/2013,16:22,"LEG, JXS",<1,Riparian,322045,5435020,Moving,,,,>50,>50,S,S,4
0A1367757D,24/5/2013,2013,May,10:00,Gophersnake,"LEG, JXS",Capt,Sight,No,Mission Hill irrigation box,,,3D,,5.4,373,314767,5443935,,Irrigation valve box,Sunny,1/9,21.8,17.1,,36,90.2,14.4,405,72,333,Female,Adult,No,,,,27/5/2013,13:52,"LEG, JXS",3,Same as capture site,314768,5443932,Hiding,,,,>50,0,W,on road,
0A1367757A,24/5/2013,2013,May,11:07,Rattlesnake,"LEG, JXS",Capt,Sight,No,Mission Hill protected area,,,3D,,8.8,402,315359,5443822,,Under shrub by large boulders in native shrub steppe,Sunny,1/9,23.9,25.6,Only tail was in the sun,7,59.5,4.7,334,110,224,Male,Adult,NA,none,103-0764,"Has large buldge, likely just eaten",27/5/2013,14:51,"LEG, JXS",3,Same as capture,315383,5443786,Basking,,,,>50,10-50,W,S,
0A13677559,24/5/2013,2013,May,11:33,Rattlesnake,"LEG, JXS",Capt,Sight,No,Mission Hill protected area,,,3D,,8.3,399,315376,5443669,,Under sagebrush,Sunny,1/9,25.4,27.5,,30,49.2,4.2,214,127,87,Male,Sub-adult,NA,none,103-0770,,27/5/2013,14:48,"LEG, JXS",3,Same as capture,315350,5443720,Hiding,,,,>50,<10,W,S,
0A13677619,24/5/2013,2013,May,11:47,Gophersnake,"LEG, JXS",Capt,Sight,No,Mission Hill irrigation box,,,3D,,6.5,391,315343,5443647,,Irrigation valve box,Sunny,1/9,25.1,29.0,,5,80.6,15.6,351,124,227,Male,Adult,NA,,,,27/5/2013,14:41,"LEG, JXS",3,Same as capture,315342,5443642,Hiding,,,,>50,0,W,on road,
0A13677566,24/5/2013,2013,May,12:44,Gophersnake,"LEG, JXS",Capt,Sight,No,Mission Hill irrigation box,,,3D,,6.7,367,314028,5443646,,Irrigation valve box,Sunny,3/9,25.6,27.4,,8,77.4,14.5,296,90,206,Female,Adult,No,,,,27/5/2013,15:17,"LEG, JXS",3,Same as capture,314027,5443631,Hiding,,,,>50,0,W,on road,
4C13380F33,24/5/2013,2013,May,12:45,Rattlesnake,Bob,Capt,Sight,Yes,Campground,,,,,,,,,,Cabin?,Sunny,3/9,,,,23,61.9,4.1,300,100,200,Female,Adult,Yes,"1st button citrus green, 2nd pine green, 4th citrus green, 5th pine green",103-0771,,24/5/2013,17:13,"LEG, JXS",<1,Riparian,321812,5435715,,,,,,,,,0
too small,20/5/2013,2013,May,16:45,Rattlesnake,Campground,Capt,Sight,No,Campground store,,,,,,281,321482,5434708,,,,,,,,white,,,106,95,11,Juvenile,Juvenile,NA,,,,24/5/2013,17:13,"LEG, JXS",4,Riparian,321812,5435715,,,,,,,,,
4C13343444,23/5/2013,2013,May,17:00,Gophersnake,JXH,Capt,Sight,Yes,In front of Nk'Mip Centre,,,,,13.3,347,322112,5434876,,,,,,,,,102.3,17.2,456,102,354,Male,Adult,NA,,,,24/5/2013,17:00,JXS,1,Shrub steppe,,,,,,,,,,,
0A13677610,27/5/2013,2013,May,14:19,Gophersnake,"LEG, JXS",Capt,Sight,No,Mission Hill irrigation box,,,3D,,2.9,408,315489,5443717,42,Irrigation box,Cloudy,9/9,23.8,26.0,with another gophersnake,42,79.1,12.4,316,102,214,Female,Adult,No,,,,27/5/2013,16:00,"LEG, JXS",<1,Same as capture,315489,5443717,Hiding,,,,>50,0,W,on road,
0A13677620,27/5/2013,2013,May,14:19,Gophersnake,"LEG, JXS",Capt,Sight,No,Mission Hill irrigation box,,,3D,,2.9,408,315489,5443717,42,Irrigation box,Cloudy,9/9,23.8,26.0,with another gophersnake,white,78.6,13.8,363,115,248,Female,Adult,Yes,,,,27/5/2013,15:48,"LEG, JXS",<1,Same as capture,315489,5443717,Hiding,,,,>50,0,W,on road,
0A13677609,27/5/2013,2013,May,16:00,Rattlesnake,Construction workers,Capt,Sight,No,Development site 3,,,,,,,,,,Development site,Cloudy,9/9,,,,9,61.8,3.6,281,104,177,Female,Adult,No,none,134-8990,,28/5/2013,12:03,"LEG, JXS",1,Gulley by Den6,322558,5435118,,,,,,,,,
4A681D7323,27/5/2013,2013,May,16:00,Rattlesnake,Construction workers,Capt,Sight,Yes,Development site 3,,,,,,,,,,Development site,Cloudy,9/9,,,,14,54.3,2.8,257,82,175,Female,Adult,No,"3rd button daisy cream, 4th button pine green",134-8988,,28/5/2013,12:03,"LEG, JXS",1,Gulley by Den6,322558,5435118,,,,,,,,,2
0A1367757F,28/5/2013,2013,May,13:00,Rattlesnake,Campground staff,Capt,Sight,No,Found behind Casey's trailer near creek,,,,,,,,,,,Cloudy,9/9,,,,44,72.9,6.4,280,106,174,Male,Adult,NA,none,134-9000,,5/6/2013,9:26,"LEG, JXS",8,Riparian,321811,5435716,,,,,,,,,
45311B0533,28/5/2013,2013,May,18:40,Rattlesnake,Campground staff,Capt,Sight,Yes,Campground site C-9,,,,,,287,321456,5434590,,,Cloudy,9/9,,,,36,63.8,3.2,179,72,107,Female,Adult,N,none,134-9002,,30/5/2013,15:07,"LEG, JXS",2,Riparian,321811,5435716,,,,,,,,,
4C165E5674,1/6/2013,2013,June,12:03,Rattlesnake,"LEG, JXS",Capt,Sight,Yes,Golf course,,,3D,,8.8,362,322456,5434742,,Hiding in rabbit brush in native shrub steppe in golf course,Cloudy,9/9,22.5,24.0,,34,60.9,4.5,282,114,168,Male,Adult,NA,"1st button car pink, 2nd button blue, 3rd button gold",135-9048,,1/6/2013,14:55,"LEG, JXS",<1,Gulley by Den6,322567,5435129,Hiding,,,,>50,>50,W,W,0
485E771839,1/6/2013,2013,June,,Rattlesnake,Bob,Capt,Sight,Yes,Across from Moon Cursor Vineyard,,,,,,,,,,,Cloudy,9/9,,,,7,67.1,3.7,283,110,173,Female,Adult,No,"6th button gold, 7th button petunia purple, 8th button citrus green",135-9049,,1/6/2013,14:55,"LEG, JXS",<1,Gulley by Den6,322567,5435125,,,,,,,,,5
0A13677628,1/6/2013,2013,June,15:41,Gophersnake,"LEG, JXS",Capt,Sight,No,Rock pile in pine stand,,,3D,,3.3,340,322180,5435263,,Basking on edge of rock pile in pine stand,Partial cloud,6/9,23.7,25.1,,33,88.1,13.5,351,94,257,Female,Adult,No,,,,5/6/2013,9:55,"LEG, JXS",4,Same as capture,322180,5435263,Basking,,,,>50,>50,W,W,
too small,1/6/2013,2013,June,17:00,Rattlesnake,Bob,Capt,Sight,No,Campground,,,,,,,,,,,,,,,,28,,,123,109,14,Juvenile,Juvenile,NA,none,,,2/6/2013,11:11,"LEG, JXS",1,Riparian,321814,5435708,,,,,,,,,
0A13677605,1/6/2013,2013,June,17:00,Rattlesnake,Bob,Capt,Sight,No,Campground,,,,,,,,,,,,,,,,42,64.4,3.5,217,102,115,Female,Adult,No,none,135-9050,Very skinny. Looks dehydrated.,2/6/2013,11:11,"LEG, JXS",1,Riparian,321814,5435708,,,,,,,,,
0A1367760D,2/6/2013,2013,June,11:30,Rattlesnake,Bob,Capt,Sight,No,Out front of Nk'Mip Centre by large iron door,,,3D,,13.3,347,322112,5434876,,Thorn bushes in gravel outside Nk'Mip,Partial cloud,8/9,,,,30,56.3,4.5,224,127,97,Male,Sub-adult,NA,none,135-9053,"Broken rattle, only has 2 buttons left",2/6/2013,15:52,"LEG, JXS",<1,Riparian,322052,5435034,Moving,,,,<10,<10,E,W,
0A13677601,3/6/2013,2013,June,9:35,Rattlesnake,"LEG, JXS",Capt,Sight,No,Mission Hill on side of road by landfill,,,3D,,8.3,383,314001,5444537,,Wood scrap pile,Cloudy,8/9,21.4,23.0,,7,93.0,6.6,742,111,631,Male,Adult,NA,none,135-9057,Confirmed dead. Run over by vineyard mower.,13/6/2013,9:40,"LEG, JXS",10,Northern edge of Mission Hill vineyard,314081,5444548,Hiding,,,,>50,<10,W,S,
0A1367761E,3/6/2013,2013,June,10:16,Rattlesnake,"LEG, JXS",Capt,Sight,No,"Mission Hill near landfill gate, behind dumpsters",,,3D,,8.2,392,313683,5444558,,Weeds along fence,Cloudy,8/9,25.4,26.6,,28,77.0,4.5,417,108,309,Female,Adult,No,none,135-9054,"One lump, likely food; Confirmed dead. Eaten by hawk.",13/6/2013,9:40,"LEG, JXS",10,Northern edge of Mission Hill vineyard,314081,5444548,Coiled,,,,10-50,<10,W,S,
0A13677553,5/6/2013,2013,June,10:45,Rattlesnake,"LEG, JXS",Capt,Sight,No,Shedding site used by Glenn in Den Zone 1,,,3D,,11.2,507,322958,5435160,,Rock pile,Cloudy,7/9,28.3,30.0,,white with flowers,56.0,2.9,256,102,154,Female,Sub-adult,NA,none,135-9058,,10/6/2013,9:23,"LEG, JXS",5,Same as capture,322958,5435160,Basking,,,,>50,>50,W,W,
0A1367760B,5/6/2013,2013,June,11:37,Rattlesnake,"LEG, JXS",Capt,Sight,No,Development site 3 snake fence,,,3D,,6.1,375,322651,5434866,,Sand along snake fence,Partial cloud,5/9,32.4,31.6,Has recently eaten,5,45.2,3.3,212,125,87,Male,Sub-adult,NA,none,135-9059,,10/6/2013,10:37,"LEG, JXS",5,Gulley by golf course,322669,5435100,Moving,,,,10-50,10-50,S,S,
43602B674F,7/6/2013,2013,June,9:43,Rattlesnake,Campground staff,Capt,Sight,Yes,Campground bathroom #4,,,,,,284,321482,5434670,,Bathroom,,,,,,34,68.3,3.1,254,112,142,Female,Adult,N,Fuschia on 5th button,135-9093,,11/6/2013,9:40,"LEG, JXS",4,Riparian,321814,5435708,,,,,<10,<10,in building,N,4
0A13654B14,6/6/2013,2013,June,17:35,Rattlesnake,Campground staff,Capt,Sight,Yes,Campground site 21C,,,,,,284,321556,5434637,,,,,,,,23,61.0,4.2,234,100,134,Male,Adult,NA,"4th button citrus green, 3rd button pine green, 2nd button car pink",135-9094,,11/6/2013,9:40,"LEG, JXS",5,Riparian,321814,5435708,,,,,,,,,1
too small,10/6/2013,2013,June,14:25,Gophersnake,Construction site staff,Capt,Sight,No,Osoyoos Cottages construction site,,,3D,,13.1,294,317766,5438510,Cottage,House under construction,Sunny,1/9,,,Stuck to a piece of tape,40,,,139,121,18,Juvenile,Juvenile,NA,,,,11/6/2013,9:40,"LEG, JXS",1,Riparian,321814,5435708,Stuck to tape,,,,<10,<10,in building,W,
